keyword,city,source_file,ranking,title,link,snippet,business_name,rating,review_count,official_website,top_3_reviews,profile_updates,attributes,product_listings,domain,domain_authority,page_authority,spam_score,backlinks_count,referring_domains,pages_to_domain,top_backlinks,trust_flow
best immigration attorney near me,Fort Myers,Immigration-LongTail -- Fort Myers.xlsx,2,Hurtado Immigration Law Firm: Fort Myers Immigration Lawyer,https://www.hurtadolawfirm.com/,"Our Fort Myers immigration attorney can help you achieve them. We have the experience, the knowledge, and the tools to effectively represent you.",,,,,,,,,hurtadolawfirm.com,19,26,1,285,114,46782,,
best immigration lawyer fort myers,Fort Myers,Immigration-LongTail -- Fort Myers.xlsx,1,Hurtado Immigration Law Firm: Fort Myers Immigration Lawyer,https://www.hurtadolawfirm.com/,"Our Fort Myers immigration attorney can help you achieve them. We have the experience, the knowledge, and the tools to effectively represent you.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,hurtadolawfirm.com,19,26,1,285,114,46782,,
best immigration lawyer fort myers,Fort Myers,Immigration-LongTail -- Fort Myers.xlsx,3,USCIS Immigration Attorney Fort Myers,https://www.usimmigrationteam.com/USCIS-Immigration-Attorney-Fort-Myers-FL.html,USCIS Immigration Attorney Fort Myers with many years of successful experience. Call U.S. Immigration Team today at (239) 643-5529. - U.S. Immigration Team.,,,,,,,,,usimmigrationteam.com,23,31,1,1090,190,27329,,
best immigration lawyer near me consultation,Fort Myers,Immigration-LongTail -- Fort Myers.xlsx,2,Hurtado Immigration Law Firm: Fort Myers Immigration Lawyer,https://www.hurtadolawfirm.com/,"Nationwide Leaders in Tech-Driven Immigration Law. Offering Fast, Accessible, and Efficient Service · Over 5,000 successful resolutions · Video Consultations ...",,,,,,,,,hurtadolawfirm.com,19,26,1,285,114,46782,,
best immigration lawyer near me consultation,Fort Myers,Immigration-LongTail -- Fort Myers.xlsx,3,"Fort Myers Immigration Lawyers, Attorneys | Michael M. Raheb",https://www.michaelraheb.com/immigration/,"To arrange a consultation with an experienced immigration attorney, contact us today. Immigration Help. Non-citizens may need help complying with U.S. ...",,,,,,,,,michaelraheb.com,22,39,1,51436,1389,163931,,
best immigration lawyer near me,Fort Myers,Immigration-LongTail -- Fort Myers.xlsx,2,Hurtado Immigration Law Firm: Fort Myers Immigration Lawyer,https://www.hurtadolawfirm.com/,"Our Fort Myers immigration attorney can help you achieve them. We have the experience, the knowledge, and the tools to effectively represent you.",,,,,,,,,hurtadolawfirm.com,19,26,1,285,114,46782,,
free immigration lawyer near me,Fort Myers,Immigration-LongTail -- Fort Myers.xlsx,2,"Amigos en Cristo, Inc. (Fort Myers Office) - Nonprofit Resource Center",https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392754-Amigos_en_Cristo_Inc_Fort_Myers_Office,"1560 Matthew Drive, Suite a Fort Myers, FL 33907 Amigos en Cristo, Inc. (Amigos Center) provides affordable immigration services to Southwest Florida.",,,,,,,,,immigrationadvocates.org,55,47,-1,45373,3299,52299,,
free immigration lawyer near me,Fort Myers,Immigration-LongTail -- Fort Myers.xlsx,3,Lee County Legal Aid Society - Justice for All,https://www.leecountylegalaid.org/,Lee County Legal Aid Society provides free legal aid for low-income residents of Lee County. We are trusted counselors and community supporters.,,,,,,,,,leecountylegalaid.org,24,34,1,976,224,1979,,
immigration attorney near me,Fort Myers,Immigration-LongTail -- Fort Myers.xlsx,1,Hurtado Immigration Law Firm: Fort Myers Immigration Lawyer,https://www.hurtadolawfirm.com/,"Our Fort Myers immigration attorney can help you achieve them. We have the experience, the knowledge, and the tools to effectively represent you.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,hurtadolawfirm.com,19,26,1,285,114,46782,,
immigration attorney near me,Fort Myers,Immigration-LongTail -- Fort Myers.xlsx,3,USCIS Immigration Attorney Fort Myers,https://www.usimmigrationteam.com/USCIS-Immigration-Attorney-Fort-Myers-FL.html,Call (239) 643-5529 to schedule your consultation with an accomplished immigration attorney. Call U.S. Immigration Team. U.S. Immigration Team 4100 Corporate Sq ...,,,,,,,,,usimmigrationteam.com,23,31,1,1090,190,27329,,
