keyword,city,source_file,ranking,title,link,snippet,business_name,rating,review_count,official_website,top_3_reviews,profile_updates,attributes,product_listings,domain,domain_authority,page_authority,spam_score,backlinks_count,referring_domains,pages_to_domain,top_backlinks,trust_flow
intellectual property attorney,Redwood City,IntellectualProperty-HighVolume-- Redwood City.xlsx,2,"Intellectual Property | Redwood City, CA",https://www.hayesscott.com/intellectual-property/,"At Hayes Scott Bonino Ellingson & Guslani, LLP, we offer sound intellectual property advice and counsel. You can call our San Carlos office at 650-249-6898.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,hayesscott.com,23,29,3,4893,158,46441,,
property attorney,Redwood City,IntellectualProperty-HighVolume-- Redwood City.xlsx,2,Real Estate Lawyer Redwood City CA | ARCR,https://www.arcr.com/practice-areas/real-estate-business-construction/,"Our attorneys provide transactional and litigation services to a diverse group of clients, including residential and commercial property owners, ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,arcr.com,28,32,1,2242,225,8552,,
copyright attorney near me,Redwood City,IntellectualProperty-HighVolume-- Redwood City.xlsx,3,"Intellectual Property | Redwood City, CA",https://www.hayesscott.com/intellectual-property/,"At Hayes Scott Bonino Ellingson & Guslani, LLP, we offer sound intellectual property advice and counsel. You can call our San Carlos office at 650-249-6898.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,hayesscott.com,23,29,3,4893,158,46441,,
property lawyer,Redwood City,IntellectualProperty-HighVolume-- Redwood City.xlsx,2,Real Estate Lawyer Redwood City CA | ARCR,https://www.arcr.com/practice-areas/real-estate-business-construction/,"Our attorneys provide transactional and litigation services to a diverse group of clients, including residential and commercial property owners, ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,arcr.com,28,32,1,2242,225,8552,,
property lawyer,Redwood City,IntellectualProperty-HighVolume-- Redwood City.xlsx,3,Real Estate Attorney | Foster City | Redwood City Landlord/Tenant ...,https://www.timoharalawyer.com/,"Call 650-295-0921 for a Foster City, California, attorney focused on landlord-tenant law, mobile home park law, employment and estate planning.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,timoharalawyer.com,10,24,2,794,47,6662,,
copyright infringement lawyer,Redwood City,IntellectualProperty-HighVolume-- Redwood City.xlsx,1,"Intellectual Property | Redwood City, CA",https://www.hayesscott.com/intellectual-property/,"Our intellectual property lawyers assist with the registration of trademarks and copyrights, as well as the negotiation and drafting of licensing agreements.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,hayesscott.com,23,29,3,4893,158,46441,,
copyright infringement lawyer,Redwood City,IntellectualProperty-HighVolume-- Redwood City.xlsx,3,"Intellectual Property Litigation | Redwood City, CA",https://www.hayesscott.com/intellectual-property/ip-litigation/,"The litigators at Hayes Scott Bonino Ellingson & Guslani, LLP, represent clients involved in California intellectual property disputes. You can count on our law ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,hayesscott.com,23,29,3,4893,158,46441,,
redwood city trademark lawyer,Redwood City,IntellectualProperty-HighVolume-- Redwood City.xlsx,1,"Trademark | Redwood City, CA",https://www.hayesscott.com/intellectual-property/trademark/,"Contact us now to discuss your trademark concern with a skilled lawyer. Our ... Redwood City, CA 94065. Phone 650-249-6898 · 888-334-9289. Fax 650-637-8071",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,hayesscott.com,23,29,3,4893,158,46441,,
patent lawyers,Redwood City,IntellectualProperty-HighVolume-- Redwood City.xlsx,2,Fish & Richardson: Intellectual Property Law Firm | IP Attorneys,https://www.fr.com/,"Fish & Richardson is the premier IP law firm. Our attorneys, patent and technology experts bring unparalleled experience across the full intellectual property.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,fr.com,63,50,6,133874,5397,13113129,,
intellectual property law firm,Redwood City,IntellectualProperty-HighVolume-- Redwood City.xlsx,1,"Intellectual Property | Redwood City, CA",https://www.hayesscott.com/intellectual-property/,"At Hayes Scott Bonino Ellingson & Guslani, LLP, we offer sound intellectual property advice and counsel. You can call our San Carlos office at 650-249-6898.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,hayesscott.com,23,29,3,4893,158,46441,,
