keyword,city,source_file,ranking,title,link,snippet,business_name,rating,review_count,official_website,top_3_reviews,profile_updates,attributes,product_listings,domain,domain_authority,page_authority,spam_score,backlinks_count,referring_domains,pages_to_domain,top_backlinks,trust_flow
cheap dui attorney near me,Saint Petersburg,DUI-LongTail-- Saint Petersburg.xlsx,1,Best St. Petersburg DUI Lawyers - Affordable Legal Fees,https://affordablelegalfees.com/st-petersburg-dui/,Our low-cost and affordable Saint Petersburg DUI attorneys have over 20 years of DUI defense and Criminal Defense experience.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,affordablelegalfees.com,22,31,25,1365,189,1515,,
cheap dui attorney near me,Saint Petersburg,DUI-LongTail-- Saint Petersburg.xlsx,2,Best Tampa Bay DUI Lawyers - Affordable Legal Fees,https://affordablelegalfees.com/tampa-bay-dui/,"Our experienced professionals reduce their fees it is fair to call them a cheap DUI attorney, affordable DUI lawyer and low cost lawyer who show you they care ...",,,,,,,,,affordablelegalfees.com,22,31,25,1365,189,1515,,
dui defense attorney saint petersburg,Saint Petersburg,DUI-LongTail-- Saint Petersburg.xlsx,1,St. Petersburg DUI Defense Attorney,https://www.hessingerlaw.com/st-petersburg-criminal-defense/dui-criminal-traffic/,"The St. Petersburg DUI defense lawyer at The Law Office of Timothy Hessinger will explore all possible defenses and make every effort to limit the impact of DUI penalties. Act quickly! Call (888) 863-7415 or contact us online, anytime.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,hessingerlaw.com,21,28,1,1021,182,7602,,
dui defense attorney saint petersburg,Saint Petersburg,DUI-LongTail-- Saint Petersburg.xlsx,2,DUI Defense Attorneys in St. Petersburg,https://duistpetersburglawyer.com/,"DUI Defense Lawyer in St. Petersburg, Clearwater, and Throughout Pinellas County. If you have been arrested for a DUI, Drunk Driving, DWI, or Driving ...",,,,,,,,,duistpetersburglawyer.com,17,31,2,1707,185,1763,,
best dwi lawyer near me,Saint Petersburg,DUI-LongTail-- Saint Petersburg.xlsx,3,DUI | Clearwater Drunk Driving Defense Lawyers Blake & Dorsten ...,https://www.blakedorstenlaw.com/practice-areas/criminal-law/dui-lawyer-clearwater/,"Available 24/7 - Call 727-286-6141 - Blake & Dorsten, P.A. aggressively represents the accused against charges in Drunk Driving Defense & DUI cases.",,,,,,,,,blakedorstenlaw.com,22,31,2,25553,211,32106,,
affordable dui lawyers near me,Saint Petersburg,DUI-LongTail-- Saint Petersburg.xlsx,1,Best St. Petersburg DUI Lawyers - Affordable Legal Fees,https://affordablelegalfees.com/st-petersburg-dui/,Affordable St Petersburg DUI Attorneys from $999. Our low-cost and affordable Saint Petersburg DUI attorneys have over 20 years of DUI defense and Criminal ...,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,affordablelegalfees.com,22,31,25,1365,189,1515,,
affordable dui lawyers near me,Saint Petersburg,DUI-LongTail-- Saint Petersburg.xlsx,2,"The Kilfin Law Firm, P.C.: St. Petersburg Criminal Defense Attorney",https://www.kilfinlaw.com/,"Call (888) 258-8049 Today. Welcome to The Kilfin Law Firm, P.C. I am attorney Donald J. Kilfin, a St. Petersburg area criminal defense and DUI attorney with ...",,,,,,,,,kilfinlaw.com,22,33,1,3391,209,28478,,
best dwi lawyer in saint petersburg,Saint Petersburg,DUI-LongTail-- Saint Petersburg.xlsx,3,"Hanlon Law: Criminal Defense Attorney - St. Petersburg, FL",https://www.stpetersburgcriminalattorney.net/,"Criminal Defense Attorney in St. Petersburg, FL - Hanlon Law | Florida-based criminal defense law firm Hanlon Law is full of winning lawyers.",,,,,,,,,stpetersburgcriminalattorney.net,46,30,1,36165,2081,61037,,
dui defense law firm near me,Saint Petersburg,DUI-LongTail-- Saint Petersburg.xlsx,1,"Criminal Defense Attorneys in St. Petersburg, FL | Morris Law Firm ...",https://www.criminalattorneystpetersburg.com/,"As a criminal defense attorney, she also works with clients in sealing criminal records and probation violations. Drunk Driving and DUI Defense Attorney in St.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,criminalattorneystpetersburg.com,32,33,1,5493,440,83484,,
dui defense law firm near me,Saint Petersburg,DUI-LongTail-- Saint Petersburg.xlsx,2,DUI Defense Attorneys in St. Petersburg,https://duistpetersburglawyer.com/,"DUI Defense Lawyer in St. Petersburg, Clearwater, and Throughout Pinellas County. If you have been arrested for a DUI, Drunk Driving, DWI, or Driving ...",,,,,,,,,duistpetersburglawyer.com,17,31,2,1707,185,1763,,
dui defense law firm near me,Saint Petersburg,DUI-LongTail-- Saint Petersburg.xlsx,3,"The Kilfin Law Firm, P.C.: St. Petersburg Criminal Defense Attorney",https://www.kilfinlaw.com/,"Call (888) 258-8049 Today. Welcome to The Kilfin Law Firm, P.C. I am attorney Donald J. Kilfin, a St. Petersburg area criminal defense and DUI attorney with ...",,,,,,,,,kilfinlaw.com,22,33,1,3391,209,28478,,
first offense dui lawyer cost,Saint Petersburg,DUI-LongTail-- Saint Petersburg.xlsx,1,How Much Does a DUI Cost?,https://duistpetersburglawyer.com/how-much-does-a-dui-cost/,The fines and court costs associated with a DUI offense vary depending on a few circumstances. ... Defense services for DUI and DWI offenses. FREE CONSULTATION.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,duistpetersburglawyer.com,17,31,2,1707,185,1763,,
first offense dui lawyer cost,Saint Petersburg,DUI-LongTail-- Saint Petersburg.xlsx,2,How Much Does a DUI Lawyer Cost in Florida? - Musca Law,https://www.muscalaw.com/blog/how-much-does-dui-lawyer-cost-florida,"First-time DUI cases with no aggravating factors: $2,500 – $7,500 · DUI cases involving accidents or high BAC levels: $5,000 – $10,000 · Felony ...",,,,,,,,,muscalaw.com,39,45,2,82615,2222,811096,,
first offense dui lawyer cost,Saint Petersburg,DUI-LongTail-- Saint Petersburg.xlsx,3,"DUI Conviction | Law Office Of William Bennett | St. Petersburg, FL",https://williambennettlaw.com/how-much-does-a-dui-conviction-really-cost/,DMV Administrative Hearing Fee: $35 · Process Server Fees: $100 · Court Reporter Fees: $75-200 · Investigative Fees: $150-250 · DUI School: $350 · Court Fines: $500- ...,,,,,,,,,williambennettlaw.com,16,29,2,332,139,64259,,
