keyword,city,source_file,ranking,title,link,snippet,business_name,rating,review_count,official_website,top_3_reviews,profile_updates,attributes,product_listings,domain,domain_authority,page_authority,spam_score,backlinks_count,referring_domains,pages_to_domain,top_backlinks,trust_flow
crypto attorney near me,Riverside,Crypto-LongTail-- Riverside.xlsx,1,Cryptocurrency | Orange County Digital Currency Lawyer Law ...,https://www.lawfirm4u.com/bitcoin-legal-services/bitcoin-law/cryptocurrency/,"Give us a call at 949-955-1000 to set up a free initial consultation, or use the contact form on our website.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,lawfirm4u.com,17,24,13,3991,89,4907,,
crypto attorney near me,Riverside,Crypto-LongTail-- Riverside.xlsx,2,Bitcoin Litigation | Orange County Digital Currency Lawyer Law ...,https://www.lawfirm4u.com/bitcoin-legal-services/bitcoin-law/bitcoin-litigation/,"If you need a knowledgeable source of legal guidance, contact us online to request a free initial consultation or call us at 949-955-1000.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,lawfirm4u.com,17,24,13,3991,89,4907,,
crypto attorney near me,Riverside,Crypto-LongTail-- Riverside.xlsx,3,Bitcoin | Securities Fraud Lawyer Silver Law Group,https://www.silverlaw.com/bitcoin.html,"Free Consultation (800) 975-4345 - Silver Law Group's securities arbitration lawyers work with investors to recover losses caused by securities fraud, ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,silverlaw.com,33,38,1,37266,980,328893,,
custody attorney riverside,Riverside,FamilyLaw-HighVolume -- Riverside.xlsx,1,Bratton & Razo Family Law Firm: Riverside Family Law Attorney,https://brattonfamilylaw.com/,"The Riverside family law attorneys at Bratton & Razo handle divorce, mediation, child custody, and all other family law related matters. Call today.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,brattonfamilylaw.com,18,37,-1,4014,286,4016,,
custody attorney riverside,Riverside,FamilyLaw-HighVolume -- Riverside.xlsx,2,Riverside Family Law Attorney | Corona Child Custody Lawyer | San ...,https://www.lawcullen.com/,Family law attorneys serving Riverside and Temecula. Cullen Family Law Group offers comprehensive family law representation. Call us at 951-824-6449.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,lawcullen.com,30,31,4,5553,268,40637,,
adoption attorneys,Riverside,FamilyLaw-HighVolume -- Riverside.xlsx,1,Adult Adoption by Experienced Adoption Attorney,https://randallhicks.com/,"Adult adoption can be fast and affordable. Adoption attorney Randall Hicks has 38 years experience in Riverside, San Diego & Orange County.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,randallhicks.com,14,31,1,261,130,1206,,
adoption attorneys,Riverside,FamilyLaw-HighVolume -- Riverside.xlsx,3,Riverside Adoption Attorney | Legal Guardianship,https://www.familylawforyou.com/family-law/adoption-and-guardianship-issues/,Call our Riverside law office at 951-329-9340 today for a free consultation about pursuing adoption or guardianship in California.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,familylawforyou.com,22,25,2,4575,92,24762,,
cryptocurrency attorney near me,Riverside,Crypto-LongTail-- Riverside.xlsx,1,Cryptocurrency | Orange County Digital Currency Lawyer Law ...,https://www.lawfirm4u.com/bitcoin-legal-services/bitcoin-law/cryptocurrency/,"Give us a call at 949-955-1000 to set up a free initial consultation, or use the contact form on our website.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,lawfirm4u.com,17,24,13,3991,89,4907,,
cryptocurrency attorney near me,Riverside,Crypto-LongTail-- Riverside.xlsx,2,"Cryptocurrency Lawsuit Lawyer | Crypto Hacking - Levin Law, P.A.",https://www.levinlawpa.com/cryptocurrency-hacking-fraud-lawsuits/,"At Levin Law, PA, we represent investors who have suffered cryptocurrency losses as a result of another party's negligence or wrongdoing.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,levinlawpa.com,24,30,1,700,237,9541,,
cryptocurrency attorney near me,Riverside,Crypto-LongTail-- Riverside.xlsx,3,Bitcoin | Securities Fraud Lawyer Silver Law Group,https://www.silverlaw.com/bitcoin.html,"Free Consultation (800) 975-4345 - Silver Law Group's securities arbitration lawyers work with investors to recover losses caused by securities fraud, ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,silverlaw.com,33,38,1,37266,980,328893,,
divorce attorney,Riverside,FamilyLaw-HighVolume -- Riverside.xlsx,1,"Divorce Attorney Riverside, CA | Schedule A Consultation",https://brattonfamilylaw.com/riverside-divorce-lawyer/,"Call 951-684-9000 or contact us here now for expert legal support. At Bratton & Razo , our Riverside divorce lawyers will do everything in our power to reduce the emotional impact divorce will have on you and your family.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,brattonfamilylaw.com,18,37,-1,4014,286,4016,,
divorce attorney,Riverside,FamilyLaw-HighVolume -- Riverside.xlsx,2,Riverside Divorce Lawyer | Shauna M. Albright,https://www.albrightfamilylaw.com/,"Call the Albright Family Law Group at (951) 400-5273 or contact us online today to schedule a consultation with a Family Attorney in Riverside, CA today.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,albrightfamilylaw.com,18,28,1,572,120,5939,,
cryptocurrency lawyers near me,Riverside,Crypto-LongTail-- Riverside.xlsx,1,Cryptocurrency | Orange County Digital Currency Lawyer Law ...,https://www.lawfirm4u.com/bitcoin-legal-services/bitcoin-law/cryptocurrency/,"Give us a call at 949-955-1000 to set up a free initial consultation, or use the contact form on our website.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,lawfirm4u.com,17,24,13,3991,89,4907,,
cryptocurrency lawyers near me,Riverside,Crypto-LongTail-- Riverside.xlsx,2,Bitcoin | Securities Fraud Lawyer Silver Law Group,https://www.silverlaw.com/bitcoin.html,"Free Consultation (800) 975-4345 - Silver Law Group's securities arbitration lawyers work with investors to recover losses caused by securities fraud, ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,silverlaw.com,33,38,1,37266,980,328893,,
cryptocurrency lawyers near me,Riverside,Crypto-LongTail-- Riverside.xlsx,3,Bitcoin Litigation | Orange County Digital Currency Lawyer Law ...,https://www.lawfirm4u.com/bitcoin-legal-services/bitcoin-law/bitcoin-litigation/,"If you need a knowledgeable source of legal guidance, contact us online to request a free initial consultation or call us at 949-955-1000.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,lawfirm4u.com,17,24,13,3991,89,4907,,
custody lawyers near me,Riverside,FamilyLaw-HighVolume -- Riverside.xlsx,1,Bratton & Razo Family Law Firm: Riverside Family Law Attorney,https://brattonfamilylaw.com/,Contact Our Riverside Family Law Lawyers for a Consultation  Contact us today at (951) 684-9000 for a consultation. A Riverside family law lawyer will stand by ready to provide you with the legal services you deserve.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,brattonfamilylaw.com,18,37,-1,4014,286,4016,,
custody lawyers near me,Riverside,FamilyLaw-HighVolume -- Riverside.xlsx,2,Clarksville Child Custody Lawyer - Patton & Pittman Attorneys,https://www.pattonandpittman.com/family-law/child-custody-visitation/,Need help with child custody? Our Clarksville family lawyers offer compassionate and experienced legal guidance to protect your parental rights.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,pattonandpittman.com,22,38,1,4317,438,109814,,
custody lawyers near me,Riverside,FamilyLaw-HighVolume -- Riverside.xlsx,3,Riverside Family Law Attorney | Corona Child Custody Lawyer | San ...,https://www.lawcullen.com/,Family law attorneys serving Riverside and Temecula. Cullen Family Law Group offers comprehensive family law representation. Call us at 951-824-6449.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,lawcullen.com,30,31,4,5553,268,40637,,
lawyers specializing in cryptocurrency,Riverside,Crypto-LongTail-- Riverside.xlsx,1,Cryptocurrency | Orange County Digital Currency Lawyer Law ...,https://www.lawfirm4u.com/bitcoin-legal-services/bitcoin-law/cryptocurrency/,"Based in Orange County, Bitcoin lawyer Roger E. Naghash has helped many clients in California and other regions explore the nuances of this complex subject area. Give us a call at 949-955-1000 to set up a free initial consultation, or use the contact form on our website.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,lawfirm4u.com,17,24,13,3991,89,4907,,
lawyers specializing in cryptocurrency,Riverside,Crypto-LongTail-- Riverside.xlsx,2,Bitcoin Litigation | Orange County Digital Currency Lawyer Law ...,https://www.lawfirm4u.com/bitcoin-legal-services/bitcoin-law/bitcoin-litigation/,"If you need a knowledgeable source of legal guidance, contact us online to request a free initial consultation or call us at 949-955-1000.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,lawfirm4u.com,17,24,13,3991,89,4907,,
