keyword,city,source_file,ranking,title,link,snippet,business_name,rating,review_count,official_website,top_3_reviews,profile_updates,attributes,product_listings,domain,domain_authority,page_authority,spam_score,backlinks_count,referring_domains,pages_to_domain,top_backlinks,trust_flow
environmental law firm near me,Westlake Village,EnvironmentalLaw-HighVolume-- Westlake Village.xlsx,3,Jackson Tidus - Flexible Approach. Stable Results.,https://www.jacksontidus.law/,"Our attorneys are experienced and knowledgeable, we give each of our clients personalized attention, and we are committed to our community.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,jacksontidus.law,27,25,41,6174,199,17965,,
environmental justice lawyer,Westlake Village,EnvironmentalLaw-HighVolume-- Westlake Village.xlsx,3,Environmental - Jackson Tidus,https://www.jacksontidus.law/practice-areas/environmental/,"We assist our clients in resolving environmental issues relating to land use development planning, remediation, federal and state permitting, and regulatory ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,jacksontidus.law,27,25,41,6174,199,17965,,
environmental compliance lawyer,Westlake Village,EnvironmentalLaw-HighVolume-- Westlake Village.xlsx,2,Environmental - Jackson Tidus,https://www.jacksontidus.law/practice-areas/environmental/,"We assist our clients in resolving environmental issues relating to land use development planning, remediation, federal and state permitting, and regulatory ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,jacksontidus.law,27,25,41,6174,199,17965,,
best dwi lawyer near me,Westlake Village,DUI-LongTail-- Westlake Village.xlsx,2,"Westlake Village, CA DUI Lawyers & Law Firms - Find the Best Near ...",https://api.lawyers.com/dui-dwi/westlake-village/california/law-firms/,"Find the right Westlake Village, CA DUI/DWI lawyer from 32 local law firms. Get peer reviews and client ratings averaging 4.1 of 5.0.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,api.lawyers.com,0,0,0,0,0,0,,
best dwi lawyer near me,Westlake Village,DUI-LongTail-- Westlake Village.xlsx,3,"OVI, DUI, DWI Defense Lawyer Serving Westlake, OH",https://www.mddoylelaw.com/default.aspx?section=Areas_Served/Westlake/OVI_DUI_DWI,"Westlake OVI, DUI and DWI Attorney. The Office of Michael D. Doyle, DUI Lawyer, near Westlake, OH, does not take on court-appointed cases, allowing Attorney ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,mddoylelaw.com,14,31,12,1086,197,111555,,
good dui lawyers near me,Westlake Village,DUI-LongTail-- Westlake Village.xlsx,1,DUI Lawyer in Westlake | Free Consultations 24/7,https://www.simmrinlawgroup.com/westlake/dui-lawyer/,Westlake DUI Lawyer: expert legal support from Simmrin Law Group - Free Consultations 24/7.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,simmrinlawgroup.com,35,38,-1,12270,1966,12271,,
good dui lawyers near me,Westlake Village,DUI-LongTail-- Westlake Village.xlsx,2,"TOP 10 BEST Dui Lawyer near Westlake Village, CA - Yelp",https://m.yelp.com/search?find_desc=Dui+Lawyer&find_loc=Westlake+Village%2C+CA,"Best Dui Lawyer near Westlake Village, CA · ARRO LAW | Criminal Defense Lawyer · DUI Defense Group · The Law Offices of Robert F. Sommers · Andrew S Roberts.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,m.yelp.com,0,0,0,0,0,0,,
good dui lawyers near me,Westlake Village,DUI-LongTail-- Westlake Village.xlsx,3,Criminal Defense and DUI Lawyers & Attorneys Westlake Village,https://www.chesleylawyers.com/locations/westlake-village-criminal-defense-attorneys/,Westlake Village criminal defense attorneys and DUI lawyers. Get your Westlake Village case dismissed! Free Consultation: (805) 791-2162.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,chesleylawyers.com,32,35,3,5297,695,69489,,
environmental law attorney,Westlake Village,EnvironmentalLaw-HighVolume-- Westlake Village.xlsx,3,"Steven O'Neill, Partner - Aleshire & Wynder, LLP",https://www.awattorneys.com/steveno/,"Westlake Village. t: (805) 495-4770. d ... O'Neill represents both public and private entities, emphasizing water law, environmental law, and municipal law.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,awattorneys.com,31,34,41,1174,323,49782,,
dui defense law firm near me,Westlake Village,DUI-LongTail-- Westlake Village.xlsx,1,"TOP 10 BEST Dui Lawyer near Westlake Village, CA - Yelp",https://m.yelp.com/search?find_desc=Dui+Lawyer&find_loc=Westlake+Village%2C+CA,"ARRO LAW | Criminal Defense Lawyer · Criminal Defense Law · DUI Law · Private Investigation. 32.3 mi · 655 N Central Ave, Fl 17 Los Angeles, CA 91203. (844) 735- ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,m.yelp.com,0,0,0,0,0,0,,
dui defense law firm near me,Westlake Village,DUI-LongTail-- Westlake Village.xlsx,2,Ridley Defense: Ventura Criminal Defense & DUI Lawyer,https://ridleydefense.com/,"Ventura Criminal Defense & DUI Lawyer. Ridley Defense has experience with ... 2629 Townsgate Rd Suite #235D, Westlake Village, CA 91361. (805) 429-4819.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,ridleydefense.com,22,35,1,3958,262,3958,,
best dwi lawyer in westlake village,Westlake Village,DUI-LongTail-- Westlake Village.xlsx,3,"TOP 10 BEST Dui Lawyer near Westlake Village, CA - Yelp",https://m.yelp.com/search?find_desc=Dui+Lawyer&find_loc=Westlake+Village%2C+CA,"Top 10 Best Dui Lawyer in Westlake Village, CA - April 2025 - Yelp - ARRO LAW | Criminal Defense Lawyer, DUI Defense Group, The Law Offices of Robert F ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,m.yelp.com,0,0,0,0,0,0,,
affordable dui lawyers near me,Westlake Village,DUI-LongTail-- Westlake Village.xlsx,1,"TOP 10 BEST Dui Lawyer near Westlake Village, CA - Yelp",https://m.yelp.com/search?find_desc=Dui+Lawyer&find_loc=Westlake+Village%2C+CA,"Best Dui Lawyer near Westlake Village, CA · ARRO LAW | Criminal Defense Lawyer · DUI Defense Group · The Law Offices of Robert F. Sommers · Andrew S Roberts.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,m.yelp.com,0,0,0,0,0,0,,
affordable dui lawyers near me,Westlake Village,DUI-LongTail-- Westlake Village.xlsx,2,Criminal Defense and DUI Lawyers & Attorneys Westlake Village,https://www.chesleylawyers.com/locations/westlake-village-criminal-defense-attorneys/,"Westlake Village Criminal Defense Attorneys and DUI Lawyers, 2625 Townsgate Rd, Ste 330 Westlake Village, CA 91361, (805) 791-2162",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,chesleylawyers.com,32,35,3,5297,695,69489,,
affordable dui lawyers near me,Westlake Village,DUI-LongTail-- Westlake Village.xlsx,3,Criminal Defense Attorneys | DUI/DWI Lawyers California,https://www.chesleylawyers.com/,"We are highly-skilled, aggressive, and knowledgeable criminal defense and DUI lawyers in California with extensive experience practicing criminal law.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,chesleylawyers.com,32,35,3,5297,695,69489,,
environmental impact attorney,Westlake Village,EnvironmentalLaw-HighVolume-- Westlake Village.xlsx,2,Environmental Contamination - The Lanier Law Firm,https://www.lanierlawfirm.com/practice-areas/business-litigation/environmental-contamination/,"The Lanier Law Firm is active in numerous environmental litigation matters, and we accept clients throughout the United States who have been harmed by ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,lanierlawfirm.com,49,48,-1,69572,3542,69939,,
environmental impact attorney,Westlake Village,EnvironmentalLaw-HighVolume-- Westlake Village.xlsx,3,Environmental - Jackson Tidus,https://www.jacksontidus.law/practice-areas/environmental/,"We assist our clients in resolving environmental issues relating to land use development planning, remediation, federal and state permitting, and regulatory ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,jacksontidus.law,27,25,41,6174,199,17965,,
