keyword,city,source_file,ranking,title,link,snippet,business_name,rating,review_count,official_website,top_3_reviews,profile_updates,attributes,product_listings,domain,domain_authority,page_authority,spam_score,backlinks_count,referring_domains,pages_to_domain,top_backlinks,trust_flow
best immigration attorney near me,Carlsbad,Immigration-LongTail -- Carlsbad.xlsx,3,HURWITZ HOLT – SAN DIEGO IMMIGRATION LAWYERS – San ...,https://sandiegoimmigration.com/,"... BEST IMMIGRATION LAW FIRM FOR ALL YOUR LEGAL NEEDS Consultations by Appointment ... Carlsbad, CA 92011 USA (619) 239-7855. Hours. — By appointment only ...",,,,,,,,,sandiegoimmigration.com,21,28,9,988,109,2023,,
best immigration lawyer near me consultation,Carlsbad,Immigration-LongTail -- Carlsbad.xlsx,3,HURWITZ HOLT – SAN DIEGO IMMIGRATION LAWYERS – San ...,https://sandiegoimmigration.com/,"... BEST IMMIGRATION LAW FIRM FOR ALL YOUR LEGAL NEEDS Consultations by Appointment ... Carlsbad, CA 92011 USA (619) 239-7855. Hours. — By appointment only ...",,,,,,,,,sandiegoimmigration.com,21,28,9,988,109,2023,,
free immigration lawyer near me,Carlsbad,Immigration-LongTail -- Carlsbad.xlsx,2,Legal Aid Society of San Diego,https://www.lassd.org/,We Provide Free Legal Help with · Civil Appeals (selfhelp workshop) · Conservatorships · Consumer Protection and Bankruptcy · Education Rights · Eviction Defense ...,,,,,,,,,lassd.org,39,40,28,6152,1074,278191,,
best immigration lawyer near me,Carlsbad,Immigration-LongTail -- Carlsbad.xlsx,3,HURWITZ HOLT – SAN DIEGO IMMIGRATION LAWYERS – San ...,https://sandiegoimmigration.com/,A full service San Diego County-based immigration law firm experienced in all aspects of US immigration and naturalization law.,,,,,,,,,sandiegoimmigration.com,21,28,9,988,109,2023,,
best immigration lawyer carlsbad,Carlsbad,Immigration-LongTail -- Carlsbad.xlsx,2,HURWITZ HOLT – SAN DIEGO IMMIGRATION LAWYERS – San ...,https://sandiegoimmigration.com/,A full service San Diego County-based immigration law firm experienced in all aspects of US immigration and naturalization law.,,,,,,,,,sandiegoimmigration.com,21,28,9,988,109,2023,,
immigration attorney carlsbad,Carlsbad,Immigration-LongTail -- Carlsbad.xlsx,1,HURWITZ HOLT – SAN DIEGO IMMIGRATION LAWYERS – San ...,https://sandiegoimmigration.com/,A full service San Diego County-based immigration law firm experienced in all aspects of US immigration and naturalization law.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,sandiegoimmigration.com,21,28,9,988,109,2023,,
immigration attorney carlsbad,Carlsbad,Immigration-LongTail -- Carlsbad.xlsx,3,Attorney Carlsbad | Business and Immigration Lawyer | Silvina Tondini,https://tondinilaw.com/meet-silvina-tondini/,Silvina Tondini has over two decades of experience working in both the International Business Law and Immigration Law practice areas.,,,,,,,,,tondinilaw.com,16,28,1,260,169,1025,,
immigration attorney near me free consultation,Carlsbad,Immigration-LongTail -- Carlsbad.xlsx,3,"Best Carlsbad, CA Immigration Lawyers, Criminal Defense ...",https://matianfirm.com/lawyers-near/carlsbad/,"Carlsbad, CA Law Firm - Contact Us Today - Free Consultation. ... Best Carlsbad Lawyers Near Me. Satisfied Clients. 47,000 +. Attorneys. 64. Years ...",,,,,,,,,matianfirm.com,26,38,2,2248,440,3436,,
immigration attorney near me,Carlsbad,Immigration-LongTail -- Carlsbad.xlsx,2,Carlsbad Immigration Lawyers,https://northcountyimmigration.com/carlsbad-immigration-lawyers/,"We offer a comprehensive range of immigration services, including family-based immigration, employment-based immigration, asylum, and deportation defense.",,,,,,,,,northcountyimmigration.com,17,30,4,953,119,25090,,
immigration attorney near me,Carlsbad,Immigration-LongTail -- Carlsbad.xlsx,3,"North County Legal®, APC: Estate Planning & Immigration Attorney ...",https://northcountylegal.com/,"Attorney Alexeev combines her passion for the law and her depth of experience to help individuals, families, and businesses in Carlsbad and the rest of San ...",,,,,,,,,northcountylegal.com,15,25,3,139,49,1401,,
immigration lawyer carlsbad,Carlsbad,Immigration-LongTail -- Carlsbad.xlsx,1,HURWITZ HOLT – SAN DIEGO IMMIGRATION LAWYERS – San ...,https://sandiegoimmigration.com/,A full service San Diego County-based immigration law firm experienced in all aspects of US immigration and naturalization law.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,sandiegoimmigration.com,21,28,9,988,109,2023,,
immigration lawyer carlsbad,Carlsbad,Immigration-LongTail -- Carlsbad.xlsx,3,Attorney Carlsbad | Business and Immigration Lawyer | Silvina Tondini,https://tondinilaw.com/meet-silvina-tondini/,Silvina Tondini has over two decades of experience working in both the International Business Law and Immigration Law practice areas.,,,,,,,,,tondinilaw.com,16,28,1,260,169,1025,,
immigration lawyer for free consultation,Carlsbad,Immigration-LongTail -- Carlsbad.xlsx,2,Immigration Attorney: Paid Consultation vs Free Consultation?,https://tondinilaw.com/immigration-attorney-paid-consultation-vs-free-consultation-invest-in-yourself/,"When you pay for a consultation with an immigration attorney, you pay for experience, knowledge, understanding, strategy, and direct support from the attorney.",,,,,,,,,tondinilaw.com,16,28,1,260,169,1025,,
immigration lawyer for free consultation,Carlsbad,Immigration-LongTail -- Carlsbad.xlsx,3,"Best Carlsbad, CA Immigration Lawyers, Criminal Defense ...",https://matianfirm.com/lawyers-near/carlsbad/,"Free Consultation (Call Now). Carlsbad Immigration, Personal Injury, & Criminal Defense Attorneys. Are you looking for a Lawyer in Carlsbad? We have some of ...",,,,,,,,,matianfirm.com,26,38,2,2248,440,3436,,
immigration lawyer near me free consultation,Carlsbad,Immigration-LongTail -- Carlsbad.xlsx,3,"Best Carlsbad, CA Immigration Lawyers, Criminal Defense ...",https://matianfirm.com/lawyers-near/carlsbad/,"Carlsbad, CA Law Firm - Contact Us Today - Free Consultation. ... Best Carlsbad Lawyers Near Me. Satisfied Clients. 47,000 +. Attorneys. 64. Years ...",,,,,,,,,matianfirm.com,26,38,2,2248,440,3436,,
immigration lawyer in carlsbad,Carlsbad,Immigration-LongTail -- Carlsbad.xlsx,1,HURWITZ HOLT – SAN DIEGO IMMIGRATION LAWYERS – San ...,https://sandiegoimmigration.com/,A full service San Diego County-based immigration law firm experienced in all aspects of US immigration and naturalization law.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,sandiegoimmigration.com,21,28,9,988,109,2023,,
immigration lawyer in carlsbad,Carlsbad,Immigration-LongTail -- Carlsbad.xlsx,3,Attorney Carlsbad | Business and Immigration Lawyer | Silvina Tondini,https://tondinilaw.com/meet-silvina-tondini/,Silvina Tondini has over two decades of experience working in both the International Business Law and Immigration Law practice areas.,,,,,,,,,tondinilaw.com,16,28,1,260,169,1025,,
immigration lawyer near me,Carlsbad,Immigration-LongTail -- Carlsbad.xlsx,2,HURWITZ HOLT – SAN DIEGO IMMIGRATION LAWYERS – San ...,https://sandiegoimmigration.com/,"Carlsbad Office. 6120 Paseo Del Norte, Suite G-2. Carlsbad, CA 92011 USA (619) 239-7855. Hours. — By appointment only / Solo con cita —. Monday – 9:00am to 5 ...",,,,,,,,,sandiegoimmigration.com,21,28,9,988,109,2023,,
immigration lawyer near me,Carlsbad,Immigration-LongTail -- Carlsbad.xlsx,3,Carlsbad Immigration Lawyers,https://northcountyimmigration.com/carlsbad-immigration-lawyers/,"We offer a comprehensive range of immigration services, including family-based immigration, employment-based immigration, asylum, and deportation defense.",,,,,,,,,northcountyimmigration.com,17,30,4,953,119,25090,,
immigration lawyer near me with free consultation,Carlsbad,Immigration-LongTail -- Carlsbad.xlsx,2,"Best Carlsbad, CA Immigration Lawyers, Criminal Defense ...",https://matianfirm.com/lawyers-near/carlsbad/,"Carlsbad, CA Law Firm - Contact Us Today - Free Consultation. ... Best Carlsbad Lawyers Near Me. Satisfied Clients. 47,000 +. Attorneys. 64. Years ...",,,,,,,,,matianfirm.com,26,38,2,2248,440,3436,,
pro bono immigration attorney near me,Carlsbad,Immigration-LongTail -- Carlsbad.xlsx,2,Casa Cornelia Law Center: Pro Bono Immigration Lawyer in San ...,https://casacornelia.org/,"Casa Cornelia Law Center, a 501(c)(3) public interest law firm, provides quality pro bono legal services to victims of human and civil rights violations.",,,,,,,,,casacornelia.org,35,37,1,1780,359,5952,,
pro bono immigration lawyers near me,Carlsbad,Immigration-LongTail -- Carlsbad.xlsx,2,Casa Cornelia Law Center: Pro Bono Immigration Lawyer in San ...,https://casacornelia.org/,"Casa Cornelia Law Center, a 501(c)(3) public interest law firm, provides quality pro bono legal services to victims of human and civil rights violations.",,,,,,,,,casacornelia.org,35,37,1,1780,359,5952,,
best immigration lawyer,Carlsbad,Immigration-HighVolume -- Carlsbad.xlsx,2,HURWITZ HOLT – SAN DIEGO IMMIGRATION LAWYERS – San ...,https://sandiegoimmigration.com/,A full service San Diego County-based immigration law firm experienced in all aspects of US immigration and naturalization law.,,,,,,,,,sandiegoimmigration.com,21,28,9,988,109,2023,,
best immigration lawyer,Carlsbad,Immigration-HighVolume -- Carlsbad.xlsx,3,Carlsbad Immigration Lawyers,https://northcountyimmigration.com/carlsbad-immigration-lawyers/,Let our top immigration lawyer help you get the results you want. Contact our office online using the contact form or call us at (760) 233-0800 to schedule ...,,,,,,,,,northcountyimmigration.com,17,30,4,953,119,25090,,
best immigration law firms,Carlsbad,Immigration-HighVolume -- Carlsbad.xlsx,2,HURWITZ HOLT – SAN DIEGO IMMIGRATION LAWYERS – San ...,https://sandiegoimmigration.com/,A full service San Diego County-based immigration law firm experienced in all aspects of US immigration and naturalization law.,,,,,,,,,sandiegoimmigration.com,21,28,9,988,109,2023,,
cheap immigration lawyer,Carlsbad,Immigration-HighVolume -- Carlsbad.xlsx,3,Immigration Attorney Legal Referrals - Alliance San Diego,https://www.alliancesd.org/immigration-lawyer-legal-assistance-san-diego,Immigration Attorney Referral List. Here you will find a list of Low-Cost Legal Service Agencies and a list of Private Bar Immigration Attorneys that may be ...,,,,,,,,,alliancesd.org,43,33,1,4505,512,21304,,
citizenship immigration lawyer,Carlsbad,Immigration-HighVolume -- Carlsbad.xlsx,2,HURWITZ HOLT – SAN DIEGO IMMIGRATION LAWYERS – San ...,https://sandiegoimmigration.com/,A full service San Diego County-based immigration law firm experienced in all aspects of US immigration and naturalization law.,,,,,,,,,sandiegoimmigration.com,21,28,9,988,109,2023,,
citizenship immigration lawyer,Carlsbad,Immigration-HighVolume -- Carlsbad.xlsx,3,Carlsbad Immigration Lawyers,https://northcountyimmigration.com/carlsbad-immigration-lawyers/,"We offer a comprehensive range of immigration services, including family-based immigration, employment-based immigration, asylum, and deportation defense.",,,,,,,,,northcountyimmigration.com,17,30,4,953,119,25090,,
criminal and immigration attorney,Carlsbad,Immigration-HighVolume -- Carlsbad.xlsx,2,"Best Carlsbad, CA Immigration Lawyers, Criminal Defense ...",https://matianfirm.com/lawyers-near/carlsbad/,"We have some of the top awarded and experienced lawyers. You can view our past criminal law case results, and view our law firm reviews to learn more about us.",,,,,,,,,matianfirm.com,26,38,2,2248,440,3436,,
criminal and immigration attorney,Carlsbad,Immigration-HighVolume -- Carlsbad.xlsx,3,"Your #1 Immigration Attorney in Carlsbad, California - Abogada Ashley",https://abogadaashley.com/locations/carlsbad-california/,"criminal background check. state criminal record requests. appeals. City of Carlsbad. Your Immigration Attorney In Carlsbad, CA. The immigration ...",,,,,,,,,abogadaashley.com,14,29,6,801,141,1270,,
canadian immigration lawyers,Carlsbad,Immigration-HighVolume -- Carlsbad.xlsx,1,HURWITZ HOLT – SAN DIEGO IMMIGRATION LAWYERS – San ...,https://sandiegoimmigration.com/,"Carlsbad Office. 6120 Paseo Del Norte, Suite G-2. Carlsbad, CA 92011 USA (619) 239-7855. Hours. — By appointment only / Solo con cita —. Monday – 9:00am to 5 ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,sandiegoimmigration.com,21,28,9,988,109,2023,,
canadian immigration lawyers,Carlsbad,Immigration-HighVolume -- Carlsbad.xlsx,2,Law Offices of Jacob J. Sapochnick: San Diego Immigration Lawyer ...,https://www.h1b.biz/,Schedule a Consultation - Call 619.819.9204 - Jacob Sapochnick is dedicated to serving our clients with a range of legal services including Immigration and ...,,,,,,,,,h1b.biz,35,42,2,285109,992,300879,,
canadian immigration lawyers,Carlsbad,Immigration-HighVolume -- Carlsbad.xlsx,3,Leibl and Kirkwood PC: Immigration & Nationality Law Attorneys,https://usimmigrationlaw.net/,Attorneys Geoffrey Leibl & Joe Kirkwood are dedicated to helping potential immigrants seeking information about their United States immigration options.,,,,,,,,,usimmigrationlaw.net,18,31,-1,317,130,317,,
criminal and immigration lawyer,Carlsbad,Immigration-HighVolume -- Carlsbad.xlsx,2,"Best Carlsbad, CA Immigration Lawyers, Criminal Defense ...",https://matianfirm.com/lawyers-near/carlsbad/,"We have some of the top awarded and experienced lawyers. You can view our past criminal law case results, and view our law firm reviews to learn more about us.",,,,,,,,,matianfirm.com,26,38,2,2248,440,3436,,
criminal and immigration lawyer,Carlsbad,Immigration-HighVolume -- Carlsbad.xlsx,3,Carlsbad Immigration Lawyers,https://northcountyimmigration.com/carlsbad-immigration-lawyers/,... Lawyer · Business Visa Immigration Lawyer · Criminal Defense Immigration Lawyer · DACA Immigration Lawyer · Detainee Transfer Lawyer. Deportation & Removal ...,,,,,,,,,northcountyimmigration.com,17,30,4,953,119,25090,,
deportation defense lawyer,Carlsbad,Immigration-HighVolume -- Carlsbad.xlsx,1,Carlsbad's Trusted Immigration Law Firm - Law Offices of Peter D. Chu,https://peterchu.com/pages/carlsbad-immigration-law-firm,"The Law Office of Peter Chu stands ready to defend and advocate for our clients' rights in Carlsbad. We handle cases involving asylum, withholding of removal, relief under the Convention Against Torture, and appeals to the Board of Immigration Appeals and federal courts.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,peterchu.com,21,32,4,1254,191,85951,,
deportation defense lawyer,Carlsbad,Immigration-HighVolume -- Carlsbad.xlsx,2,Carlsbad Immigration Lawyers,https://northcountyimmigration.com/carlsbad-immigration-lawyers/,"We offer a comprehensive range of immigration services, including family-based immigration, employment-based immigration, asylum, and deportation defense.",,,,,,,,,northcountyimmigration.com,17,30,4,953,119,25090,,
