keyword,city,source_file,ranking,title,link,snippet,business_name,rating,review_count,official_website,top_3_reviews,profile_updates,attributes,product_listings,domain,domain_authority,page_authority,spam_score,backlinks_count,referring_domains,pages_to_domain,top_backlinks,trust_flow
local environmental attorneys for property contamination cases,Pasadena,EnvironmentalLaw-LongTail-- Pasadena.xlsx,2,"Environmental - Cox, Castle & Nicholson",https://www.coxcastle.com/practices-environmental,"Our attorneys assist clients with environmental issues arising in transactions, risk management and regulatory strategies, as well as federal and state court ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,coxcastle.com,42,38,9,17752,895,140194,,
environmental compliance attorney near me,Pasadena,EnvironmentalLaw-LongTail-- Pasadena.xlsx,3,"Environmental - Cox, Castle & Nicholson",https://www.coxcastle.com/practices-environmental,"Our attorneys assist clients with environmental issues arising in transactions, risk management and regulatory strategies, as well as federal and state court ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,coxcastle.com,42,38,9,17752,895,140194,,
environmental impact assessment lawyers in my city,Pasadena,EnvironmentalLaw-LongTail-- Pasadena.xlsx,2,"Environmental - Cox, Castle & Nicholson",https://www.coxcastle.com/practices-environmental,"We assist clients in assessing and ensuring compliance with environmental laws and regulations such as: CERCLA, RCRA, and their California equivalents (Chapters ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,coxcastle.com,42,38,9,17752,895,140194,,
toxic waste and hazardous materials attorney near me,Pasadena,EnvironmentalLaw-LongTail-- Pasadena.xlsx,3,Toxic Substance Exposure in Pasadena,https://tedfordlaw.com/personal-injury/toxic-substance-exposure/,"Toxic substance injuries can be complex, and Tedford & Associates can help you navigate your case to get the medical treatment you deserve.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,tedfordlaw.com,26,27,2,784,118,2452,,
water contamination lawsuit attorney near me,Pasadena,EnvironmentalLaw-LongTail-- Pasadena.xlsx,1,Camp Lejeune Water Contamination Lawyers (888) 488-1391,https://arashlaw.com/practice-areas/water-contamination-lawyers/,Those who suffered injuries caused by the water contamination at Camp Lejeune can seek financial compensation. Call us for a free consultation.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,arashlaw.com,34,46,1,87369,2552,4214465,,
water contamination lawsuit attorney near me,Pasadena,EnvironmentalLaw-LongTail-- Pasadena.xlsx,3,Lawyer for Bladder Cancer Camp Lejeune Lawsuit,https://downtownlalaw.com/camp-lejeune-water-contamination/lawyer-for-bladder-cancer-camp-lejeune-lawsuit/,"... Water Contamination; Lawyer for Bladder Cancer Camp Lejeune Lawsuit. Lawyer ... PASADENA OFFICE 117 E Colorado Blvd #600. Pasadena, CA 91105. Appointment ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,downtownlalaw.com,35,47,1,23606,3258,656620,,
legal experts in environmental policy and regulations near me,Pasadena,EnvironmentalLaw-LongTail-- Pasadena.xlsx,3,"Environmental - Cox, Castle & Nicholson",https://www.coxcastle.com/practices-environmental,"Our attorneys assist clients with environmental issues arising in transactions, risk management and regulatory strategies, as well as federal and state court ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,coxcastle.com,42,38,9,17752,895,140194,,
homeowners association attorney near me,Pasadena,RealEstateLaw-LongTail -- Pasadena.xlsx,3,Los Angeles HOA Lawyer | #1 HOA Attorney | LS Carlson Law,https://lscarlsonlaw.com/los-angeles-hoa-attorney,Los Angeles's leading HOA attorneys with over 15 years experience. We've won more HOA cases than any other firm nationwide. Free consultation.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,lscarlsonlaw.com,21,34,2,1530,266,6002,,
commercial lease attorney near me,Pasadena,RealEstateLaw-LongTail -- Pasadena.xlsx,1,"Pasadena TX Business Lawyer - The Curry Law Firm, PLLC",https://www.theclfirm.com/pasadena-tx-business-lawyer/,Missing: commercial lease,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,theclfirm.com,21,27,1,689,155,3289,,
commercial real estate attorney near me,Pasadena,RealEstateLaw-LongTail -- Pasadena.xlsx,2,Pasadena Real Estate Lawyer | Land Administration Attorney,https://www.rgpattorney.com/pasadena-real-estate-lawyer/,"Call Pasadena area real estate lawyer Robert G. Petrovich at 626-792-5955 for insightful, down-to-earth guidance backed by over 30 years of experience.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,rgpattorney.com,13,24,1,573,74,3403,,
commercial real estate attorney near me,Pasadena,RealEstateLaw-LongTail -- Pasadena.xlsx,3,"Dan Hogue: Pasadena, California Real Estate Litigation Lawyer",https://www.danhoguelaw.com/,"For skilled help in resolving your real estate disputes, call Dan Hogue at 626-765-4673 to discuss your case and to schedule an appointment or contact me online ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,danhoguelaw.com,14,25,10,144,58,326,,
commercial real estate lawyer near me,Pasadena,RealEstateLaw-LongTail -- Pasadena.xlsx,2,Pasadena Real Estate Lawyer | Land Administration Attorney,https://www.rgpattorney.com/pasadena-real-estate-lawyer/,"Call Pasadena area real estate lawyer Robert G. Petrovich at 626-792-5955 for insightful, down-to-earth guidance backed by over 30 years of experience.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,rgpattorney.com,13,24,1,573,74,3403,,
commercial real estate lawyer near me,Pasadena,RealEstateLaw-LongTail -- Pasadena.xlsx,3,Law Offices of Paul P. Cheng & Associates: Pasadena Attorney,https://www.paulchenglaw.com/,"Our Pasadena lawyer offers legal services and representation on injury, business, employment, & real estate. Call the Law Offices of Paul P. Cheng ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,paulchenglaw.com,24,30,1,141292,225,158889,,
commercial lease lawyer near me,Pasadena,RealEstateLaw-LongTail -- Pasadena.xlsx,1,Law Offices of Paul P. Cheng & Associates: Pasadena Attorney,https://www.paulchenglaw.com/,"Our Pasadena lawyer offers legal services and representation on injury, business, employment, & real estate. Call the Law Offices of Paul P. Cheng ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,paulchenglaw.com,24,30,1,141292,225,158889,,
commercial lease lawyer near me,Pasadena,RealEstateLaw-LongTail -- Pasadena.xlsx,2,Pasadena Real Estate Lawyer | Land Administration Attorney,https://www.rgpattorney.com/pasadena-real-estate-lawyer/,"Call Pasadena area real estate lawyer Robert G. Petrovich at 626-792-5955 for insightful, down-to-earth guidance backed by over 30 years of experience.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,rgpattorney.com,13,24,1,573,74,3403,,
commercial lease lawyer near me,Pasadena,RealEstateLaw-LongTail -- Pasadena.xlsx,3,"Commercial Lease Disputes Attorney in Birmingham, Alabama",https://www.clarklawfirm.com/practice-areas/commercial-litigation/commercial-lease-disputes/index.html,"If you're involved in a commercial lease dispute, you need your conflict addressed quickly and efficiently. Call Clark Law Firm today for a consultation.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,clarklawfirm.com,21,32,4,1370,207,3331,,
real estate attorney pasadena,Pasadena,RealEstateLaw-LongTail -- Pasadena.xlsx,1,"Dan Hogue: Pasadena, California Real Estate Litigation Lawyer",https://www.danhoguelaw.com/,"For skilled help in resolving your real estate disputes, call Dan Hogue at 626-765-4673 to discuss your case and to schedule an appointment or contact me online ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,danhoguelaw.com,14,25,10,144,58,326,,
real estate attorney pasadena,Pasadena,RealEstateLaw-LongTail -- Pasadena.xlsx,3,"Efficient Real Estate Lawyers in Pasadena, CA - Alkana Law",https://www.alkanalaw.com/practice-areas/real-estate/,Call Alkana Law at (626) 796-8170 or contact us online to schedule a free phone consultation with a real estate attorney in our Pasadena office. We welcome ...,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,alkanalaw.com,20,20,-1,1309,78,1902,,
real estate lawyers in pasadena,Pasadena,RealEstateLaw-LongTail -- Pasadena.xlsx,2,"Dan Hogue: Pasadena, California Real Estate Litigation Lawyer",https://www.danhoguelaw.com/,"For skilled help in resolving your real estate disputes, call Dan Hogue at 626-765-4673 to discuss your case and to schedule an appointment or contact me online ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,danhoguelaw.com,14,25,10,144,58,326,,
real estate lawyers in pasadena,Pasadena,RealEstateLaw-LongTail -- Pasadena.xlsx,3,"Efficient Real Estate Lawyers in Pasadena, CA - Alkana Law",https://www.alkanalaw.com/practice-areas/real-estate/,Call Alkana Law at (626) 796-8170 or contact us online to schedule a free phone consultation with a real estate attorney in our Pasadena office. We welcome ...,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,alkanalaw.com,20,20,-1,1309,78,1902,,
property dispute lawyers near me,Pasadena,RealEstateLaw-LongTail -- Pasadena.xlsx,2,Pasadena Real Estate Litigation Lawyer | Law Firm,https://www.rgpattorney.com/pasadena-real-estate-litigation-lawyer/,"The law firm of Robert G. Petrovich, Attorney at Law, has over 35 years of experience litigating real estate and business law.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,rgpattorney.com,13,24,1,573,74,3403,,
property dispute lawyers near me,Pasadena,RealEstateLaw-LongTail -- Pasadena.xlsx,3,Real Estate Litigation Attorney in Pasadena Texas - John Pittman III,https://jp3law.com/pasadena/real-estate-litigation/,"Expert Real Estate Litigation Lawyer in Pasadena, TX. John L. Pittman III provides skilled legal representation. Call 833-773-9889 for assistance.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,jp3law.com,8,18,1,5028,17,1285310,,
