keyword,city,source_file,ranking,title,link,snippet,business_name,rating,review_count,official_website,top_3_reviews,profile_updates,attributes,product_listings,domain,domain_authority,page_authority,spam_score,backlinks_count,referring_domains,pages_to_domain,top_backlinks,trust_flow
construction attorney,Fresno,Construction-HighVolume -- Fresno.xlsx,1,Construction Law | Contract Law | Fresno Law Firm,https://www.mccormickbarstow.com/industries/construction/,"Learn about the legal services offered to construction companies including contract law, torts, property law and occupational safety - Fresno Law Firm.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,mccormickbarstow.com,36,38,3,6855,585,8805,,
construction law attorney,Fresno,Construction-HighVolume -- Fresno.xlsx,1,Construction Law | Contract Law | Fresno Law Firm,https://www.mccormickbarstow.com/industries/construction/,"Learn about the legal services offered to construction companies including contract law, torts, property law and occupational safety - Fresno Law Firm.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,mccormickbarstow.com,36,38,3,6855,585,8805,,
contractor lawyer,Fresno,Construction-HighVolume -- Fresno.xlsx,1,Construction Law | Contract Law | Fresno Law Firm,https://www.mccormickbarstow.com/industries/construction/,"Learn about the legal services offered to construction companies including contract law, torts, property law and occupational safety - Fresno Law Firm.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,mccormickbarstow.com,36,38,3,6855,585,8805,,
building construction lawyer,Fresno,Construction-HighVolume -- Fresno.xlsx,1,Construction Law | Contract Law | Fresno Law Firm,https://www.mccormickbarstow.com/industries/construction/,"Learn about the legal services offered to construction companies including contract law, torts, property law and occupational safety - Fresno Law Firm.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,mccormickbarstow.com,36,38,3,6855,585,8805,,
lawyer for contractor dispute,Fresno,Construction-HighVolume -- Fresno.xlsx,1,Construction Law | Contract Law | Fresno Law Firm,https://www.mccormickbarstow.com/industries/construction/,"Learn about the legal services offered to construction companies including contract law, torts, property law and occupational safety - Fresno Law Firm.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,mccormickbarstow.com,36,38,3,6855,585,8805,,
lawyer for contractor dispute,Fresno,Construction-HighVolume -- Fresno.xlsx,3,Construction Litigation Attorney for Contractors & Property Owners,https://lloydwinterlaw.com/services/construction-litigation/,"Construction Litigation Attorney resolving contractor disputes, liens, and construction defects in California and Texas.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,lloydwinterlaw.com,25,29,-1,4304,129,4558,,
construction contract lawyers,Fresno,Construction-HighVolume -- Fresno.xlsx,1,Construction Law | Contract Law | Fresno Law Firm,https://www.mccormickbarstow.com/industries/construction/,"Learn about the legal services offered to construction companies including contract law, torts, property law and occupational safety - Fresno Law Firm.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,mccormickbarstow.com,36,38,3,6855,585,8805,,
estate tax attorney near me,Fresno,TaxationLaw-HighVolume -- Fresno.xlsx,2,"Fresno Law Firm, The Law Office of Frank Huerta Jr. | Home",https://www.frankhuertalaw.com/,"Experienced lawyer helps Californians resolve tax, business law and estate planning issues. When you are trying to reduce your tax liability, start a business ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,frankhuertalaw.com,14,22,-1,2479,52,3199,,
construction dispute lawyers,Fresno,Construction-HighVolume -- Fresno.xlsx,2,Construction Law | Contract Law | Fresno Law Firm,https://www.mccormickbarstow.com/industries/construction/,Dispute resolution. Attorneys who represent construction companies help clients manage construction contracts and to implement planning steps to avoid disputes.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,mccormickbarstow.com,36,38,3,6855,585,8805,,
best tax attorney fresno,Fresno,TaxationLaw-HighVolume -- Fresno.xlsx,3,"Fresno Law Firm, The Law Office of Frank Huerta Jr. | Home",https://www.frankhuertalaw.com/,"As a tax law clinic director, he provided legal representation for hundreds of taxpayers before the IRS, Franchise Tax Board, CDTFA and EDD. He draws upon ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,frankhuertalaw.com,14,22,-1,2479,52,3199,,
construction lawyer,Fresno,Construction-HighVolume -- Fresno.xlsx,1,Construction Law | Contract Law | Fresno Law Firm,https://www.mccormickbarstow.com/industries/construction/,"Learn about the legal services offered to construction companies including contract law, torts, property law and occupational safety - Fresno Law Firm.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,mccormickbarstow.com,36,38,3,6855,585,8805,,
financial and tax advisor,Fresno,TaxationLaw-HighVolume -- Fresno.xlsx,1,"Kerr Wealth Management: Fresno Financial Advisors, Financial ...",https://www.kerrwealth.com/,"Kerr Wealth Management is a fee-only Registered Investment Advisor (RIA). Our Financial Advisors help people invest in their future, reduce taxes, save money ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,kerrwealth.com,19,24,1,626,89,969,,
financial and tax advisor,Fresno,TaxationLaw-HighVolume -- Fresno.xlsx,2,Tax Strategies for Individuals - Fresno - W CPA Group,https://www.twcpa.com/taxstrategies-individuals.php,"W CPA Group is a full-service accounting and consulting firm located in Clovis, CA. Let us help you today (559) 256-5600!",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,twcpa.com,20,30,29,397,132,397,,
lawyer for construction,Fresno,Construction-HighVolume -- Fresno.xlsx,1,Construction Law | Contract Law | Fresno Law Firm,https://www.mccormickbarstow.com/industries/construction/,"Learn about the legal services offered to construction companies including contract law, torts, property law and occupational safety - Fresno Law Firm.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,mccormickbarstow.com,36,38,3,6855,585,8805,,
construction lawyers for homeowners,Fresno,Construction-HighVolume -- Fresno.xlsx,2,Construction Law | Contract Law | Fresno Law Firm,https://www.mccormickbarstow.com/industries/construction/,"Learn about the legal services offered to construction companies including contract law, torts, property law and occupational safety - Fresno Law Firm.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,mccormickbarstow.com,36,38,3,6855,585,8805,,
business tax lawyer,Fresno,TaxationLaw-HighVolume -- Fresno.xlsx,2,"Fresno Law Firm, The Law Office of Frank Huerta Jr. | Home",https://www.frankhuertalaw.com/,"Experienced lawyer helps Californians resolve tax, business law and estate planning issues. When you are trying to reduce your tax liability, start a business ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,frankhuertalaw.com,14,22,-1,2479,52,3199,,
construction defect attorney,Fresno,Construction-HighVolume -- Fresno.xlsx,1,Construction Law | Contract Law | Fresno Law Firm,https://www.mccormickbarstow.com/industries/construction/,"Learn about the legal services offered to construction companies including contract law, torts, property law and occupational safety - Fresno Law Firm.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,mccormickbarstow.com,36,38,3,6855,585,8805,,
construction injury lawyer,Fresno,Construction-HighVolume -- Fresno.xlsx,1,Fresno Construction Site Accident Lawyer - Freedman Law,https://www.freedmanlaw.com/practice-areas/fresno-contruction-site-accident-attorney/,"If you've been injured on the job, call the Fresno construction site accident attorneys at Freedman Law to set up a consultation. (559) 447-9000.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,freedmanlaw.com,25,30,1,6235,339,26342,,
construction injury lawyer,Fresno,Construction-HighVolume -- Fresno.xlsx,2,"Construction Accident Lawyer Fresno, CA - Attorney Gilbert Fisher",https://www.fileworkcomp.com/services/construction-accident-lawyer/,Construction accident lawyer Gilbert E. Fisher can help you file a compensation claim. Let us help while you focus on healing.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,fileworkcomp.com,17,30,2,710,140,3865,,
construction injury lawyer,Fresno,Construction-HighVolume -- Fresno.xlsx,3,Fresno Construction Accident Lawyer - Fowler | Helsel | Vogt,https://www.fhvlaw.com/personal-injury/construction-accidents/,Call Fowler | Helsel | Vogt today at (559) 900-1280 or contact us online to schedule a consultation with our construction accident attorney in ...,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,fhvlaw.com,22,32,1,3670,282,21470,,
construction accident lawyer,Fresno,Construction-HighVolume -- Fresno.xlsx,1,"Construction Accident Lawyers in Fresno, CA",https://www.tpslawfirm.com/personal-injury/construction-accident/,A Fresno construction accident lawyer can help negotiate a better deal and get you the money you need through a personal injury claim.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,tpslawfirm.com,29,33,1,4739,398,17469,,
construction accident lawyer,Fresno,Construction-HighVolume -- Fresno.xlsx,2,"Construction Accident Lawyer Fresno, CA - Attorney Gilbert Fisher",https://www.fileworkcomp.com/services/construction-accident-lawyer/,Meet with our attorney first-hand to explore your options for obtaining fair compensation after a construction accident. We work on a contingency fee basis.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,fileworkcomp.com,17,30,2,710,140,3865,,
construction accident lawyer,Fresno,Construction-HighVolume -- Fresno.xlsx,3,Fresno Construction Site Accident Lawyer - Freedman Law,https://www.freedmanlaw.com/practice-areas/fresno-contruction-site-accident-attorney/,"If you've been injured on the job, call the Fresno construction site accident attorneys at Freedman Law to set up a consultation. (559) 447-9000.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,freedmanlaw.com,25,30,1,6235,339,26342,,
contractor attorneys,Fresno,Construction-HighVolume -- Fresno.xlsx,1,Construction Law | Contract Law | Fresno Law Firm,https://www.mccormickbarstow.com/industries/construction/,"Learn about the legal services offered to construction companies including contract law, torts, property law and occupational safety - Fresno Law Firm.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,mccormickbarstow.com,36,38,3,6855,585,8805,,
