keyword,city,source_file,ranking,title,link,snippet,business_name,rating,review_count,official_website,top_3_reviews,profile_updates,attributes,product_listings,domain,domain_authority,page_authority,spam_score,backlinks_count,referring_domains,pages_to_domain,top_backlinks,trust_flow
best personal injury lawyers in maitland,Maitland,PersonalInjury-LongTail -- Maitland.xlsx,3,Maitland Personal Injury Lawyer | Free Consultations,https://whkpa.com/areas-we-serve/maitland/,"The Maitland personal injury lawyers with Wooten, Kimbrough, Damaso & Dennis have experience assisting those who've been involved in an accident ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,whkpa.com,25,39,-1,5358,608,5436,,
wrongful death attorneys in maitland,Maitland,PersonalInjury-LongTail -- Maitland.xlsx,2,"Maitland Wrongful Death Lawyer - Goldman Law, P.A.",https://www.goldmanlawpa.com/maitland-wrongful-death-lawyer/,Sarah Goldman Geise helps surviving family members & estates recover compensation for negligence & wrongful death claims.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,goldmanlawpa.com,22,29,2,859,185,18388,,
best personal injury attorney near me,Maitland,PersonalInjury-LongTail -- Maitland.xlsx,3,Maitland Personal Injury Attorney - Hornsby Law,https://www.hornsbylawgroup.com/maitland-personal-injury-attorney/,The Maitland personal injury attorneys at The Hornsby Law Group are here to establish liability and seek maximum compensation for your damages.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,hornsbylawgroup.com,29,31,3,3213,270,101548,,
personal injury attorney maitland,Maitland,PersonalInjury-LongTail -- Maitland.xlsx,1,Maitland Personal Injury Attorney - Hornsby Law,https://www.hornsbylawgroup.com/maitland-personal-injury-attorney/,The Maitland personal injury attorneys at The Hornsby Law Group are here to establish liability and seek maximum compensation for your damages.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,hornsbylawgroup.com,29,31,3,3213,270,101548,,
personal injury attorney maitland,Maitland,PersonalInjury-LongTail -- Maitland.xlsx,2,"Maitland Personal Injury Lawyer - Goldman Law, P.A.",https://www.goldmanlawpa.com/personal-injury/,Maitland personal injury lawyer Sarah Goldman Geise has more than a decade of experience fielding personal injury matters from both sides of the case.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,goldmanlawpa.com,22,29,2,859,185,18388,,
personal injury attorney maitland,Maitland,PersonalInjury-LongTail -- Maitland.xlsx,3,"Goldman Law, P.A.",https://www.goldmanlawpa.com/,"Goldman Law, PA handles all aspects of your personal injury claim, from beginning to end so you can focus on what truly matters-feeling better.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,goldmanlawpa.com,22,29,2,859,185,18388,,
construction accident attorneys in maitland,Maitland,PersonalInjury-LongTail -- Maitland.xlsx,1,"Moody & Graf, P.A.: Maitland Construction Law Attorneys",https://www.moodygraf.com/,"We handle all aspects of construction law litigation, including DBPR complaints, design and construction defects, professional errors & omissions, contract ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,moodygraf.com,7,21,42,47,25,55,,
maitland personal injury lawyers with free consultation,Maitland,PersonalInjury-LongTail -- Maitland.xlsx,1,Maitland Personal Injury Lawyer | Free Consultations,https://whkpa.com/areas-we-serve/maitland/,Schedule a no-cost consultation today with one of our skilled personal injury lawyers for exceptional legal guidance. How the Experienced ...,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,whkpa.com,25,39,-1,5358,608,5436,,
maitland personal injury lawyers with free consultation,Maitland,PersonalInjury-LongTail -- Maitland.xlsx,2,Maitland Personal Injury Attorney - Hornsby Law,https://www.hornsbylawgroup.com/maitland-personal-injury-attorney/,... an offer before speaking with an attorney. Call the Maitland personal injury attorneys at The Hornsby Law Group to schedule a free consultation today. Our ...,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,hornsbylawgroup.com,29,31,3,3213,270,101548,,
maitland personal injury lawyers with free consultation,Maitland,PersonalInjury-LongTail -- Maitland.xlsx,3,Top Maitland Personal Injury Lawyers - Lett Law Firm,https://www.lettlawfirm.com/top-maitland-personal-injury-lawyers,"We offer a free, no-obligation consultation to discuss your case and assess your legal options. Thorough Investigation:.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,lettlawfirm.com,18,23,1,119,48,3711,,
