keyword,city,source_file,ranking,title,link,snippet,business_name,rating,review_count,official_website,top_3_reviews,profile_updates,attributes,product_listings,domain,domain_authority,page_authority,spam_score,backlinks_count,referring_domains,pages_to_domain,top_backlinks,trust_flow
torrance medical injury attorney,Torrance,Malpractice-HighVolume -- Torrance.xlsx,1,Torrance Medical Malpractice Lawyer | The Simon Law Group,https://www.thesimonlawgroup.com/torrance-medical-malpractice-lawyer/,"As leaders in medical malpractice litigation with over 250 years of combined experience, we've helped clients like you recover more than $600 million in ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,thesimonlawgroup.com,35,35,2,2872,423,7105,,
torrance medical injury attorney,Torrance,Malpractice-HighVolume -- Torrance.xlsx,3,Torrance - Wilshire Law Firm,https://wilshirelawfirm.com/locations/torrance-california/,Torrance personal injury attorneys are adept at determining liable parties in any kind of accident. Call our Torrance attorney for a free consultation.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,wilshirelawfirm.com,36,46,1,14974,2005,58510,,
torrance doctor malpractice lawyer,Torrance,Malpractice-HighVolume -- Torrance.xlsx,1,Torrance Medical Malpractice Lawyer | The Simon Law Group,https://www.thesimonlawgroup.com/torrance-medical-malpractice-lawyer/,"As leaders in medical malpractice litigation with over 250 years of combined experience, we've helped clients like you recover more than $600 million in ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,thesimonlawgroup.com,35,35,2,2872,423,7105,,
torrance malpractice attorney,Torrance,Malpractice-HighVolume -- Torrance.xlsx,1,Torrance Medical Malpractice Lawyer | The Simon Law Group,https://www.thesimonlawgroup.com/torrance-medical-malpractice-lawyer/,"As leaders in medical malpractice litigation with over 250 years of combined experience, we've helped clients like you recover more than $600 million in ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,thesimonlawgroup.com,35,35,2,2872,423,7105,,
torrance misdiagnosis lawyer,Torrance,Malpractice-HighVolume -- Torrance.xlsx,1,Torrance Medical Malpractice Lawyer | The Simon Law Group,https://www.thesimonlawgroup.com/torrance-medical-malpractice-lawyer/,"As leaders in medical malpractice litigation with over 250 years of combined experience, we've helped clients like you recover more than $600 million in ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,thesimonlawgroup.com,35,35,2,2872,423,7105,,
medical malpractice lawyer torrance,Torrance,Malpractice-HighVolume -- Torrance.xlsx,1,Torrance Medical Malpractice Lawyer | The Simon Law Group,https://www.thesimonlawgroup.com/torrance-medical-malpractice-lawyer/,"As leaders in medical malpractice litigation with over 250 years of combined experience, we've helped clients like you recover more than $600 million in ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,thesimonlawgroup.com,35,35,2,2872,423,7105,,
medical malpractice consultation torrance,Torrance,Malpractice-HighVolume -- Torrance.xlsx,1,Torrance Medical Malpractice Lawyer | The Simon Law Group,https://www.thesimonlawgroup.com/torrance-medical-malpractice-lawyer/,"As leaders in medical malpractice litigation with over 250 years of combined experience, we've helped clients like you recover more than $600 million in ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,thesimonlawgroup.com,35,35,2,2872,423,7105,,
medical malpractice consultation torrance,Torrance,Malpractice-HighVolume -- Torrance.xlsx,3,"Torrance, CA Medical Malpractice Lawyer - Hospital Negligence ...",https://www.moseleycollins.com/torrance-ca-medical-malpractice-lawyer-hospital-negligence.html,Free Consultation - Call (800) 426-5546 - Moseley Collins helps victims and their families receive compensation for their injuries in Doctor Malpractice and ...,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,moseleycollins.com,55,45,1,67248,2312,357092,,
birth injury lawyer torrance,Torrance,Malpractice-HighVolume -- Torrance.xlsx,2,"Birth Injury Lawyer in Torrance, CA - Moseley Collins",https://www.moseleycollins.com/birth-injury-lawyer-in-torrance-ca.html,"If your child has suffered a birth injury in Torrance or surrounding areas, call 800-426-5546 for a free consultation. Our experienced team is here to help you ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,moseleycollins.com,55,45,1,67248,2312,357092,,
malpractice lawyers near me,Torrance,Malpractice-HighVolume -- Torrance.xlsx,2,Torrance Medical Malpractice Lawyer | The Simon Law Group,https://www.thesimonlawgroup.com/torrance-medical-malpractice-lawyer/,"As leaders in medical malpractice litigation with over 250 years of combined experience, we've helped clients like you recover more than $600 million in ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,thesimonlawgroup.com,35,35,2,2872,423,7105,,
