keyword,city,source_file,ranking,title,link,snippet,business_name,rating,review_count,official_website,top_3_reviews,profile_updates,attributes,product_listings,domain,domain_authority,page_authority,spam_score,backlinks_count,referring_domains,pages_to_domain,top_backlinks,trust_flow
business tax attorney near me,Walnut Creek,TaxationLaw-LongTail-- Walnut Creek.xlsx,3,Tax Attorney | Tax Planning Attorneys Walnut Creeek CA,https://wlawgroupca.com/,"We specialize in taxation and assist clients with income tax planning and preparation, for individuals and businesses, as well as estate planning.",,,,,,,,,wlawgroupca.com,11,29,-1,2291,76,2291,,
estate tax lawyer near me,Walnut Creek,TaxationLaw-LongTail-- Walnut Creek.xlsx,2,Tax Attorney Walnut Creek | Tax Lawyer | Estate Planning,https://www.lawrencetullmann.com/,"Tax, estate and trust planning, and real estate advice and representation from an experienced attorney. Call Today. 925-977-3898.",,,,,,,,,lawrencetullmann.com,12,24,1,997,53,10667,,
income tax attorney near me,Walnut Creek,TaxationLaw-LongTail-- Walnut Creek.xlsx,3,Tax Attorney | Tax Planning Attorneys Walnut Creeek CA,https://wlawgroupca.com/,"We specialize in taxation and assist clients with income tax planning and preparation, for individuals and businesses, as well as estate planning.",,,,,,,,,wlawgroupca.com,11,29,-1,2291,76,2291,,
irs tax lawyer near me,Walnut Creek,TaxationLaw-LongTail-- Walnut Creek.xlsx,3,Tax Attorney Walnut Creek | Tax Lawyer | Estate Planning,https://www.lawrencetullmann.com/,"Lawrence T. Ullmann, Attorney at Law, provides comprehensive tax solutions for individuals and companies in Silicon Valley. Call 925-977-3898 to learn more.",,,,,,,,,lawrencetullmann.com,12,24,1,997,53,10667,,
irs tax attorney near me,Walnut Creek,TaxationLaw-LongTail-- Walnut Creek.xlsx,3,Tax Attorney Walnut Creek | Tax Lawyer | Estate Planning,https://www.lawrencetullmann.com/,"Lawrence T. Ullmann, Attorney at Law, provides comprehensive tax solutions for individuals and companies in Silicon Valley. Call 925-977-3898 to learn more.",,,,,,,,,lawrencetullmann.com,12,24,1,997,53,10667,,
income tax lawyer near me,Walnut Creek,TaxationLaw-LongTail-- Walnut Creek.xlsx,3,Tax Attorney | Tax Planning Attorneys Walnut Creeek CA,https://wlawgroupca.com/,"We specialize in taxation and assist clients with income tax planning and preparation, for individuals and businesses, as well as estate planning.",,,,,,,,,wlawgroupca.com,11,29,-1,2291,76,2291,,
irs whistleblower attorney near me,Walnut Creek,TaxationLaw-LongTail-- Walnut Creek.xlsx,1,Experienced California IRS Whistleblower Attorney - Evans Law Firm,https://www.evanslaw.com/practice-areas/whistleblower-law/irs-whistleblower-laws/,Contact a lawyer at California Evans Law Firm to handle your IRS whistleblower case with the highest degree of professionalism and confidentiality.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,evanslaw.com,31,33,-1,6162,560,6449,,
irs whistleblower attorney near me,Walnut Creek,TaxationLaw-LongTail-- Walnut Creek.xlsx,2,Walnut Creek Whistleblower Lawyer,https://www.vzlawfirm.com/walnut-creek-whistleblower-lawyer/,"If you are concerned about retaliation by your employer for whistleblowing, the Walnut Creek whistleblower lawyers at Venardi Zurada, LLP are here to help.",,,,,,,,,vzlawfirm.com,30,32,1,5650,354,121572,,
irs whistleblower attorney near me,Walnut Creek,TaxationLaw-LongTail-- Walnut Creek.xlsx,3,IRS Local Office Locator | Internal Revenue Service,https://apps.irs.gov/app/office-locator/,"Locate the closest Taxpayer Assistance Center to you. All fields marked with an asterisk * are required. Enter Address, City, State, or ZIP Code.",,,,,,,,,apps.irs.gov,0,0,0,0,0,0,,
property tax appeal attorney near me,Walnut Creek,TaxationLaw-LongTail-- Walnut Creek.xlsx,2,Tax Attorney | Tax Planning Attorneys Walnut Creeek CA,https://wlawgroupca.com/,"We specialize in taxation and assist clients with income tax planning and preparation, for individuals and businesses, as well as estate planning.",,,,,,,,,wlawgroupca.com,11,29,-1,2291,76,2291,,
property tax appeal lawyer near me,Walnut Creek,TaxationLaw-LongTail-- Walnut Creek.xlsx,3,Tax Attorney | Tax Planning Attorneys Walnut Creeek CA,https://wlawgroupca.com/,"We specialize in taxation and assist clients with income tax planning and preparation, for individuals and businesses, as well as estate planning.",,,,,,,,,wlawgroupca.com,11,29,-1,2291,76,2291,,
property tax attorney near me,Walnut Creek,TaxationLaw-LongTail-- Walnut Creek.xlsx,3,Real Estate Tax Services - WKBKY Attorneys at Law,https://www.wkblaw.com/real-estate-tax-services/,"As a recognized leader among Northern California tax lawyers in the real estate ... WALNUT CREEK. 1350 Treat Blvd., Suite 400. Walnut Creek, CA 94597. (925) 478 ...",,,,,,,,,wkblaw.com,34,34,2,3319,457,3412,,
property tax lawyer near me,Walnut Creek,TaxationLaw-LongTail-- Walnut Creek.xlsx,3,Tax Attorney Walnut Creek | Tax Lawyer | Estate Planning,https://www.lawrencetullmann.com/,"Tax, estate and trust planning, and real estate advice and representation from an experienced attorney. Call Today. 925-977-3898.",,,,,,,,,lawrencetullmann.com,12,24,1,997,53,10667,,
real estate tax attorney near me,Walnut Creek,TaxationLaw-LongTail-- Walnut Creek.xlsx,2,Tax Attorney Walnut Creek | Tax Lawyer | Estate Planning,https://www.lawrencetullmann.com/,"Lawrence T. Ullmann, Attorney at Law, provides comprehensive tax solutions for individuals and companies in Silicon Valley. Call 925-977-3898 to learn more.",,,,,,,,,lawrencetullmann.com,12,24,1,997,53,10667,,
real estate tax lawyer near me,Walnut Creek,TaxationLaw-LongTail-- Walnut Creek.xlsx,1,Real Estate Tax Services - WKBKY Attorneys at Law,https://www.wkblaw.com/real-estate-tax-services/,"As a recognized leader among Northern California tax lawyers in the real estate ... WALNUT CREEK. 1350 Treat Blvd., Suite 400. Walnut Creek, CA 94597. (925) 478 ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,wkblaw.com,34,34,2,3319,457,3412,,
tax attorney walnut creek,Walnut Creek,TaxationLaw-LongTail-- Walnut Creek.xlsx,2,Tax Compliance - Andersson Andersson Law,https://anderssonanderssonlaw.com/tax-compliance/,"For more information or to set up an appointment with our Walnut Creek tax compliance attorneys, call 925-935-1050 or fill out the contact form on this website.",,,,,,,,,anderssonanderssonlaw.com,15,26,2,360,76,1055,,
tax attorney walnut creek,Walnut Creek,TaxationLaw-LongTail-- Walnut Creek.xlsx,3,Tax Attorney Walnut Creek | Tax Lawyer | Estate Planning,https://www.lawrencetullmann.com/,"Lawrence T. Ullmann, Attorney at Law, provides comprehensive tax solutions for individuals and companies in Silicon Valley. Call 925-977-3898 to learn more.",,,,,,,,,lawrencetullmann.com,12,24,1,997,53,10667,,
sales tax attorney near me,Walnut Creek,TaxationLaw-LongTail-- Walnut Creek.xlsx,3,"Tax Attorney | Walnut Creek, CA | Edward T. Perry",https://www.taxexcel.com/,"When you need a legal expert to help with your tax problems, call Edward T. Perry in Walnut Creek, CA, at 925-472-6800 and schedule a consultation today.",,,,,,,,,taxexcel.com,16,24,1,345,69,591,,
walnut creek state tax lawyer,Walnut Creek,TaxationLaw-LongTail-- Walnut Creek.xlsx,3,Tax Attorney Walnut Creek | Tax Lawyer | Estate Planning,https://www.lawrencetullmann.com/,"Lawrence T. Ullmann, Attorney at Law, provides comprehensive tax solutions for individuals and companies in Silicon Valley. Call 925-977-3898 to learn more.",,,,,,,,,lawrencetullmann.com,12,24,1,997,53,10667,,
attorney business litigation,Walnut Creek,business law High Volume-- Walnut Creek.xlsx,2,Law Firms Walnut Creek | California Business Attorneys & Lawyers,https://donahue.com/contact-us/walnut-creek/,"Our Walnut Creek attorneys represent clients ranging from individuals, sole proprietorships, closely held businesses to multinational Fortune 500 corporations.",,,,,,,,,donahue.com,37,38,-1,6266,527,10616,,
attorney business litigation,Walnut Creek,business law High Volume-- Walnut Creek.xlsx,3,"Brown, Gee & Wenger, LLP: Business Law | Walnut Creek",https://www.bgwcounsel.com/,Brown Gee & Wenger was founded with the vision of strategically partnering with our clients' teams at a reasonable cost.,,,,,,,,,bgwcounsel.com,19,24,1,450,77,1614,,
attorney for business disputes,Walnut Creek,business law High Volume-- Walnut Creek.xlsx,1,How A Business Dispute Lawyer Can Help | Business Litigation,https://brillantlaw.com/business-litigation-attorney-walnut-creek/,"Discover how a business litigation attorney in Walnut Creek can safeguard your interests, navigate California laws, and win your case.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,brillantlaw.com,25,29,2,451,125,519,,
