keyword,city,source_file,ranking,title,link,snippet,business_name,rating,review_count,official_website,top_3_reviews,profile_updates,attributes,product_listings,domain,domain_authority,page_authority,spam_score,backlinks_count,referring_domains,pages_to_domain,top_backlinks,trust_flow
clean energy and environmental law attorney near me,Santa Monica,EnvironmentalLaw-LongTail-- Santa Monica.xlsx,2,"Environmental - Cox, Castle & Nicholson",https://www.coxcastle.com/practices-environmental,"Our attorneys assist clients with environmental issues arising in transactions, risk management and regulatory strategies, as well as federal and state court ...",,,,,,,,,coxcastle.com,42,38,9,17763,895,140272,,
environmental impact assessment lawyers in my city,Santa Monica,EnvironmentalLaw-LongTail-- Santa Monica.xlsx,2,Environmental Litigation California | Downey Brand LLP,https://www.downeybrand.com/Practices/environmental-toxics-litigation/,"Our environmental litigation attorneys initiate and defend lawsuits for private industry, municipalities, and special districts at the trial and appellate level ...",,,,,,,,,downeybrand.com,34,38,1,7363,864,8846,,
environmental impact assessment lawyers in my city,Santa Monica,EnvironmentalLaw-LongTail-- Santa Monica.xlsx,3,"Environmental - Cox, Castle & Nicholson",https://www.coxcastle.com/practices-environmental,"We assist clients in assessing and ensuring compliance with environmental laws and regulations such as: CERCLA, RCRA, and their California equivalents (Chapters ...",,,,,,,,,coxcastle.com,42,38,9,17763,895,140272,,
environmental compliance attorney near me,Santa Monica,EnvironmentalLaw-LongTail-- Santa Monica.xlsx,3,"Environmental - Cox, Castle & Nicholson",https://www.coxcastle.com/practices-environmental,"Our attorneys assist clients with environmental issues arising in transactions, risk management and regulatory strategies, as well as federal and state court ...",,,,,,,,,coxcastle.com,42,38,9,17763,895,140272,,
industrial waste and environmental law attorneys nearby,Santa Monica,EnvironmentalLaw-LongTail-- Santa Monica.xlsx,3,Environmental Litigation California | Downey Brand LLP,https://www.downeybrand.com/Practices/environmental-toxics-litigation/,"Our environmental litigation attorneys initiate and defend lawsuits for private industry, municipalities, and special districts at the trial and appellate level ...",,,,,,,,,downeybrand.com,34,38,1,7363,864,8846,,
land use and zoning environmental lawyer near me,Santa Monica,EnvironmentalLaw-LongTail-- Santa Monica.xlsx,3,Santa Monica Land Use Lawyer - Borna Houman Law,https://bornahoumanlaw.com/santa-monica-land-use-lawyer/,"If you are beginning a land use or development project in Santa Monica, California contact Borna Houman Law at (888) 422-6762 for legal assistance.",,,,,,,,,bornahoumanlaw.com,9,26,1,4968,45,5066,,
local environmental attorneys for property contamination cases,Santa Monica,EnvironmentalLaw-LongTail-- Santa Monica.xlsx,2,Environmental Litigation California | Downey Brand LLP,https://www.downeybrand.com/Practices/environmental-toxics-litigation/,"Our environmental litigation attorneys initiate and defend lawsuits for private industry, municipalities, and special districts at the trial and appellate level ...",,,,,,,,,downeybrand.com,34,38,1,7363,864,8846,,
local environmental attorneys for property contamination cases,Santa Monica,EnvironmentalLaw-LongTail-- Santa Monica.xlsx,3,"Environmental - Cox, Castle & Nicholson",https://www.coxcastle.com/practices-environmental,"Our attorneys assist clients with environmental issues arising in transactions, risk management and regulatory strategies, as well as federal and state court ...",,,,,,,,,coxcastle.com,42,38,9,17763,895,140272,,
local environmental lawyers specializing in pollution cases,Santa Monica,EnvironmentalLaw-LongTail-- Santa Monica.xlsx,2,"Environmental Law - Cotchett, Pitre & McCarthy, LLP",https://www.cpmlegal.com/practices-Environmental-Litigation,"CPM is nationally recognized for environmental litigation, representing clients ranging from water districts to environmental nonprofits to local ...",,,,,,,,,cpmlegal.com,53,45,42,21579,2342,172798,,
water contamination lawsuit attorney near me,Santa Monica,EnvironmentalLaw-LongTail-- Santa Monica.xlsx,2,"Environmental Law - Cotchett, Pitre & McCarthy, LLP",https://www.cpmlegal.com/practices-Environmental-Litigation,"CPM is nationally recognized for environmental litigation, representing clients ranging from water districts to environmental nonprofits to local ...",,,,,,,,,cpmlegal.com,53,45,42,21579,2342,172798,,
water contamination lawsuit attorney near me,Santa Monica,EnvironmentalLaw-LongTail-- Santa Monica.xlsx,3,Water Rights Consulting Attorneys,https://www.waterboards.ca.gov/waterrights/board_info/consulting-attorneys.html,The firms listed have indicated that they preform services in the area of California water law or water rights consulting.,,,,,,,,,waterboards.ca.gov,0,0,0,0,0,0,,
toxic waste and hazardous materials attorney near me,Santa Monica,EnvironmentalLaw-LongTail-- Santa Monica.xlsx,2,Hazardous Waste,https://bbklaw.com/practices/hazardous-waste,Missing: Santa Monica,,,,,,,,,bbklaw.com,46,44,2,49828,1843,3041521,,
toxic waste and hazardous materials attorney near me,Santa Monica,EnvironmentalLaw-LongTail-- Santa Monica.xlsx,3,Toxic Exposure Attorney in Santa Monica CA - PLBH,https://www.plblaw.com/service-locations/santa-monica-ca/toxic-exposure-attorney-in-santa-monica-ca/,Learn why PLBH is the best Toxic Exposure Attorney in Santa Monica CA. Request a free legal consultation learn about your legal options.,,,,,,,,,plblaw.com,31,27,-1,44332,459,44333,,
crypto lawyer near me,Santa Monica,OtherSpecializedAreas-LongTail-- Santa Monica.xlsx,1,Cryptocurrencies | Santa Monica Online Fraud Lawyer,https://www.atrizadeh.com/cryptocurrencies.html,Free Consultation - Call (310) 694-3034 - Salar Atrizadeh is dedicated to serving our clients with a range of legal services including Internet Law and ...,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,atrizadeh.com,26,30,1,24823,166,32415,,
crypto lawyer near me,Santa Monica,OtherSpecializedAreas-LongTail-- Santa Monica.xlsx,2,"TOP 10 BEST Crypto Lawyer in Santa Monica, CA - Updated 2025 ...",https://m.yelp.com/search?find_desc=Crypto+Lawyer&find_loc=Santa+Monica%2C+CA,"Top 10 Best Crypto Lawyer in Santa Monica, CA - February 2025 - Yelp - Leading Tax Group, The Tax Law Offices of David W Klasing, PC, Semper Tax Relief, ...",,,,,,,,,m.yelp.com,0,0,0,0,0,0,,
crypto lawyer near me,Santa Monica,OtherSpecializedAreas-LongTail-- Santa Monica.xlsx,3,"Cryptocurrency and Blockchain Attorney in Santa Monica, CA",https://lloylaw.com/california/cryptocurrency-attorney-in-santa-monica-california/,"Our fintech and cryptocurrency attorneys in Santa Monica, CA help clients develop comprehensive legal strategies to take advantage of the most disruptive ...",,,,,,,,,lloylaw.com,12,28,1,280,83,4541,,
entertainment lawyers near me,Santa Monica,OtherSpecializedAreas-LongTail-- Santa Monica.xlsx,1,"Pfeiffer Law: Entertainment Law Firm | Santa Monica, Los Angeles ...",https://www.pfeifferlaw.com/,"Entertainment Law Firm | Santa Monica, Los Angeles and Hollywood Attorney | Pfeiffer Law . Update: Our office is open. If there is anything we can do to help you navigate this ""next normal,"" please call us at 310-451-5800 or email us at pfeiffer@pfeifferlaw.com. Stay safe and we look forward to talking with you soon.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,pfeifferlaw.com,24,33,5,2682,388,31627,,
entertainment lawyers near me,Santa Monica,OtherSpecializedAreas-LongTail-- Santa Monica.xlsx,2,Entertainment Lawyer Santa Monica - Lowe & Associates,https://lowelaw.com/practice-areas-entertainment-lawyers/santa-monica/,"Whether you need help with contract law or intellectual property rights, our entertainment lawyers in Santa Monica are equipped to handle your legal matters.",,,,,,,,,lowelaw.com,24,36,2,2951,357,11046,,
entertainment attorney near me,Santa Monica,OtherSpecializedAreas-LongTail-- Santa Monica.xlsx,1,"Pfeiffer Law: Entertainment Law Firm | Santa Monica, Los Angeles ...",https://www.pfeifferlaw.com/,"Entertainment Law Firm | Santa Monica, Los Angeles and Hollywood Attorney | Pfeiffer Law . Update: Our office is open. If there is anything we can do to help you navigate this ""next normal,"" please call us at 310-451-5800 or email us at pfeiffer@pfeifferlaw.com. Stay safe and we look forward to talking with you soon.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,pfeifferlaw.com,24,33,5,2682,388,31627,,
entertainment attorney near me,Santa Monica,OtherSpecializedAreas-LongTail-- Santa Monica.xlsx,3,Entertainment Lawyer Santa Monica - Lowe & Associates,https://lowelaw.com/practice-areas-entertainment-lawyers/santa-monica/,"Whether you need help with contract law or intellectual property rights, our entertainment lawyers in Santa Monica are equipped to handle your legal matters.",,,,,,,,,lowelaw.com,24,36,2,2951,357,11046,,
long term care planning lawyer,Santa Monica,OtherSpecializedAreas-LongTail-- Santa Monica.xlsx,1,Santa Monica Elder Law Attorney - Susan Geffen,https://www.susanbgeffenlaw.com/practice-areas/elder-law-attorney-santa-monica/,Susan B. Geffen is a seasoned Los Angeles attorney with over 30 years of experience helping the elderly plan for a more secure future.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,susanbgeffenlaw.com,22,29,1,5077,755,8371,,
long term care planning lawyer,Santa Monica,OtherSpecializedAreas-LongTail-- Santa Monica.xlsx,2,"Elder Care Attorney Santa Monica, CA | Mihell Law, A.P.C.",https://mihelllaw.com/practice-areas/elder-law/,Missing: long term,,,,,,,,,mihelllaw.com,3,20,7,45,21,254,,
long term care planning lawyer,Santa Monica,OtherSpecializedAreas-LongTail-- Santa Monica.xlsx,3,"Joseph E. Deering, Attorney at Law: Southern California Estates and ...",https://www.deeringtrustlawyer.com/,"An experienced and caring Southern California elder law attorney for over 40 years. Helping you prepare, protecting your loved ones and your assets.",,,,,,,,,deeringtrustlawyer.com,14,28,7,4433,100,6541,,
music attorney near me,Santa Monica,OtherSpecializedAreas-LongTail-- Santa Monica.xlsx,1,"Morris Music Law: Music Attorney Los Angeles, Music Lawyer",https://morrismusiclaw.com/,Experienced Los Angeles music lawyer providing comprehensive legal services to music professionals. Call (310) 439-3737 for a free consultation today!,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,morrismusiclaw.com,17,27,1,248,108,454,,
music lawyer near me,Santa Monica,OtherSpecializedAreas-LongTail-- Santa Monica.xlsx,2,"Morris Music Law: Music Attorney Los Angeles, Music Lawyer",https://morrismusiclaw.com/,Experienced Los Angeles music lawyer providing comprehensive legal services to music professionals. Call (310) 439-3737 for a free consultation today!,,,,,,,,,morrismusiclaw.com,17,27,1,248,108,454,,
non profit attorney near me,Santa Monica,OtherSpecializedAreas-LongTail-- Santa Monica.xlsx,2,Nonprofit Assistance - LAFLA - Legal Aid Foundation of Los Angeles,https://lafla.org/get-help/nonprofit-assistance/,"Legal Aid Foundation of Los Angeles assists nonprofit organizations with various matters, including: Formation; Tax exemption; Governance; Real estate documents ...",,,,,,,,,lafla.org,50,49,1,34152,2416,59686,,
non profit legal services near me,Santa Monica,OtherSpecializedAreas-LongTail-- Santa Monica.xlsx,1,LAFLA: Legal Aid Foundation of Los Angeles | Justice • Equity • Hope,https://lafla.org/,"LAFLA - Get Legal Help, Qualify for Legal Help, Legal Self Help, Find a Location and attend a legal clinic. Find out which Legal Services LAFLA offers.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,lafla.org,50,49,1,34152,2416,59686,,
non profit legal services near me,Santa Monica,OtherSpecializedAreas-LongTail-- Santa Monica.xlsx,2,Legal Aid Foundation of Los Angeles (Santa Monica Office),https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392637-Legal_Aid_Foundation_of_Los_Angeles_Santa_Monica_Office,The Legal Aid Foundation of Los Angeles (LAFLA) is the front line law firm for poor and low-income people in greater Los Angeles.,,,,,,,,,immigrationadvocates.org,55,47,-1,45373,3299,52299,,
non profit legal services near me,Santa Monica,OtherSpecializedAreas-LongTail-- Santa Monica.xlsx,3,Nonprofit Assistance - LAFLA - Legal Aid Foundation of Los Angeles,https://lafla.org/get-help/nonprofit-assistance/,"Legal Aid Foundation of Los Angeles assists nonprofit organizations with various matters, including: Formation; Tax exemption; Governance; Real estate documents ...",,,,,,,,,lafla.org,50,49,1,34152,2416,59686,,
lawyers for ssi,Santa Monica,SocialSecurity-HighVolume-- Santa Monica.xlsx,1,Santa Monica Social Security Disability Attorneys | SSI Appeals ...,https://lawyersfordisability.com/,DENIED DISABILITY? Social Security Disability Attorneys - We are three generations of lawyers helping disabled clients with social security appeals.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,lawyersfordisability.com,14,29,3,204,107,6851,,
disability insurance lawyers,Santa Monica,SocialSecurity-HighVolume-- Santa Monica.xlsx,1,Santa Monica Disability Lawyer | Haffner Law,https://www.haffnerlawyers.com/santa-monica-disability-lawyer/,Call us at 1-844-HAFFNER (423-3637) or fill out the online contact form at the bottom of this page.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,haffnerlawyers.com,29,37,-1,5859,826,5860,,
disability insurance lawyers,Santa Monica,SocialSecurity-HighVolume-- Santa Monica.xlsx,3,Santa Monica Social Security Disability Attorneys | SSI Appeals ...,https://lawyersfordisability.com/,DENIED DISABILITY? Social Security Disability Attorneys - We are three generations of lawyers helping disabled clients with social security appeals.,,,,,,,,,lawyersfordisability.com,14,29,3,204,107,6851,,
nonprofit lawyers near me,Santa Monica,OtherSpecializedAreas-LongTail-- Santa Monica.xlsx,2,Nonprofit Assistance - LAFLA - Legal Aid Foundation of Los Angeles,https://lafla.org/get-help/nonprofit-assistance/,"Legal Aid Foundation of Los Angeles assists nonprofit organizations with various matters, including: Formation; Tax exemption; Governance; Real estate documents ...",,,,,,,,,lafla.org,50,49,1,34152,2416,59686,,
social security attorneys,Santa Monica,SocialSecurity-HighVolume-- Santa Monica.xlsx,3,Santa Monica Social Security Disability Attorneys | SSI Appeals ...,https://lawyersfordisability.com/,DENIED DISABILITY? Social Security Disability Attorneys - We are three generations of lawyers helping disabled clients with social security appeals.,,,,,,,,,lawyersfordisability.com,14,29,3,204,107,6851,,
social security law firm,Santa Monica,SocialSecurity-HighVolume-- Santa Monica.xlsx,2,Santa Monica Social Security Disability Attorneys | SSI Appeals ...,https://lawyersfordisability.com/,DENIED DISABILITY? Social Security Disability Attorneys - We are three generations of lawyers helping disabled clients with social security appeals.,,,,,,,,,lawyersfordisability.com,14,29,3,204,107,6851,,
ssa lawyer,Santa Monica,SocialSecurity-HighVolume-- Santa Monica.xlsx,2,Santa Monica Social Security Disability Attorneys | SSI Appeals ...,https://lawyersfordisability.com/,DENIED DISABILITY? Social Security Disability Attorneys - We are three generations of lawyers helping disabled clients with social security appeals.,,,,,,,,,lawyersfordisability.com,14,29,3,204,107,6851,,
social security lawyers,Santa Monica,SocialSecurity-HighVolume-- Santa Monica.xlsx,2,Santa Monica Social Security Disability Attorneys | SSI Appeals ...,https://lawyersfordisability.com/,DENIED DISABILITY? Social Security Disability Attorneys - We are three generations of lawyers helping disabled clients with social security appeals.,,,,,,,,,lawyersfordisability.com,14,29,3,204,107,6851,,
ssdi attorney,Santa Monica,SocialSecurity-HighVolume-- Santa Monica.xlsx,1,Santa Monica Social Security Disability Attorneys | SSI Appeals ...,https://lawyersfordisability.com/,"We specialize in overturning denied Social Security disability benefits, advocating vigorously for those unfairly denied. Our expertise doesn't end there; we ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,lawyersfordisability.com,14,29,3,204,107,6851,,
ssdi attorney,Santa Monica,SocialSecurity-HighVolume-- Santa Monica.xlsx,3,Santa Monica Disability Lawyer | Haffner Law,https://www.haffnerlawyers.com/santa-monica-disability-lawyer/,"If you're struggling with your disability claim, a Santa Monica disability lawyer at our firm can help you get the compensation you're entitled to. Start with a ...",,,,,,,,,haffnerlawyers.com,29,37,-1,5859,826,5860,,
ssd lawyer,Santa Monica,SocialSecurity-HighVolume-- Santa Monica.xlsx,3,Santa Monica Social Security Disability Attorneys | SSI Appeals ...,https://lawyersfordisability.com/,DENIED DISABILITY? Social Security Disability Attorneys - We are three generations of lawyers helping disabled clients with social security appeals.,,,,,,,,,lawyersfordisability.com,14,29,3,204,107,6851,,
ssdi lawyers,Santa Monica,SocialSecurity-HighVolume-- Santa Monica.xlsx,1,Santa Monica Social Security Disability Attorneys | SSI Appeals ...,https://lawyersfordisability.com/,DENIED DISABILITY? Social Security Disability Attorneys - We are three generations of lawyers helping disabled clients with social security appeals.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,lawyersfordisability.com,14,29,3,204,107,6851,,
ssi lawyer,Santa Monica,SocialSecurity-HighVolume-- Santa Monica.xlsx,1,Santa Monica Social Security Disability Attorneys | SSI Appeals ...,https://lawyersfordisability.com/,"We specialize in overturning denied Social Security disability benefits, advocating vigorously for those unfairly denied.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,lawyersfordisability.com,14,29,3,204,107,6851,,
ssi appeal lawyer,Santa Monica,SocialSecurity-HighVolume-- Santa Monica.xlsx,1,Santa Monica Social Security Disability Attorneys | SSI Appeals ...,https://lawyersfordisability.com/,DENIED DISABILITY? Social Security Disability Attorneys - We are three generations of lawyers helping disabled clients with social security appeals.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,lawyersfordisability.com,14,29,3,204,107,6851,,
ssi appeal lawyer,Santa Monica,SocialSecurity-HighVolume-- Santa Monica.xlsx,3,Santa Monica Disability Lawyers | Denial of Benefits Appeals,https://lawyersfordisability.com/santa-monica-disability-attorney/,Our Attorneys Help Clients Apply for Social Security Disability Benefits. We Help Appeal SSD & SSI Denials in Santa Monica. We Are a Family of Attorneys With ...,,,,,,,,,lawyersfordisability.com,14,29,3,204,107,6851,,
ssi lawyers,Santa Monica,SocialSecurity-HighVolume-- Santa Monica.xlsx,1,Santa Monica Social Security Disability Attorneys | SSI Appeals ...,https://lawyersfordisability.com/,DENIED DISABILITY? Social Security Disability Attorneys - We are three generations of lawyers helping disabled clients with social security appeals.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,lawyersfordisability.com,14,29,3,204,107,6851,,
climate change attorney,Santa Monica,EnvironmentalLaw-HighVolume-- Santa Monica.xlsx,3,"David Pettit, Senior Attorney, Climate & Energy - NRDC",https://www.nrdc.org/bio/david-pettit,"David Pettit has focused on curbing pollution in California by litigating against industries, campaigning for clean forms of energy, and promoting green ...",,,,,,,,,nrdc.org,82,63,6,3799156,100717,5913299,,
environmental justice lawyer,Santa Monica,EnvironmentalLaw-HighVolume-- Santa Monica.xlsx,3,"Environmental Law - Cotchett, Pitre & McCarthy, LLP",https://www.cpmlegal.com/practices-Environmental-Litigation,"Los Angeles/Santa Monica office. 2716 Ocean Park Blvd. Suite 3088. Santa Monica, CA 90405. T: 310.392.2008. F: 310.392.0111. New York office. 40 Worth Street.",,,,,,,,,cpmlegal.com,53,45,42,21579,2342,172798,,
environmental lawyer,Santa Monica,EnvironmentalLaw-HighVolume-- Santa Monica.xlsx,3,"Environmental - Cox, Castle & Nicholson",https://www.coxcastle.com/practices-environmental,"Our attorneys assist clients with environmental issues arising in transactions, risk management and regulatory strategies, as well as federal and state court ...",,,,,,,,,coxcastle.com,42,38,9,17763,895,140272,,
environmental litigation attorney,Santa Monica,EnvironmentalLaw-HighVolume-- Santa Monica.xlsx,3,Environmental Litigation California | Downey Brand LLP,https://www.downeybrand.com/Practices/environmental-toxics-litigation/,Downey Brand's Environmental Law Practice Group has the legal skills and the science-based knowledge to provide a strategy for success.,,,,,,,,,downeybrand.com,34,38,1,7363,864,8846,,
environmental regulatory compliance attorney,Santa Monica,EnvironmentalLaw-HighVolume-- Santa Monica.xlsx,3,"Environmental - Cox, Castle & Nicholson",https://www.coxcastle.com/practices-environmental,"Our attorneys assist clients with environmental issues arising in transactions, risk management and regulatory strategies, as well as federal and state court ...",,,,,,,,,coxcastle.com,42,38,9,17763,895,140272,,
land use and environmental attorney,Santa Monica,EnvironmentalLaw-HighVolume-- Santa Monica.xlsx,2,Santa Monica Land Use Lawyer - Borna Houman Law,https://bornahoumanlaw.com/santa-monica-land-use-lawyer/,"If you are beginning a land use or development project in Santa Monica, California contact Borna Houman Law at (888) 422-6762 for legal assistance.",,,,,,,,,bornahoumanlaw.com,9,26,1,4968,45,5066,,
sustainable development lawyer,Santa Monica,EnvironmentalLaw-HighVolume-- Santa Monica.xlsx,2,Our Team And Board - Earth Law Center,https://www.earthlawcenter.org/our-team,"Grant Wilson, Esq., is the Executive Director of Earth Law Center. He is an expert on the Rights of Nature, ecocentric law, and international environmental law.",,,,,,,,,earthlawcenter.org,47,39,-1,12927,1070,13349,,
toxic tort lawyer,Santa Monica,EnvironmentalLaw-HighVolume-- Santa Monica.xlsx,2,Santa Monica Toxic Torts Lawyer - Robert Shiri Law,https://injurylawyersantamonica.com/santa-monica-toxic-torts-lawyer/,"If you, or someone you know, has a toxic tort dispute and is need of a Santa Monica toxic torts lawyer, call our office immediately (310) 829-9943. We ...",,,,,,,,,injurylawyersantamonica.com,7,25,2,98,46,1084,,
toxic tort lawyer,Santa Monica,EnvironmentalLaw-HighVolume-- Santa Monica.xlsx,3,Toxic Tort Lawyers Los Angeles |Chemical Exposure Attorneys,https://www.panish.law/toxic-tort.html,"If you have been exposed to hazardous chemicals in Los Angeles, you may be able to file a toxic tort lawsuit. Call our attorneys today 877.800.1700.",,,,,,,,,panish.law,49,29,1,75079,2846,849527,,
appeal lawyers,Santa Monica,OtherSpecializedAreas-HighVolume-- Santa Monica.xlsx,2,Appellate Practice - Santa Monica - Murphy Rosen LLP,https://murphyrosen.com/practice-areas/appellate-practice/,"The firm's appellate practice includes all aspects of civil and criminal litigation, and may entail direct appeals from final judgments and orders.",,,,,,,,,murphyrosen.com,25,28,2,2174,114,3718,,
appeal lawyers,Santa Monica,OtherSpecializedAreas-HighVolume-- Santa Monica.xlsx,3,"Ahrony Appeals: Santa Monica, CA Law Group Firm | Home Page",https://www.ahronyappeals.com/,"We tackle the toughest post-conviction matters, including criminal appeals, resentencing issues, habeas corpus writs, prison issues, and parole.",,,,,,,,,ahronyappeals.com,13,24,4,137,52,71594,,
water rights attorney,Santa Monica,EnvironmentalLaw-HighVolume-- Santa Monica.xlsx,1,Water Rights Consulting Attorneys,https://www.waterboards.ca.gov/waterrights/board_info/consulting-attorneys.html,"Consulting Attorneys who work with Water Rights ; Ashurst LLP 1299 Ocean Avenue, Suite 320. Santa Monica, CA 90401, P: (805) 451-4166, P: (805) 451-4166Wes ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,waterboards.ca.gov,0,0,0,0,0,0,,
water rights attorney,Santa Monica,EnvironmentalLaw-HighVolume-- Santa Monica.xlsx,2,"Water Law - Cotchett, Pitre & McCarthy, LLP",https://www.cpmlegal.com/practices-water-law,"If you have information regarding potential water rights violations, please follow up with Julie Fieber. Email Julie; Call Julie at (650) 697-6000. Significant ...",,,,,,,,,cpmlegal.com,53,45,42,21579,2342,172798,,
appellate attorneys,Santa Monica,OtherSpecializedAreas-HighVolume-- Santa Monica.xlsx,2,Appellate Practice - Santa Monica - Murphy Rosen LLP,https://murphyrosen.com/practice-areas/appellate-practice/,"The firm's appellate practice includes all aspects of civil and criminal litigation, and may entail direct appeals from final judgments and orders.",,,,,,,,,murphyrosen.com,25,28,2,2174,114,3718,,
appellate court lawyers,Santa Monica,OtherSpecializedAreas-HighVolume-- Santa Monica.xlsx,2,Appellate Practice - Santa Monica - Murphy Rosen LLP,https://murphyrosen.com/practice-areas/appellate-practice/,"The firm's appellate practice includes all aspects of civil and criminal litigation, and may entail direct appeals from final judgments and orders.",,,,,,,,,murphyrosen.com,25,28,2,2174,114,3718,,
cybersecurity lawyer,Santa Monica,OtherSpecializedAreas-HighVolume-- Santa Monica.xlsx,1,Internet Technology Law | Santa Monica Cyber Law Lawyer,https://www.atrizadeh.com/internet.html,Free Consultation - Call (310) 694-3034 - Salar Atrizadeh is dedicated to serving our clients with a range of legal services including Internet Fraud and ...,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,atrizadeh.com,26,30,1,24823,166,32415,,
