keyword,city,source_file,ranking,title,link,snippet,business_name,rating,review_count,official_website,top_3_reviews,profile_updates,attributes,product_listings,domain,domain_authority,page_authority,spam_score,backlinks_count,referring_domains,pages_to_domain,top_backlinks,trust_flow
special needs trust attorney near me,West Hartford,EstatePlanning-LongTail -- West Hartford.xlsx,1,Special Needs Trusts – kearnsandkearns.com - Attorneys At Law,https://kearnsandkearns.com/services/special-needs-trusts/,"Kearns & Kearns, Special Needs Trust Lawyers in West Hartford CT, can help you secure the necessary health care, financial security and independence.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,kearnsandkearns.com,16,30,5,305,108,394,,
special needs trust attorney near me,West Hartford,EstatePlanning-LongTail -- West Hartford.xlsx,3,Attorneys At Law: kearnsandkearns.com,https://kearnsandkearns.com/,"Certified Elder Law Attorney. Jay Kearns is a Special Needs Trust Lawyer in West Hartford CT, who focuses on elder law, estate planning and probate law.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,kearnsandkearns.com,16,30,5,305,108,394,,
durable financial power of attorney,West Hartford,EstatePlanning-LongTail -- West Hartford.xlsx,1,Connecticut Law About Powers of Attorney,https://www.jud.ct.gov/lawlib/law/powersofattorney.htm,Frequently Asked Questions about Powers of Attorney in Connecticut · Durable Statutory Power of Attorney - Short Form · Revocation of Power of Attorney Form.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,jud.ct.gov,0,0,0,0,0,0,,
durable financial power of attorney,West Hartford,EstatePlanning-LongTail -- West Hartford.xlsx,2,Durable Powers of Attorney - Law Offices of Steven M. Basche,https://baschelaw.com/durable-powers-of-attorney-2/,"A Durable Power of Attorney (DPOA) is a legal document that enables you to designate another person, called the attorney-in-fact, to act on your behalf.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,baschelaw.com,23,32,11,5070,185,5592,,
durable financial power of attorney,West Hartford,EstatePlanning-LongTail -- West Hartford.xlsx,3,What is Power of Attorney (POA)? - CTLawHelp,https://ctlawhelp.org/en/power-of-attorney,The word 'durable' means the Power of Attorney will still be effective if the principal becomes mentally incapacitated. A Power of Attorney in Connecticut no ...,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,ctlawhelp.org,43,45,10,73710,1900,10615811,,
power of attorney lawyers near me,West Hartford,EstatePlanning-LongTail -- West Hartford.xlsx,1,Hartford Lawyers For A Power Of Attorney | Ct. Estate Law,https://www.lefoll.com/power-of-attorney/,"Our lawyers also service the areas of Wethersfield, New Britain, Rocky Hill, East and West Hartford, Bristol, Glastonbury, and Manchester, as well as the ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,lefoll.com,18,29,4,362,126,377,,
power of attorney lawyers near me,West Hartford,EstatePlanning-LongTail -- West Hartford.xlsx,2,Heather J. Rhoades - Cummings & Lockwood LLC,https://www.cl-law.com/professionals/heather-j-rhoades,Heather J. Rhoades is Chairman of Cummings & Lockwood's Private Clients Group and is based in the West Hartford office.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,cl-law.com,37,43,8,9214,1078,182532,,
power of attorney lawyers near me,West Hartford,EstatePlanning-LongTail -- West Hartford.xlsx,3,Czepiga Daly Pope & Perri: Elder Care Law & Estate Planning Firm CT,https://www.czepigalaw.com/,"Our Connecticut estate planning, elder law, litigation, and special needs attorneys work with seniors, individuals with special needs, caregivers, and families.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,czepigalaw.com,37,35,1,12973,867,38223,,
power of attorney and durable power of attorney,West Hartford,EstatePlanning-LongTail -- West Hartford.xlsx,1,Hartford Lawyers For A Power Of Attorney | Ct. Estate Law,https://www.lefoll.com/power-of-attorney/,"A “power of attorney” is an arrangement in which one gives an “agent” authority to make medical or financial decisions on their behalf. In Connecticut, such documents are considered “durable” by default. This means that they are generally considered valid until the person yielding authority explicitly revokes them.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,lefoll.com,18,29,4,362,126,377,,
power of attorney and durable power of attorney,West Hartford,EstatePlanning-LongTail -- West Hartford.xlsx,2,Durable Power of Attorney CT - Czepiga Daly Pope & Perri,https://www.czepigalaw.com/our-services/estate-planning/durable-power-of-attorney/,Trust Czepiga Daly Pope & Perri for Durable Power of Attorney services. Give your agent the authority to manage your finances when you need it most.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,czepigalaw.com,37,35,1,12973,867,38223,,
