keyword,city,source_file,ranking,title,link,snippet,business_name,rating,review_count,official_website,top_3_reviews,profile_updates,attributes,product_listings,domain,domain_authority,page_authority,spam_score,backlinks_count,referring_domains,pages_to_domain,top_backlinks,trust_flow
free immigration lawyer near me,Fullerton,Immigration-LongTail -- Fullerton.xlsx,2,Fullerton Immigration Lawyer & Law Firm,https://www.uslawcenteronline.com/fullerton-immigration-lawyer/,"The immigration attorneys at U.S. Law Center want to help you through the difficult process and give you legal counsel and support in Fullerton, CA.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,uslawcenteronline.com,25,32,1,1288,356,51375,,
free immigration lawyer near me,Fullerton,Immigration-LongTail -- Fullerton.xlsx,3,Legal Services - Titan Dreamers Resource Center - Cal State Fullerton,https://www.fullerton.edu/tdrc/resources-services/legal.php,"Does it cost money? These services are available FREE of charge to all Cal State University, Fullerton Students and employees. What ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,fullerton.edu,79,56,1,6948320,72860,98810637,,
immigration lawyer near me with free consultation,Fullerton,Immigration-LongTail -- Fullerton.xlsx,1,Fullerton Immigration Lawyer & Law Firm,https://www.uslawcenteronline.com/fullerton-immigration-lawyer/,"The immigration attorneys at U.S. Law Center want to help you through the difficult process and give you legal counsel and support in Fullerton, CA.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,uslawcenteronline.com,25,32,1,1288,356,51375,,
immigration lawyer near me with free consultation,Fullerton,Immigration-LongTail -- Fullerton.xlsx,2,Philadelphia Immigration Lawyer Free Consultation Near Me,https://www.hunteryostlaw.com/,We are known and trusted Immigration Lawyers in the United States who charge affordable prices. Call us at (267) 223-5862 for an Immigration Lawyer Near Me ...,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,hunteryostlaw.com,30,34,3,37581,742,38596,,
immigration attorney near me,Fullerton,Immigration-LongTail -- Fullerton.xlsx,1,Fullerton Immigration Attorney - Yekrangi & Associates,https://www.yeklaw.com/fullerton/,"Our representation includes direct conversations with Attorney Yekrangi, who will represent you in court, so you stay fully informed about your case. Contact us at (949) 478-4963 or fill out our online form to schedule a case consultation today.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,yeklaw.com,26,41,1,8511,777,158023,,
immigration attorney near me,Fullerton,Immigration-LongTail -- Fullerton.xlsx,2,Fullerton Immigration Lawyer & Law Firm,https://www.uslawcenteronline.com/fullerton-immigration-lawyer/,"The immigration attorneys at U.S. Law Center want to help you through the difficult process and give you legal counsel and support in Fullerton, CA.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,uslawcenteronline.com,25,32,1,1288,356,51375,,
fullerton trademark attorney,Fullerton,Intellectual Property-LongTail-- Fullerton.xlsx,3,"Trademark and Patent Attorney in Fullerton, CA - Axenfeld Law",https://axenfeldlaw.com/city/trademark-and-patent-and-intellectual-property-law-services-in-fullerton-ca/,"Axenfeld Law has experience in representing Fullerton, CA businesses and individuals before the U.S. Patent and Trademark Office (“USPTO”) involving both ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,axenfeldlaw.com,14,25,6,546,61,546,,
immigration attorney fullerton,Fullerton,Immigration-LongTail -- Fullerton.xlsx,1,Fullerton Immigration Lawyer & Law Firm,https://www.uslawcenteronline.com/fullerton-immigration-lawyer/,"The immigration attorneys at U.S. Law Center want to help you through the difficult process and give you legal counsel and support in Fullerton, CA.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,uslawcenteronline.com,25,32,1,1288,356,51375,,
immigration attorney fullerton,Fullerton,Immigration-LongTail -- Fullerton.xlsx,2,Fullerton Immigration Law Office,https://www.gitakapurlaw.com/fullerton-immigration-law-office/,"Fullerton Immigration Law Office Law Offices of Gita B. Kapur and Associates 110 E Wilshire AveSuite 409Fullerton, CA 92832 213-784-6598 Map & Directions.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,gitakapurlaw.com,21,28,1,2727,146,14793,,
immigration attorney fullerton,Fullerton,Immigration-LongTail -- Fullerton.xlsx,3,Fullerton Immigration Attorney - Yekrangi & Associates,https://www.yeklaw.com/fullerton/,Contact us at (949) 478-4963 or fill out our online form to schedule a case consultation today. Meet Our Team · Ashkan Yekrangi · Nazanin Kiani · Emir ...,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,yeklaw.com,26,41,1,8511,777,158023,,
immigration lawyer near me,Fullerton,Immigration-LongTail -- Fullerton.xlsx,1,Fullerton Immigration Attorney - Yekrangi & Associates,https://www.yeklaw.com/fullerton/,"Our representation includes direct conversations with Attorney Yekrangi, who will represent you in court, so you stay fully informed about your case. Contact us at (949) 478-4963 or fill out our online form to schedule a case consultation today.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,yeklaw.com,26,41,1,8511,777,158023,,
