keyword,city,source_file,ranking,title,link,snippet,business_name,rating,review_count,official_website,top_3_reviews,profile_updates,attributes,product_listings,domain,domain_authority,page_authority,spam_score,backlinks_count,referring_domains,pages_to_domain,top_backlinks,trust_flow
appellate attorneys,Encino,OtherSpecializedAreas-HighVolume-- Encino.xlsx,3,Horvitz & Levy LLP: Home,https://www.horvitzlevy.com/,"Horvitz & Levy LLP, specializing in civil appeals for more than 50 years. With an outstanding track record of success in both state and federal courts, ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,horvitzlevy.com,35,37,15,202649,684,204467,,
music law attorney,Encino,OtherSpecializedAreas-HighVolume-- Encino.xlsx,3,"Morris Music Law: Music Attorney Los Angeles, Music Lawyer",https://morrismusiclaw.com/,Experienced Los Angeles music lawyer providing comprehensive legal services to music professionals. Call (310) 439-3737 for a free consultation today!,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,morrismusiclaw.com,17,27,1,248,108,454,,
non profit legal services,Encino,OtherSpecializedAreas-HighVolume-- Encino.xlsx,2,LAFLA: Legal Aid Foundation of Los Angeles | Justice • Equity • Hope,https://lafla.org/,"You can apply online; call us at 800-399-4529, Monday-Friday, 9 am-12 pm; attend a LAFLA clinic; or visit a LAFLA office.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,lafla.org,50,49,1,34152,2416,59686,,
entertainment law attorney,Encino,OtherSpecializedAreas-HighVolume-- Encino.xlsx,3,Lastine Entertainment Law: LA Entertainment Legal Services,https://lastineentertainmentlaw.com/,Our entertainment law firm provides a unique combination of legal guidance and creative feedback to help you develop and protect your original ideas.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,lastineentertainmentlaw.com,17,25,-1,174,55,175,,
custody attorney encino,Encino,FamilyLaw-HighVolume -- Encino.xlsx,1,"Encino Family Law Attorneys | Zahn Law Offices, APC",https://www.zahnlaw.net/encino/,Contact our office today at (805) 804-9100 for a confidential consultation with one of our Encino family law attorneys and to learn more about your legal ...,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,zahnlaw.net,25,26,1,444,93,3775,,
custody attorney encino,Encino,FamilyLaw-HighVolume -- Encino.xlsx,3,Encino Family Law Attorney - Child Custody Lawyer CA,https://www.whitmarshfamilylaw.com/cities-we-serve/family-law-attorney-encino/,Our Encino Family Law Attorney can help with your family law matters including Child Custody cases. Call us today at 310-552-3505.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,whitmarshfamilylaw.com,23,35,-1,1858,422,1859,,
child support attorneys,Encino,FamilyLaw-HighVolume -- Encino.xlsx,1,child support - Akbarian Law Group,https://www.akbarianlaw.com/practice-areas/child-custody/child%20support,"At Akbarian Law Group, APLC , we are committed to helping you secure a fair child support arrangement that serves your child's best interests. Reach out to our Encino child support attorney at (818) 247-9322 or contact us online today to schedule a consultation.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,akbarianlaw.com,18,26,3,1249,80,1786,,
child support attorneys,Encino,FamilyLaw-HighVolume -- Encino.xlsx,3,Encino Child Support Attorneys | Understanding Child Support in CA,https://www.zahnlaw.net/encino/child-support/,Our Encino child support lawyers are here to help you find the best path forward in your case. Contact our office to learn more!,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,zahnlaw.net,25,26,1,444,93,3775,,
child custody lawyers,Encino,FamilyLaw-HighVolume -- Encino.xlsx,1,"Encino Family Law Attorneys | Zahn Law Offices, APC",https://www.zahnlaw.net/encino/,Contact our office today at (805) 804-9100 for a confidential consultation with one of our Encino family law attorneys and to learn more about your legal ...,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,zahnlaw.net,25,26,1,444,93,3775,,
child support lawyer,Encino,FamilyLaw-HighVolume -- Encino.xlsx,1,Encino Child Support Attorneys | Understanding Child Support in CA,https://www.zahnlaw.net/encino/child-support/,Our Encino child support lawyers are here to help you find the best path forward in your case. Contact our office to learn more!,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,zahnlaw.net,25,26,1,444,93,3775,,
