keyword,city,source_file,ranking,title,link,snippet,business_name,rating,review_count,official_website,top_3_reviews,profile_updates,attributes,product_listings,name,reviews,domain,domain_authority,page_authority,spam_score,backlinks_count,referring_domains,pages_to_domain,top_backlinks,trust_flow
blockchain for lawyers,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,1,"TOP 10 BEST Crypto Lawyer near Sherman Oaks, Los Angeles, CA ...",https://m.yelp.com/search?find_desc=Crypto+Lawyer&find_loc=Sherman+Oaks%2C+Los+Angeles%2C+CA,"All ""Crypto Lawyer"" results near me in Sherman Oaks, Los Angeles, California - March 2025. Showing 1-10 of 10 · Leading Tax Group.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,m.yelp.com,0,0,0,0,0,0,,
blockchain for lawyers,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,2,Blockchain and Fintech Attorneys - Sheppard Mullin,https://www.sheppardmullin.com/blockchain-and-fintech,Missing: Sherman Oaks,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,sheppardmullin.com,51,48,32,168010,4814,1810834,,
blockchain for lawyers,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,3,Bitcoin Tax Attorney in Sherman Oaks - Leading Tax Group,https://www.leadingtaxgroup.com/most-experienced-bitcoin-tax-experts/sherman-oaks/,"Leading Tax Group has offices located in Sherman Oaks, our tax attorney has plenty of Bitcoin experience and can help if you are going through a audit or need ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,leadingtaxgroup.com,25,35,49,13914,832,13914,,
blockchain for lawyers,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,4,Blockchain for Business Lawyers (Paperback) | Sherman's Maine ...,https://www.shermans.com/book/9781641051958,"Mark is a seasoned litigator and investigator with more than a dozen years of experience representing clients in complex commercial litigation, ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,shermans.com,36,39,16,591744,1194,2630873,,
blockchain for lawyers,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,5,Stubbs Alderton & Markiles Attorneys Assist Clients With Every ...,https://stubbsalderton.com/,"Stubbs Alderton & Markiles Attorneys specialize in corporate, VC, M&A, Business Litigation, Intellectual Property, Entertainment, Public Securities.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,stubbsalderton.com,37,39,8,9657,586,143752,,
blockchain for lawyers,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,6,"Crypto, NFT & Metaverse Lawyer - Vondran Legal",https://www.vondranlegal.com/crypto-lawyer,"Call us for Crypto & Blockchain Disputes, Metaverse, Cyrpto Arbitration, False Advertising, Unfair Competition, and Copyright NFT Disputes.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,vondranlegal.com,36,40,1,22526,1780,149128,,
blockchain for lawyers,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,7,"Blockchain for Business Lawyers, Second Edition",https://www.americanbar.org/products/inv/book/438585578/,"Blockchain for Business Lawyers, Second Edition identifies the principal challenges of blockchain (distributed ledger technology) in several fields of law.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,americanbar.org,77,60,9,8773587,103717,756926252,,
blockchain for lawyers,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,8,Two California Men Charged in Largest NFT Scheme Prosecuted to ...,https://www.justice.gov/archives/opa/pr/two-california-men-charged-largest-nft-scheme-prosecuted-date,A six-count indictment was unsealed today in Los Angeles charging two California men with defrauding investors of more than $22 million in cryptocurrency.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,justice.gov,92,67,1,42731361,254028,63552962,,
blockchain for lawyers,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,9,Tax Experts Whom Include IRS Tax Auditors & Attorney in Sherman ...,https://www.leadingtaxgroup.com/sherman-oaks/,"Leading Tax Group is a group of tax experts, whom include former IRS tax attorneys in Sherman Oaks, CA offers free consultations & representation during audits ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,leadingtaxgroup.com,25,35,49,13914,832,13914,,
blockchain for lawyers,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,10,Bitcoin Boom: Does Your Estate Plan Include Your Cryptocurrency?,https://www.youtube.com/watch?v=TIEGmx7155w,"... Attorney Probate Attorney Trust Administration Attorney Asset Protection Attorney With offices in both Glendale and Sherman Oaks, California ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,youtube.com,100,100,4,64878754647,27107365,65122815977,,
construction litigation attorney near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,3,Los Angeles CA Construction Lawyer | California Real Estate ...,https://www.jdhorowitzlaw.com/,"The Horowitz Law Firm, APC can help you with your eminent domain issue. Call today to speak with an experienced attorney in Los Angeles at 818-528-5183.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,jdhorowitzlaw.com,17,28,2,1948,118,9531,,
construction litigation attorney near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,5,"Schimmel & Parks, APLC: Sherman Oaks Business & Civil Litigators ...",https://www.spattorneys.com/,"Schimmel & Parks, APLC, in Sherman Oaks, California handles civil cases as well as business disputes. We can help you. Call us today at 818-922-8544.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,spattorneys.com,14,26,2,1340,94,12212,,
construction litigation attorney near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,6,"Los Angeles Construction Law Lawyers | Sherman Oaks, CA ...",https://www.jdhorowitzlaw.com/Practice-Areas/Construction-Law/,For experienced legal help with a construction contract or dispute contact an experienced Los Angeles attorney at The Horowitz Law Firm: 818-528-5183.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,jdhorowitzlaw.com,17,28,2,1948,118,9531,,
construction litigation attorney near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,9,"Artemis Law Group in Sherman Oaks, CA",https://artemislawapc.com/sherman-oaks-law-firm/,"Artemis Law Group is a trusted legal partner serving clients in Sherman Oaks and the surrounding areas. Specializing in construction, real estate, and business ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,artemislawapc.com,8,21,3,400,23,930,,
crypto fraud attorney,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,1,Sherman Oaks Cryptocurrency Tax Expert – Audit Attorney,https://www.leadingtaxgroup.com/the-best-cryptocurrency-tax-experts/sherman-oaks/,"In other words, it's easy to get penalized by the IRS or even be accused of fraud. An Sherman Oaks cryptocurrency tax expert from our company will keep a ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,leadingtaxgroup.com,25,35,49,13914,832,13914,,
crypto fraud attorney,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,3,"Crypto, NFT & Metaverse Lawyer - Vondran Legal",https://www.vondranlegal.com/crypto-lawyer,Crypto fraud; Wallet hacks/wallet theft (passphrase theft); Arbitration of crypto disputes; Illegal Ponzi scheme civil suits; Digital asset litigation; Metamask ...,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,vondranlegal.com,36,40,1,22526,1780,149128,,
crypto fraud attorney,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,4,"Cryptocurrency Attorney in Los Angeles, CA",https://dyounglaw.net/practice-areas/cryptocurrency/,Missing: Sherman Oaks,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,dyounglaw.net,17,31,6,4051,120,4903,,
crypto fraud attorney,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,5,Los Angeles Securities & Investment Fraud Lawyer - Meyer Wilson,https://investorclaims.com/investment-fraud/california/los-angeles/,"A Los Angeles securities & investment fraud lawyer from our firm can investigate your investment losses, build a strong case on your behalf, and fight for the ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,investorclaims.com,32,39,1,21249,1031,104386,,
crypto fraud attorney,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,6,Bitcoin and Crypto Lawyers /Attorneys | Dilendorf Law Firm,https://dilendorf.com/blockchain-crypto/bitcoin-lawyers.html,Missing: Sherman Oaks,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,dilendorf.com,29,40,1,22121,768,30717,,
crypto fraud attorney,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,7,Neil Elan Discusses Crypto Regulation Shift in Bloomberg Law,https://stubbsalderton.com/neil-elan-discusses-crypto-regulation-shift-in-bloomberg-law/,"... fraud, make materially false statements, or otherwise act improperly ... Sherman Oaks, CA 91403. (818) 444-4500. Santa Monica. 1316 3rd ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,stubbsalderton.com,37,39,8,9657,586,143752,,
crypto fraud attorney,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,10,"Kazerouni Law Group, APC.: California Consumer Protection ...",https://www.kazlg.com/,We have successfully fought against consumer fraud and won cases against powerful corporations. Contact us today for your free case evaluation to see how we ...,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,kazlg.com,31,40,1,4846,832,10307,,
construction law attorney near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,2,"Los Angeles Construction Law Lawyers | Sherman Oaks, CA ...",https://www.jdhorowitzlaw.com/Practice-Areas/Construction-Law/,For experienced legal help with a construction contract or dispute contact an experienced Los Angeles attorney at The Horowitz Law Firm: 818-528-5183.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,jdhorowitzlaw.com,17,28,2,1948,118,9531,,
construction law attorney near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,5,Los Angeles CA Construction Lawyer | California Real Estate ...,https://www.jdhorowitzlaw.com/,"The Horowitz Law Firm, APC can help you with your eminent domain issue. Call today to speak with an experienced attorney in Los Angeles at 818-528-5183.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,jdhorowitzlaw.com,17,28,2,1948,118,9531,,
construction law attorney near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,8,"Schimmel & Parks, APLC: Sherman Oaks Business & Civil Litigators ...",https://www.spattorneys.com/,"Schimmel & Parks, APLC, in Sherman Oaks, California handles civil cases as well as business disputes. We can help you. Call us today at 818-922-8544.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,spattorneys.com,14,26,2,1340,94,12212,,
construction law attorney near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,9,"Artemis Law Group in Sherman Oaks, CA",https://artemislawapc.com/sherman-oaks-law-firm/,"Artemis Law Group, a premier law firm serving Sherman Oaks, specializes in construction, real estate, and business law. Our experienced attorneys are ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,artemislawapc.com,8,21,3,400,23,930,,
commercial construction attorney near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,2,"Los Angeles Construction Law Lawyers | Sherman Oaks, CA ...",https://www.jdhorowitzlaw.com/Practice-Areas/Construction-Law/,For experienced legal help with a construction contract or dispute contact an experienced Los Angeles attorney at The Horowitz Law Firm: 818-528-5183.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,jdhorowitzlaw.com,17,28,2,1948,118,9531,,
commercial construction attorney near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,4,Los Angeles CA Construction Lawyer | California Real Estate ...,https://www.jdhorowitzlaw.com/,"The Horowitz Law Firm, APC can help you with your eminent domain issue. Call today to speak with an experienced attorney in Los Angeles at 818-528-5183.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,jdhorowitzlaw.com,17,28,2,1948,118,9531,,
commercial construction attorney near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,6,"Artemis Law Group in Sherman Oaks, CA",https://artemislawapc.com/sherman-oaks-law-firm/,"Artemis Law Group is a trusted legal partner serving clients in Sherman Oaks and the surrounding areas. Specializing in construction, real estate, and business ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,artemislawapc.com,8,21,3,400,23,930,,
commercial construction attorney near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,8,"Construction Law Services Sherman Oaks, CA 91403",https://locallawyershermanoaksca.com/practice-areas/construction-law/,"Call Law Offices Of Geoffrey Melkonian at 818-646-6915 now for Sherman Oaks, CA Construction Law services you can rely on!",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,locallawyershermanoaksca.com,2,17,8,18,14,77,,
blockchain law firm,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,1,Stubbs Alderton & Markiles Attorneys Assist Clients With Every ...,https://stubbsalderton.com/,"Stubbs Alderton & Markiles Attorneys specialize in corporate, VC, M&A, Business Litigation, Intellectual Property, Entertainment, Public Securities.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,stubbsalderton.com,37,39,8,9657,586,143752,,
blockchain law firm,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,2,Sherman Oaks Cryptocurrency Tax Expert – Audit Attorney,https://www.leadingtaxgroup.com/the-best-cryptocurrency-tax-experts/sherman-oaks/,Our cryptocurrency tax expert in Sherman Oaks has been helping investors avoid penalties and protect their assets from the IRS for years. Crypto tax laws and ...,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,leadingtaxgroup.com,25,35,49,13914,832,13914,,
