keyword,city,source_file,ranking,title,link,snippet,business_name,rating,review_count,official_website,top_3_reviews,profile_updates,attributes,product_listings,domain,domain_authority,page_authority,spam_score,backlinks_count,referring_domains,pages_to_domain,top_backlinks,trust_flow
coral gables employment discrimination attorney,Coral Gables,LaborAndEmployement-LongTail -- Coral Gables.xlsx,1,"Coral Gables Employment Law | Roberts, Basnuevo & Macias",https://www.robertspa.com/employment-law,"The employment law attorneys at Roberts, Basnuevo & Macias in Coral Gables will protect your rights in the workplace to obtain the best possible result.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,robertspa.com,11,22,7,145,39,2724,,
coral gables employment discrimination attorney,Coral Gables,LaborAndEmployement-LongTail -- Coral Gables.xlsx,2,"Diane Perez, P.A.: Coral Gables Labor Law Attorney",https://www.dianeperezlaw.com/,"As your attorney, I strive to provide effective solutions to employees and employers with complex legal disputes involving employment and labor law.",,,,,,,,,dianeperezlaw.com,14,26,1,716,63,3904,,
employment discrimination attorney near me,Coral Gables,LaborAndEmployement-LongTail -- Coral Gables.xlsx,3,"Diane Perez, P.A.: Coral Gables Labor Law Attorney",https://www.dianeperezlaw.com/,"As your attorney, I strive to provide effective solutions to employees and employers with complex legal disputes involving employment and labor law.",,,,,,,,,dianeperezlaw.com,14,26,1,716,63,3904,,
employment lawyers that work on contingency near me,Coral Gables,LaborAndEmployement-LongTail -- Coral Gables.xlsx,1,Best Employment Attorney Miami | Labor Lawyer Coral Gables,https://hhlawflorida.com/,"We handle cases on a contingency fee basis which means we only get paid after you do. ... The team at Law Office of Garcia Hernandez, P.A. will work exclusively ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,hhlawflorida.com,20,35,-1,1329,345,1329,,
employment lawyers that work on contingency near me,Coral Gables,LaborAndEmployement-LongTail -- Coral Gables.xlsx,3,Trust Our Florida Labor and Employment Law Attorneys,https://www.hoffmanpa.com/practices/employment-law/,"We handle cases on a contingency fee basis or on an hourly basis depending on the client's needs. ... Lauderdale, West Palm Beach, Brickell, Key Biscayne, Coconut ...",,,,,,,,,hoffmanpa.com,19,30,-1,957,232,1023,,
best employment lawyers in coral gables,Coral Gables,LaborAndEmployement-LongTail -- Coral Gables.xlsx,3,Best Employment Attorney Miami | Labor Lawyer Coral Gables,https://hhlawflorida.com/,"The Law Office of Garcia Hernandez, P.A are recognized as a top lawyers in Florida for their work in employment law, family law, divorce, personal injury, ...",,,,,,,,,hhlawflorida.com,20,35,-1,1329,345,1329,,
pregnancy discrimination lawyers near me,Coral Gables,LaborAndEmployement-LongTail -- Coral Gables.xlsx,2,"Consult Our Pregnancy Discrimination Lawyers in Miami, FL",https://fairlawattorney.com/discrimination/pregnancy-discrimination/,"Suite 770 Coral Gables, Florida 33146. Monday-Friday: 9am-5pm. phone alt. (305) 686-2460. Notice: JavaScript is required for this content. Please ...",,,,,,,,,fairlawattorney.com,25,33,1,690,205,739,,
pregnancy discrimination lawyers near me,Coral Gables,LaborAndEmployement-LongTail -- Coral Gables.xlsx,3,Coral Gables Employment Attorneys - Cantrell Schuette,https://caklegal.com/coral-gables-employment-attorneys/,"Discrimination, Harassment, & Retaliation · Family and Medical Leave Act · Hostile Work Environment · Disability Discrimination · Pregnancy Discrimination ...",,,,,,,,,caklegal.com,19,33,45,1630,206,13172,,
work related injury lawyers near me,Coral Gables,LaborAndEmployement-LongTail -- Coral Gables.xlsx,1,Coral Gables Workers' Compensation Lawyers - Free Consultation,https://wernerhoffman.com/coral-gables/workers-compensation-lawyers/,"At Werner, Hoffman, Greig & Garcia , our experienced team of Coral Gables Workers' compensation lawyers are here to support you every step of the way. Call us today at 305-845-4470 or fill out our online contact form to schedule a free consultation.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,wernerhoffman.com,22,31,1,1587,167,15601,,
work related injury lawyers near me,Coral Gables,LaborAndEmployement-LongTail -- Coral Gables.xlsx,3,Work Injury Lawyers Serving Coral Gables | Miami-Dade County ...,https://www.fklegal.com/work-injury-lawyers-serving-coral-gables.html,Free Consultation - Call (855) 800-8000 - Our Miami-Dade County Work Accident Lawyers help injured victims recover compensation for their Work Accident and ...,,,,,,,,,fklegal.com,25,37,1,17520,567,101318,,
labor and employment attorney coral gables,Coral Gables,LaborAndEmployement-LongTail -- Coral Gables.xlsx,1,"Diane Perez, P.A.: Coral Gables Labor Law Attorney",https://www.dianeperezlaw.com/,"As your attorney, I strive to provide effective solutions to employees and employers with complex legal disputes involving employment and labor law.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,dianeperezlaw.com,14,26,1,716,63,3904,,
labor and employment attorney coral gables,Coral Gables,LaborAndEmployement-LongTail -- Coral Gables.xlsx,2,Best Employment Attorney Miami | Labor Lawyer Coral Gables,https://hhlawflorida.com/,"Henry Hernandez is a top employment attorney in Miami, Florida, who fights for employment discrimination, sexual harassment, unpaid wages & more.",,,,,,,,,hhlawflorida.com,20,35,-1,1329,345,1329,,
labor and employment attorney coral gables,Coral Gables,LaborAndEmployement-LongTail -- Coral Gables.xlsx,3,Allen Norton & Blue,https://www.anblaw.com/,"Allen Norton & Blue, P.A. is devoted exclusively to the practice of Labor and Employment Law, representing management interests for state, national, and ...",,,,,,,,,anblaw.com,30,33,3,1773,250,6135,,
