keyword,city,source_file,ranking,title,link,snippet,business_name,rating,review_count,official_website,top_3_reviews,profile_updates,attributes,product_listings,domain,domain_authority,page_authority,spam_score,backlinks_count,referring_domains,pages_to_domain,top_backlinks,trust_flow
lawyers for bankruptcies,Woodland Hills,Bankruptcy-HighVolume-- Woodland Hills.xlsx,1,Havkin and Shrago: Woodland Hills Bankruptcy Attorney,https://www.havkinandshrago.com/,"Call for a FREE Consultation: (818) 600-6240. Since our founding, Havkin and Shrago has cultivated a reputation as a premier bankruptcy litigation practice with ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,havkinandshrago.com,16,21,1,77,41,477,,
lawyers for bankruptcies,Woodland Hills,Bankruptcy-HighVolume-- Woodland Hills.xlsx,2,Law Offices of Hagen & Hagen: Woodland Hills Bankruptcy Lawyer,https://www.hagenhagenlaw.com/,"Contact us online or call (818) 217-8781 to discuss your bankruptcy options with us. We assist clients in Los Angeles, Orange, Riverside, Ventura, San Luis ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,hagenhagenlaw.com,19,31,1,1564,168,2725,,
lawyers for bankruptcies,Woodland Hills,Bankruptcy-HighVolume-- Woodland Hills.xlsx,3,Woodland Hills Chapter 11 Bankruptcy Creditor Lawyer,https://www.havkinandshrago.com/creditors/chapter-11/,Representing Creditors in Ch. 11 and Subchapter V Bankruptcies · Creditor Rights in Chapter 11 Bankruptcy · Call for a FREE Consultation: (818) 600-6240.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,havkinandshrago.com,16,21,1,77,41,477,,
chapter 11 lawyer,Woodland Hills,Bankruptcy-HighVolume-- Woodland Hills.xlsx,1,Woodland Hills Chapter 11 Bankruptcy Attorney - Cal West Law,https://www.calwestlaw.com/bankruptcy/chapter-11/,Contact (818) 446-1334 or reach out online to discuss your Chapter 11 options with our Woodland Hills attorney.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,calwestlaw.com,22,23,1,1153,147,45907,,
chapter 11 lawyer,Woodland Hills,Bankruptcy-HighVolume-- Woodland Hills.xlsx,2,Havkin and Shrago: Woodland Hills Bankruptcy Attorney,https://www.havkinandshrago.com/,"Havkin and Shrago is an award-winning trial practice that represents creditors, debtors, and trustees in a range of bankruptcy and business matters.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,havkinandshrago.com,16,21,1,77,41,477,,
chapter 11 lawyer,Woodland Hills,Bankruptcy-HighVolume-- Woodland Hills.xlsx,3,Woodland Hills Chapter 11 Bankruptcy Creditor Lawyer,https://www.havkinandshrago.com/creditors/chapter-11/,Representing Creditors in Ch. 11 and Subchapter V Bankruptcies · Creditor Rights in Chapter 11 Bankruptcy · Call for a FREE Consultation: (818) 600-6240.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,havkinandshrago.com,16,21,1,77,41,477,,
chapter 7 attorney,Woodland Hills,Bankruptcy-HighVolume-- Woodland Hills.xlsx,1,Woodland Hills Chapter 7 Creditor Attorney - Havkin and Shrago,https://www.havkinandshrago.com/creditors/chapter-7/,Call (818) 600-6240 to speak with a Woodland Hills attorney about your rights as a creditor in Chapter 7 bankruptcy. Havkin and Shrago offers FREE consultations and serves clients across Southern California.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,havkinandshrago.com,16,21,1,77,41,477,,
chapter 7 attorney,Woodland Hills,Bankruptcy-HighVolume-- Woodland Hills.xlsx,2,Law Offices of Hagen & Hagen: Woodland Hills Bankruptcy Lawyer,https://www.hagenhagenlaw.com/,"Schedule a free initial consultation with our attorney, Jeff Hagen, by calling (818) 217-8781 or contacting us online. Reasons to Hire a Bankruptcy ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,hagenhagenlaw.com,19,31,1,1564,168,2725,,
chapter 7 attorney,Woodland Hills,Bankruptcy-HighVolume-- Woodland Hills.xlsx,3,Havkin and Shrago: Woodland Hills Bankruptcy Attorney,https://www.havkinandshrago.com/,"Call for a FREE Consultation: (818) 600-6240. Since our founding, Havkin and Shrago has cultivated a reputation as a premier bankruptcy litigation practice with ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,havkinandshrago.com,16,21,1,77,41,477,,
bk law firm,Woodland Hills,Bankruptcy-HighVolume-- Woodland Hills.xlsx,1,Law Offices of Hagen & Hagen: Woodland Hills Bankruptcy Lawyer,https://www.hagenhagenlaw.com/,"Contact us online or call (818) 217-8781 to discuss your bankruptcy options with us. We assist clients in Los Angeles, Orange, Riverside, Ventura, San Luis ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,hagenhagenlaw.com,19,31,1,1564,168,2725,,
bk law firm,Woodland Hills,Bankruptcy-HighVolume-- Woodland Hills.xlsx,2,BG Law: Los Angeles/Las Vegas Law Firm,https://www.bg.law/,Our firm efficiently resolves your legal matters by assembling an accessible team of talent to develop a strategy and take action.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,bg.law,23,35,-1,1163,438,1230,,
chapter 11 attorneys,Woodland Hills,Bankruptcy-HighVolume-- Woodland Hills.xlsx,1,Havkin and Shrago: Woodland Hills Bankruptcy Attorney,https://www.havkinandshrago.com/,"Havkin and Shrago is an award-winning trial practice that represents creditors, debtors, and trustees in a range of bankruptcy and business matters.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,havkinandshrago.com,16,21,1,77,41,477,,
