keyword,city,source_file,ranking,title,link,snippet,business_name,rating,review_count,official_website,top_3_reviews,profile_updates,attributes,product_listings,domain,domain_authority,page_authority,spam_score,backlinks_count,referring_domains,pages_to_domain,top_backlinks,trust_flow
durable power of attorney,Oklahoma City,EstatePlanning-HighVolume -- Oklahoma City.xlsx,1,Durable Power of Attorney in Oklahoma City - The Schroeder Group,https://www.tsgattorneys.com/practice-areas/estate-planning-probate-and-trust-administration/durable-power-of-attorney/,"A Durable Power of Attorney is a legal document that designates someone as your agent or representative, empowering them to make important financial and legal decisions on your behalf in the event you become incapacitated or unable to make those decisions yourself.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,tsgattorneys.com,8,24,1,156,41,1350,,
durable power of attorney,Oklahoma City,EstatePlanning-HighVolume -- Oklahoma City.xlsx,2,[PDF] Durable Power of Attorney - Oklahoma.gov,https://oklahoma.gov/content/dam/ok/en/omes/documents/DurablePOA.pdf,This EGID Durable Power of Attorney is intended to be used by you to permit another person to conduct transactions related to your EGID ...,,,,,,,,,oklahoma.gov,71,58,5,23982347,49915,26591444,,
durable power of attorney,Oklahoma City,EstatePlanning-HighVolume -- Oklahoma City.xlsx,3,Powers of Attorney | Welcome to Legal Aid Services of Oklahoma's ...,https://oklaw.org/resource/powers-of-attorney-1,"Always “Durable” unless the principal says it is not. Durable means that it does not end if the principal becomes mentally incompetent, unless taken over by a ...",,,,,,,,,oklaw.org,40,45,-1,14253,1640,433941,,
estate attorney,Oklahoma City,EstatePlanning-HighVolume -- Oklahoma City.xlsx,1,Oklahoma City Estate Planning Attorney,https://www.mcbridelaw.net/,"We've guided thousands in Oklahoma! Don't wait until it's too late, speak with a skilled estate planning attorney in OKC at McBride & Associates, P.C..",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,mcbridelaw.net,22,24,1,1557,139,5716,,
estate attorney,Oklahoma City,EstatePlanning-HighVolume -- Oklahoma City.xlsx,2,"Oklahoma Estate Attorneys, PLLC | Estate Planning and Probate ...",https://www.estateplan.expert/,"Protect your financial power and ensure the care of your loved ones with Oklahoma Estate Attorneys, PLLC. Our experienced attorneys provide comprehensive ...",,,,,,,,,estateplan.expert,22,23,1,1433,83,6481,,
estate attorney,Oklahoma City,EstatePlanning-HighVolume -- Oklahoma City.xlsx,3,Parman & Easterday: Oklahoma City Estate Planning Attorneys,https://www.parmanlaw.com/,"Oklahoma City estate planning, wills, trusts, & probate attorneys at Parman & Easterday. Contact our office for estate planning help today!",,,,,,,,,parmanlaw.com,31,35,1,2770,507,286525,,
attorney for wills,Oklahoma City,EstatePlanning-HighVolume -- Oklahoma City.xlsx,1,Oklahoma City Estate Planning Attorney,https://www.mcbridelaw.net/,Our Oklahoma estate attorneys can assist with the following: Wills · Trusts · Powers of Attorney · Healthcare Directives · Probate. Estate Planning Solutions.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,mcbridelaw.net,22,24,1,1557,139,5716,,
attorney for wills,Oklahoma City,EstatePlanning-HighVolume -- Oklahoma City.xlsx,2,Wills & Trusts Attorneys in Oklahoma City - Ball Morse Lowe,https://www.ballmorselowe.com/estate-planning/wills-trusts,"Arrange an initial consultation with one of our estate planning lawyers by calling Ball Morse Lowe, PLLC, at 405-701-5355 or by contacting our office by email.",,,,,,,,,ballmorselowe.com,29,41,1,31112,879,158719,,
attorney for wills,Oklahoma City,EstatePlanning-HighVolume -- Oklahoma City.xlsx,3,"Postic & Bates, P.C.: OKC Estate Planning Attorneys",https://www.posticbates.com/,"Assisting clients with estate planning, probate, asset protection, real estate transactions, and more. Call (405) 691-5080 for a free consultation.",,,,,,,,,posticbates.com,29,30,-1,3094,223,6338,,
estate attorney near me,Oklahoma City,EstatePlanning-HighVolume -- Oklahoma City.xlsx,1,Oklahoma City Estate Planning Attorney,https://www.mcbridelaw.net/,"We've guided thousands in Oklahoma! Don't wait until it's too late, speak with a skilled estate planning attorney in OKC at McBride & Associates, P.C..",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,mcbridelaw.net,22,24,1,1557,139,5716,,
estate attorney near me,Oklahoma City,EstatePlanning-HighVolume -- Oklahoma City.xlsx,2,"Oklahoma Estate Attorneys, PLLC | Estate Planning and Probate ...",https://www.estateplan.expert/,"Protect your financial power and ensure the care of your loved ones with Oklahoma Estate Attorneys, PLLC. Our experienced attorneys provide comprehensive ...",,,,,,,,,estateplan.expert,22,23,1,1433,83,6481,,
estate law attorney,Oklahoma City,EstatePlanning-HighVolume -- Oklahoma City.xlsx,1,Oklahoma City Estate Planning Attorney,https://www.mcbridelaw.net/,"Contact McBride & Associates, P.C. online or call (405) 896-3615. Our estate planning attorney in OKC can help.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,mcbridelaw.net,22,24,1,1557,139,5716,,
