keyword,city,source_file,ranking,title,link,snippet,business_name,rating,review_count,official_website,top_3_reviews,profile_updates,attributes,product_listings,domain,domain_authority,page_authority,spam_score,backlinks_count,referring_domains,pages_to_domain,top_backlinks,trust_flow
amicable divorce,Scottsdale,FamilyLaw-LongTail -- Scottsdale.xlsx,1,"Scottsdale Uncontested Divorce Lawyers | Singer Pistiner, PC",https://www.singerpistiner.com/divorce/uncontested-divorce/,"We specialize in uncontested divorces in Scottsdale, Arizona. Our dedicated and experienced attorneys are here to guide you through the process.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,singerpistiner.com,31,29,1,2034,259,30810,,
amicable divorce,Scottsdale,FamilyLaw-LongTail -- Scottsdale.xlsx,2,Scottsdale Uncontested Divorce Attorney | Marital Settlement ...,https://www.divorceattorneyinscottsdale.com/uncontested-divorce/,We bring more than 20 years of experience as Scottsdale uncontested divorce attorneys helping clients achieve fair and enforceable settlements.,,,,,,,,,divorceattorneyinscottsdale.com,18,25,1,742,143,63456,,
amicable divorce,Scottsdale,FamilyLaw-LongTail -- Scottsdale.xlsx,3,Divorce Proceedings - Maricopa County Superior Court,https://superiorcourt.maricopa.gov/departments/superior-court/family/divorce-legal-separation/,A process for divorce or legal separation in Arizona where all parties reach full agreement on all issues before filing a divorce or legal separation case with ...,,,,,,,,,superiorcourt.maricopa.gov,0,0,0,0,0,0,,
amicable divorce attorney,Scottsdale,FamilyLaw-LongTail -- Scottsdale.xlsx,1,"Scottsdale Uncontested Divorce Lawyers | Singer Pistiner, PC",https://www.singerpistiner.com/divorce/uncontested-divorce/,"We specialize in uncontested divorces in Scottsdale, Arizona. Our dedicated and experienced attorneys are here to guide you through the process.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,singerpistiner.com,31,29,1,2034,259,30810,,
amicable divorce attorney,Scottsdale,FamilyLaw-LongTail -- Scottsdale.xlsx,2,Divorce Lawyer Scottsdale - Family Law Attorneys Near You,https://www.arizonalawgroup.com/divorce-lawyer-scottsdale-family-law-attorney-near-you/,"The team at Arizona Law Group boasts over 100 years of combined experience, which means we've been through countless cases and developed a deep understanding of ...",,,,,,,,,arizonalawgroup.com,32,40,1,101661,1119,132097,,
amicable divorce attorney,Scottsdale,FamilyLaw-LongTail -- Scottsdale.xlsx,3,Scottsdale Uncontested Divorce Attorney | Marital Settlement ...,https://www.divorceattorneyinscottsdale.com/uncontested-divorce/,We bring more than 20 years of experience as Scottsdale uncontested divorce attorneys helping clients achieve fair and enforceable settlements.,,,,,,,,,divorceattorneyinscottsdale.com,18,25,1,742,143,63456,,
affordable family law attorney near me,Scottsdale,FamilyLaw-LongTail -- Scottsdale.xlsx,1,"Affordable Family Law | Divorce, QRDOs, Estate | Legal Document ...",https://affordablefamilylaw.co/,"We are an Arizona Company, with Arizona employees, who spend money in Arizona. Call us, locally, anytime at (602) 283-3800.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,affordablefamilylaw.co,18,27,1,2414,231,5442,,
affordable family law attorney near me,Scottsdale,FamilyLaw-LongTail -- Scottsdale.xlsx,2,Scottsdale Family Law - Scottsdale's Premier Family Law Team,https://scottsdalefamilylaw.com/,"We are family law experts who love helping others navigate legal challenges. With over 100 years of combined experience, we work side by side to ensure we are ...",,,,,,,,,scottsdalefamilylaw.com,20,31,2,7078,147,7747,,
best divorce lawyers near me,Scottsdale,FamilyLaw-LongTail -- Scottsdale.xlsx,3,Divorce Lawyer Scottsdale - Family Law Attorneys Near You,https://www.arizonalawgroup.com/divorce-lawyer-scottsdale-family-law-attorney-near-you/,"If you're looking for a divorce lawyer in Scottsdale, AZ - or a family law attorney near you to handle a divorce, custody agreement, child support or other ...",,,,,,,,,arizonalawgroup.com,32,40,1,101661,1119,132097,,
best divorce attorneys near me,Scottsdale,FamilyLaw-LongTail -- Scottsdale.xlsx,3,Divorce Lawyer Scottsdale - Family Law Attorneys Near You,https://www.arizonalawgroup.com/divorce-lawyer-scottsdale-family-law-attorney-near-you/,"If you're looking for a divorce lawyer in Scottsdale, AZ - or a family law attorney near you to handle a divorce, custody agreement, child support or other ...",,,,,,,,,arizonalawgroup.com,32,40,1,101661,1119,132097,,
