keyword,city,source_file,ranking,title,link,snippet,business_name,rating,review_count,official_website,top_3_reviews,profile_updates,attributes,product_listings,domain,domain_authority,page_authority,spam_score,backlinks_count,referring_domains,pages_to_domain,top_backlinks,trust_flow
financial tax advisor,Berkeley,TaxationLaw-HighVolume -- Berkeley.xlsx,2,Tax Preparers | Berkeley Parents Network,https://www.berkeleyparentsnetwork.org/recommend/legal/taxprep,"I highly recommend Monty Lee at 1393 Solano Ave., Albany, 94706. His # is (510) 528-1112. Monty is a smart and caring individual. I hope you call him!",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,berkeleyparentsnetwork.org,41,46,10,36678,2867,1105385,,
financial tax advisor,Berkeley,TaxationLaw-HighVolume -- Berkeley.xlsx,3,"Fee-Only Financial Advisors in Berkeley, CA - FeeOnlyNetwork.com",https://www.feeonlynetwork.com/berkeley-ca-financial-planner/,"Every Berkeley, CA Financial Advisor on FeeOnlyNetwork.com is Verified to be Fee-Only, Fiduciary, and Independent · Jane Yoo · Jonathan DeYoe · Don Martini.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,feeonlynetwork.com,39,40,4,135204,1506,154323,,
international taxation attorney,Berkeley,TaxationLaw-HighVolume -- Berkeley.xlsx,1,International Tax Lawyers Berkeley California - Sherayzen Law Office,https://sherayzenlaw.com/it-2/international-tax-lawyers-berkeley-california/,"International Tax Lawyers Berkeley California can help you with Forms 5471, 8865, 8858, 926, 8891, FBARs, FATCA & IRS Offshore Voluntary Disclosure Program.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,sherayzenlaw.com,28,33,1,2357,240,755075,,
international taxation attorney,Berkeley,TaxationLaw-HighVolume -- Berkeley.xlsx,3,Berkeley FBAR Attorney | International Tax Lawyers California,https://sherayzenlaw.com/berkeley-fbar-attorney-international-tax-lawyers-california/,"Sherayzen Law Office is an international tax law firm that specializes in US international tax compliance, including FBARs. While our office is in Minneapolis, ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,sherayzenlaw.com,28,33,1,2357,240,755075,,
legal & tax services,Berkeley,TaxationLaw-HighVolume -- Berkeley.xlsx,2,Tax Services - ASUC Student Legal Clinic,https://www.asucslcberkeley.org/tax-services,The ASUC Student Legal Clinic serves as an IRS Volunteer Income Tax Assistance (VITA) site in order to provide free tax assistance to low-income community ...,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,asucslcberkeley.org,13,19,8,49,28,150,,
legal & tax services,Berkeley,TaxationLaw-HighVolume -- Berkeley.xlsx,3,Berkeley Tax Preparer | Robert Hall & Associates,https://www.roberthalltaxes.com/blog/cpa/berkeley-tax-preparer/,"Robert Hall & Associates is a leading tax preparation firm with over 50 years of experience in Berkeley, California.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,roberthalltaxes.com,33,38,1,3934,640,54825,,
best tax attorney berkeley,Berkeley,TaxationLaw-HighVolume -- Berkeley.xlsx,3,Tax Attorneys | Berkeley Parents Network,https://www.berkeleyparentsnetwork.org/recommend/legal/tax,"We felt very comfortable with and have used Rebecca Walden of Tierney, Walden and Watson several times. She was highly recommended to us by someone we trust and ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,berkeleyparentsnetwork.org,41,46,10,36678,2867,1105385,,
irs attorney near me,Berkeley,TaxationLaw-HighVolume -- Berkeley.xlsx,1,Tax Attorneys | Berkeley Parents Network,https://www.berkeleyparentsnetwork.org/recommend/legal/tax,"Try Kristin Pace at Fitzgerald, Abbott & Beardsley at 1221 Broadway in Oakland. She helped a lot when the IRS wanted so much of my mom's estate.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,berkeleyparentsnetwork.org,41,46,10,36678,2867,1105385,,
irs attorney near me,Berkeley,TaxationLaw-HighVolume -- Berkeley.xlsx,3,"Berkeley Tax Attorney for IRS Audits, Back Taxes, and Tax Liens",https://victorytaxlaw.com/berkeley-tax-attorney/,"Berkeley Tax attorneys specializing in IRS audits, back taxes, tax liens, offers in Compromise, audit defense, and tax relief solutions.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,victorytaxlaw.com,30,37,-1,890,329,890,,
tax attorney berkeley,Berkeley,TaxationLaw-HighVolume -- Berkeley.xlsx,1,Tax Attorneys | Berkeley Parents Network,https://www.berkeleyparentsnetwork.org/recommend/legal/tax,"Try Kristin Pace at Fitzgerald, Abbott & Beardsley at 1221 Broadway in Oakland. She helped a lot when the IRS wanted so much of my mom's estate.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,berkeleyparentsnetwork.org,41,46,10,36678,2867,1105385,,
