keyword,city,source_file,ranking,title,link,snippet,business_name,rating,review_count,official_website,top_3_reviews,profile_updates,attributes,product_listings,domain,domain_authority,page_authority,spam_score,backlinks_count,referring_domains,pages_to_domain,top_backlinks,trust_flow
attorney for bankruptcies near me,Beverly Hills,Bankruptcy-LongTail-- Beverly Hills.xlsx,3,Los Angeles Chapter 7 & 11 Bankruptcy Attorney | Michael Jay Berger,https://www.bankruptcypower.com/profiles/profile/,Los Angeles bankruptcy attorney Michael J Berger is a certified bankruptcy law specialist with over 29 years of bankruptcy law experience.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,bankruptcypower.com,29,33,1,9231,330,125009,,
bk attorney near me,Beverly Hills,Bankruptcy-LongTail-- Beverly Hills.xlsx,3,California Bankruptcy Lawyers | Chapter 11 Business Bankruptcy ...,https://www.bankruptcypower.com/,"Law Offices of Michael Jay Berger is located in Beverly Hills, CA and serves clients in and around Woodland Hills, Wilmington, Harbor City, Carson, Torrance ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,bankruptcypower.com,29,33,1,9231,330,125009,,
bk lawyer near me,Beverly Hills,Bankruptcy-LongTail-- Beverly Hills.xlsx,3,California Bankruptcy Lawyers | Chapter 11 Business Bankruptcy ...,https://www.bankruptcypower.com/,"Law Offices of Michael Jay Berger is located in Beverly Hills, CA and serves clients in and around Woodland Hills, Wilmington, Harbor City, Carson, Torrance ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,bankruptcypower.com,29,33,1,9231,330,125009,,
attorneys for debt settlement,Beverly Hills,Bankruptcy-LongTail-- Beverly Hills.xlsx,1,Beverly Hills Debt Collection Lawyer,https://www.losangelescollector.com/beverly-hills-law-office/,"We recover unpaid debts for businesses and individuals with ethical, effective strategies. Call 310-278-8600.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,losangelescollector.com,22,37,1,2084,298,15570,,
attorneys for debt settlement,Beverly Hills,Bankruptcy-LongTail-- Beverly Hills.xlsx,3,California Credit Card Debt Settlement Attorney | Michael Jay Berger,https://www.bankruptcypower.com/understanding-bankruptcy/credit-card-debt-settlement/,I am a Certified Specialist in Bankruptcy and experienced in representing debtors in negotiations with credit card companies and debt collection agencies.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,bankruptcypower.com,29,33,1,9231,330,125009,,
chapter 7 attorney near me,Beverly Hills,Bankruptcy-LongTail-- Beverly Hills.xlsx,1,Chapter 7 Bankruptcy - Bereliani Law Firm,https://www.berelianilaw.com/chapter-7.html,"For a free initial consultation with a Los Angeles Chapter 7 bankruptcy attorney at the Bereliani Law Firm , call (310) 882-5482 or complete our contact form. We also represent individuals in Riverside, Lancaster, Santa Barbara, and communities throughout Orange County.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,berelianilaw.com,19,30,2,5127,173,5965,,
chapter 7 attorney near me,Beverly Hills,Bankruptcy-LongTail-- Beverly Hills.xlsx,3,Los Angeles Chapter 7 & 11 Bankruptcy Attorney | Michael Jay Berger,https://www.bankruptcypower.com/profiles/profile/,"Law Offices of Michael Jay Berger is located in Beverly Hills, CA and serves clients in and around Woodland Hills, Wilmington, Harbor City, Carson, Torrance, ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,bankruptcypower.com,29,33,1,9231,330,125009,,
ssi attorneys in my area,Beverly Hills,SocialSecurity-LongTail-- Beverly Hills.xlsx,3,BEST of Beverly Hills Ssi Lawyers - Yelp,https://m.yelp.com/search?find_desc=Ssi+Lawyers&find_loc=Beverly+Hills%2C+CA,"Top 10 Best Ssi Lawyers Near Beverly Hills, California ; California Disability Advocates - Los Angeles. 4.9 (79 reviews) ; Devermont & Devermont. 4.5 (48 reviews).",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,m.yelp.com,0,0,0,0,0,0,,
business bankruptcies attorney,Beverly Hills,Bankruptcy-LongTail-- Beverly Hills.xlsx,1,Beverly Hills Bankruptcy Lawyer - Jeffrey S. Shinbrot,https://www.premierbankruptcylawyers.com/expert-directory/jeffrey-s-shinbrot/,"The Shinbrot Firm practices in all federal, bankruptcy and state courts in California and has offices in Beverly Hills and Sherman Oaks, California. Jeffrey represents clients throughout California and he may be reached at (310) 659-5444 or jeffrey@shinbrotfirm.com.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,premierbankruptcylawyers.com,13,23,1,145,63,5449,,
business bankruptcies attorney,Beverly Hills,Bankruptcy-LongTail-- Beverly Hills.xlsx,2,California Bankruptcy Lawyers | Chapter 11 Business Bankruptcy ...,https://www.bankruptcypower.com/,"At the Law Offices of Michael Jay Berger, I represent debtors and creditors in bankruptcy proceedings throughout California.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,bankruptcypower.com,29,33,1,9231,330,125009,,
attorney for credit card debt,Beverly Hills,Bankruptcy-LongTail-- Beverly Hills.xlsx,1,California Credit Card Debt Settlement Attorney | Michael Jay Berger,https://www.bankruptcypower.com/understanding-bankruptcy/credit-card-debt-settlement/,I am a Certified Specialist in Bankruptcy and experienced in representing debtors in negotiations with credit card companies and debt collection agencies.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,bankruptcypower.com,29,33,1,9231,330,125009,,
attorney for credit card debt,Beverly Hills,Bankruptcy-LongTail-- Beverly Hills.xlsx,2,Los Angeles Real Estate Attorney | Beverly Hills Debt Collections ...,https://www.rslateslaw.com/firm-overview/,"Learn about the debt collection, real estate and business firm of The Law Offices of Ronald P. Slates, P.C. 866-904-6965 in Los Angeles, California.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,rslateslaw.com,19,28,2,2733,170,15196,,
attorney for credit card debt,Beverly Hills,Bankruptcy-LongTail-- Beverly Hills.xlsx,3,Beverly Hills Lawyers and Associates also Assists in Debt Settlement.,https://www.bh-la.com/debt_settlement.php,Beverly Hills Lawyers and Associates will negotiate and reduce the outstanding debt by 50-75% of the amount you owe and the creditor forgives the remaining debt ...,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,bh-la.com,9,26,11,186,59,663,,
lawyers near me bankruptcies,Beverly Hills,Bankruptcy-LongTail-- Beverly Hills.xlsx,3,California Bankruptcy Lawyers | Chapter 11 Business Bankruptcy ...,https://www.bankruptcypower.com/,"Law Offices of Michael Jay Berger is located in Beverly Hills, CA and serves clients in and around Woodland Hills, Wilmington, Harbor City, Carson, Torrance ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,bankruptcypower.com,29,33,1,9231,330,125009,,
debt settlement attorney near me,Beverly Hills,Bankruptcy-LongTail-- Beverly Hills.xlsx,2,California Credit Card Debt Settlement Attorney | Michael Jay Berger,https://www.bankruptcypower.com/understanding-bankruptcy/credit-card-debt-settlement/,I am a Certified Specialist in Bankruptcy and experienced in representing debtors in negotiations with credit card companies and debt collection agencies.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,bankruptcypower.com,29,33,1,9231,330,125009,,
lawyers for bankruptcies near me,Beverly Hills,Bankruptcy-LongTail-- Beverly Hills.xlsx,3,#1 Beverly Hills Business Bankruptcy Attorneys - Consult Now,https://flpllp.com/beverly-hills-bankruptcy-attorneys/,"FLP Law Group LLP - Trusted Business Bankruptcy Lawyers in Beverly Hills, CA. Call 310.284.7350 for expert legal assistance.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,flpllp.com,18,29,4,478,112,5533,,
chapter 7 lawyers near me,Beverly Hills,Bankruptcy-LongTail-- Beverly Hills.xlsx,3,Los Angeles Chapter 7 & 11 Bankruptcy Attorney | Michael Jay Berger,https://www.bankruptcypower.com/profiles/profile/,"Law Offices of Michael Jay Berger is located in Beverly Hills, CA and serves clients in and around Woodland Hills, Wilmington, Harbor City, Carson, Torrance, ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,bankruptcypower.com,29,33,1,9231,330,125009,,
lawyer for credit card debt,Beverly Hills,Bankruptcy-LongTail-- Beverly Hills.xlsx,1,California Credit Card Debt Settlement Attorney | Michael Jay Berger,https://www.bankruptcypower.com/understanding-bankruptcy/credit-card-debt-settlement/,I am a Certified Specialist in Bankruptcy and experienced in representing debtors in negotiations with credit card companies and debt collection agencies.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,bankruptcypower.com,29,33,1,9231,330,125009,,
lawyer for credit card debt,Beverly Hills,Bankruptcy-LongTail-- Beverly Hills.xlsx,2,Los Angeles Credit Card Debt Lawyer,https://www.wslaw.com/los-angeles-credit-card-debt-attorneys/,Missing: Beverly Hills,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,wslaw.com,27,33,1,8112,360,87283,,
