keyword,city,source_file,ranking,title,link,snippet,business_name,rating,review_count,official_website,top_3_reviews,profile_updates,attributes,product_listings,domain,domain_authority,page_authority,spam_score,backlinks_count,referring_domains,pages_to_domain,top_backlinks,trust_flow
child support custody,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,1,Child Support - Virginia Department of Social Services,https://www.dss.virginia.gov/family/dcse/,"DCSE has a new mailing address for payments and correspondence! For payments: Treasurer of Virginia, PO Box 28990, Richmond, VA 23228-8990",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,dss.virginia.gov,0,0,0,0,0,0,,
child support custody,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,2,Child Support,https://mychildsupport.dss.virginia.gov/,Either parent or a legal guardian can apply for child support services. Apply now to receive/pay child support or request low-cost paternity testing.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,mychildsupport.dss.virginia.gov,0,0,0,0,0,0,,
child support custody,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,3,"Custody, Visitation & Support | Virginia Judicial System Court Self ...",https://selfhelp.vacourts.gov/node/13/custody-visitation-support,"This page includes information about child custody, child visitation and child support issues in Virginia.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,selfhelp.vacourts.gov,0,0,0,0,0,0,,
family law pro bono lawyers near me,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,1,Legal Aid Society of Eastern Virginia- Norfolk Office | VaLegalAid.org,https://www.valegalaid.org/organization/legal-aid-society-of-eastern-virginia-norfolk,Legal Aid Society of Eastern Virginia- Norfolk Office. General Contact Information. www.laseva.org. Phone: 757-627-5423; Toll Free: 888-868-1072 ...,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,valegalaid.org,43,41,-1,12230,1904,721356,,
family law pro bono lawyers near me,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,2,Pro Bono Resource Center - The Virginia Bar Association,https://www.vba.org/page/pro_bono_resources,"LSNV partners with pro bono volunteer attorneys and paralegals from the private bar to provide free legal services in civil legal areas including family law, ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,vba.org,45,40,1,26770,1497,84247,,
family law pro bono lawyers near me,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,3,[PDF] Free and Low Cost Legal Resources in Virginia,https://vsb.org/common/Uploaded%20files/docs/pub-alsc-brochure.pdf,"Church Hill provides pro bono services to financially-limited persons who meet office eligibility guidelines. For a modest fee, which the firm donates to.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,vsb.org,51,50,4,567202,7744,2078561,,
amicable divorce,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,1,Do it Yourself Divorce - - Norfolk Circuit Court,https://www.norfolkcircuitcourt.us/do-it-yourself-divorce/,An innovative technology-based solution to help self-represented (pro se) litigants file for simple uncontested no fault divorces in Virginia.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,norfolkcircuitcourt.us,29,40,1,3852,707,11521,,
amicable divorce,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,2,Divorce Procedures - - the Norfolk Circuit Court Clerk's Office,https://www.norfolkcircuitcourt.us/civil/divorce-procedures/,The two most common situations or grounds for no-fault divorces are a six-month separation or a one-year separation. You are eligible for a six-month divorce ...,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,norfolkcircuitcourt.us,29,40,1,3852,707,11521,,
amicable divorce,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,3,Uncontested Divorce Lawyers in Norfolk VA,https://www.hardingattorneys.com/norfolk-divorce/norfolk-uncontested-divorce/,"We provide a full range of family law services to Hampton Roads residents, including the option of an uncontested divorce.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,hardingattorneys.com,20,30,2,933,160,30396,,
collaborative divorce attorney,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,1,Collaborative Divorce Attorneys Norfolk - MRT Law,https://mrt.law/divorce-lawyers-virginia-beach/collaborative-divorce/,Mahoney Richmond attorney Andrew T. Richmond is educated and licensed to help clients through the collaborative divorce process. Mahoney Richmond's team of ...,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,mrt.law,22,32,1,21018,394,24114,,
collaborative divorce attorney,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,2,Collaborative Divorce | K Page Kistler Law,https://www.kpagekistler.com/collaborative-divorce,"Collaborative Divorce lawyer handling cases in Virginia Beach and throughout the Hampton Roads area ... We serve clients in Virginia Beach, Norfolk ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,kpagekistler.com,26,29,1,2378,151,2604,,
collaborative divorce attorney,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,3,"BBB Accredited Collaborative Divorce Attorneys near Norfolk, VA ...",https://www.bbb.org/us/va/norfolk/category/collaborative-divorce-attorney/accredited,"Showing: 13 results for Collaborative Divorce Attorneys near Norfolk, VA ; Mary G. Commander, Attorney at Law & Certified Mediator. Mediation Attorneys, Family ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,bbb.org,91,71,11,568413729,359773,691293896,,
complex divorce lawyer,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,1,"Divorce Lawyer in Norfolk | Free Consultations - Melone Hatley, P.C.",https://www.melonelawpc.com/norfolk-va/family-lawyer/divorce/,"To request a consultation, please call our law office at 800-479-8124 or complete the online contact form to speak with the Melone Hatley, P.C. team about your ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,melonelawpc.com,30,34,1,6231,434,24420,,
complex divorce lawyer,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,2,"Divorce Attorney Serving Norfolk, VA - Thomas, Adams & Associates",https://www.talawgroup.com/practice-areas/divorce-family-law/,Our experienced and compassionate team of attorneys can guide you through the legal proceedings of divorce law with expertise and understanding.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,talawgroup.com,19,33,54,828,398,886,,
divorce out of court,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,1,Divorce Procedures - - the Norfolk Circuit Court Clerk's Office,https://www.norfolkcircuitcourt.us/civil/divorce-procedures/,1. Submit an original and one copy of your typed Complaint. A VS-4 Form shall be submitted at the time of the entry of the Final Decree of Divorce and NOT at ...,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,norfolkcircuitcourt.us,29,40,1,3852,707,11521,,
divorce out of court,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,2,Do it Yourself Divorce - - Norfolk Circuit Court,https://www.norfolkcircuitcourt.us/do-it-yourself-divorce/,An innovative technology-based solution to help self-represented (pro se) litigants file for simple uncontested no fault divorces in Virginia.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,norfolkcircuitcourt.us,29,40,1,3852,707,11521,,
divorce out of court,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,3,"Courts | City of Norfolk, Virginia - Official Website",https://www.norfolk.gov/1579/Courts,"The circuit court also handles family matters, including divorce. In addition, the circuit court hears cases appealed from the general district court and ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,norfolk.gov,60,51,-1,945921,10630,1153767,,
best divorce attorneys near me,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,3,"Divorce Attorney Serving Norfolk, VA - Thomas, Adams & Associates",https://www.talawgroup.com/practice-areas/divorce-family-law/,Our experienced and compassionate team of attorneys can guide you through the legal proceedings of divorce law with expertise and understanding.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,talawgroup.com,19,33,54,828,398,886,,
family lawyer in norfolk,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,2,"Morris Williams LLC | Family Law Attorneys | Norfolk, VA",https://www.morriswilliamslaw.com/,Contested divorce. Military divorce. Child custody. Third-party visitation. Veteran- and female-owned. Call for a consultation for family law services.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,morriswilliamslaw.com,14,24,1,239,49,1981,,
family lawyer in norfolk,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,3,Norfolk Family Lawyers - Virginia Beach Divorce Attorneys,https://www.hardingattorneys.com/norfolk-family-law/,"Harding, Harding & Harding Attorneys at Law in Norfolk represents Virginia residents in divorces and other family law matters.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,hardingattorneys.com,20,30,2,933,160,30396,,
child support attorney near me,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,2,"Norfolk Child Support Modifications Lawyer - Melone Hatley, P.C.",https://www.melonelawpc.com/norfolk-va/family-lawyer/child-support/modifications/,Our Norfolk child support modifications lawyer can review your circumstances and advocate for you and your child's best interests in court.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,melonelawpc.com,30,34,1,6231,434,24420,,
child support lawyers near me,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,3,"Norfolk Child Support Modifications Lawyer - Melone Hatley, P.C.",https://www.melonelawpc.com/norfolk-va/family-lawyer/child-support/modifications/,Our Norfolk child support modifications lawyer can review your circumstances and advocate for you and your child's best interests in court.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,melonelawpc.com,30,34,1,6231,434,24420,,
amicable divorce attorney,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,1,Norfolk County Divorce Lawyer | Lynch & Owens,https://www.lynchowens.com/norfolk-county-family-law/divorce/,Looking for a divorce lawyer in Norfolk County? Choose Lynch & Owens for trusted legal support and over 120 years of combined experience.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,lynchowens.com,42,38,1,10626,1135,84776,,
amicable divorce attorney,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,2,Uncontested Divorce Attorneys in Norfolk - Montagna Law,https://www.montagnalaw.com/service-areas/norfolk-uncontested-divorce-attorney/,An experienced Norfolk law office that is fully equipped to help you work through your issues in either an uncontested or contested Virginia divorce.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,montagnalaw.com,30,35,1,5637,605,23749,,
amicable divorce attorney,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,3,"Divorce Lawyer in Norfolk | Free Consultations - Melone Hatley, P.C.",https://www.melonelawpc.com/norfolk-va/family-lawyer/divorce/,"To request a consultation, please call our law office at 800-479-8124 or complete the online contact form to speak with the Melone Hatley, P.C. team about your ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,melonelawpc.com,30,34,1,6231,434,24420,,
affordable family law attorney near me,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,1,Norfolk Family Lawyers - Virginia Beach Divorce Attorneys,https://www.hardingattorneys.com/norfolk-family-law/,"Harding, Harding & Harding Attorneys at Law in Norfolk represents Virginia residents in divorces and other family law matters.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,hardingattorneys.com,20,30,2,933,160,30396,,
affordable family law attorney near me,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,3,Garrett Law Group PLC | Norfolk Divorce & Family Law Attorney,https://divorce.garrettlawgroup.com/,"Norfolk divorce, child custody and family law attorney. Free consultations. Call anytime, nights & weekends. (757) 422-4646.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,divorce.garrettlawgroup.com,0,0,0,0,0,0,,
divorce and family law attorney near me,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,1,"Divorce Lawyer in Norfolk | Free Consultations - Melone Hatley, P.C.",https://www.melonelawpc.com/norfolk-va/family-lawyer/divorce/,"Top-rated family lawyers providing guidance and protecting your rights during difficult times, serving Norfolk.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,melonelawpc.com,30,34,1,6231,434,24420,,
divorce and family law attorney near me,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,2,Garrett Law Group PLC | Norfolk Divorce & Family Law Attorney,https://divorce.garrettlawgroup.com/,"Norfolk divorce, child custody and family law attorney. Free consultations. Call anytime, nights & weekends. (757) 422-4646.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,divorce.garrettlawgroup.com,0,0,0,0,0,0,,
divorce and family law attorney near me,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,3,"Morris Williams LLC | Family Law Attorneys | Norfolk, VA",https://www.morriswilliamslaw.com/,Contested divorce. Military divorce. Child custody. Third-party visitation. Veteran- and female-owned. Call for a consultation for family law services.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,morriswilliamslaw.com,14,24,1,239,49,1981,,
child custody attorney near me,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,1,"Norfolk Child Custody Lawyer - Melone Hatley, P.C.",https://www.melonelawpc.com/norfolk-va/family-lawyer/custody/,Norfolk Child Custody Lawyer: Protecting parental rights with expertise. Your child's well-being is our top priority. Call Melone Hatley P.C. today!,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,melonelawpc.com,30,34,1,6231,434,24420,,
child custody attorney near me,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,2,Norfolk Child Custody - Virginia Beach Divorce Attorneys,https://www.hardingattorneys.com/norfolk-child-custody/,"At Harding, Harding & Harding Attorneys at Law, we provide a full range of family law services to area residents from our Norfolk office.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,hardingattorneys.com,20,30,2,933,160,30396,,
child custody attorney near me,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,3,"Morris Williams LLC | Family Law Attorneys | Norfolk, VA",https://www.morriswilliamslaw.com/,Contested divorce. Military divorce. Child custody. Third-party visitation. Veteran- and female-owned. Call for a consultation for family law services.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,morriswilliamslaw.com,14,24,1,239,49,1981,,
best family law attorney near me,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,3,"Morris Williams LLC | Family Law Attorneys | Norfolk, VA",https://www.morriswilliamslaw.com/,Contested divorce. Military divorce. Child custody. Third-party visitation. Veteran- and female-owned. Call for a consultation for family law services.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,morriswilliamslaw.com,14,24,1,239,49,1981,,
family law attorney close to me,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,2,"Morris Williams LLC | Family Law Attorneys | Norfolk, VA",https://www.morriswilliamslaw.com/,Contested divorce. Military divorce. Child custody. Third-party visitation. Veteran- and female-owned. Call for a consultation for family law services.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,morriswilliamslaw.com,14,24,1,239,49,1981,,
family law attorney close to me,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,3,Garrett Law Group PLC | Norfolk Divorce & Family Law Attorney,https://divorce.garrettlawgroup.com/,"Norfolk divorce, child custody and family law attorney. Free consultations. Call anytime, nights & weekends. (757) 422-4646.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,divorce.garrettlawgroup.com,0,0,0,0,0,0,,
divorce attorney in norfolk,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,1,Norfolk Divorce Attorneys | Hampton Roads Dissolution of Marriage ...,https://www.hardingattorneys.com/norfolk-divorce/,"A divorce lawyer in Norfolk with compassion and a reputation for success. Contact Darrell M. Harding Attorney At Law, PLC online or by phone today to schedule a ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,hardingattorneys.com,20,30,2,933,160,30396,,
divorce attorney in norfolk,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,3,"Norfolk Divorce Lawyer | Military Divorce | Goldblatt, Cohen ...",https://www.goldblattcohenlegum.com/,"For compassionate representation from experienced Norfolk divorce and personal injury lawyers, call Goldblatt, Cohen & Legum, P.C., at 757-627-6225.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,goldblattcohenlegum.com,20,28,1,1335,101,27957,,
divorce attorney norfolk,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,1,Norfolk Divorce Attorneys | Hampton Roads Dissolution of Marriage ...,https://www.hardingattorneys.com/norfolk-divorce/,"A divorce lawyer in Norfolk with compassion and a reputation for success. Contact Darrell M. Harding Attorney At Law, PLC online or by phone today to schedule a ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,hardingattorneys.com,20,30,2,933,160,30396,,
divorce attorney norfolk,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,2,"Norfolk Divorce Lawyer | Military Divorce | Goldblatt, Cohen ...",https://www.goldblattcohenlegum.com/,"For compassionate representation from experienced Norfolk divorce and personal injury lawyers, call Goldblatt, Cohen & Legum, P.C., at 757-627-6225.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,goldblattcohenlegum.com,20,28,1,1335,101,27957,,
best divorce lawyers near me,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,3,"Divorce Lawyer in Norfolk | Free Consultations - Melone Hatley, P.C.",https://www.melonelawpc.com/norfolk-va/family-lawyer/divorce/,"Top-rated family lawyers providing guidance and protecting your rights during difficult times, serving Norfolk.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,melonelawpc.com,30,34,1,6231,434,24420,,
family law attorney norfolk,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,1,"Morris Williams LLC | Family Law Attorneys | Norfolk, VA",https://www.morriswilliamslaw.com/,Contested divorce. Military divorce. Child custody. Third-party visitation. Veteran- and female-owned. Call for a consultation for family law services.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,morriswilliamslaw.com,14,24,1,239,49,1981,,
family law attorney norfolk,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,3,Norfolk Family Lawyers - Virginia Beach Divorce Attorneys,https://www.hardingattorneys.com/norfolk-family-law/,"Harding, Harding & Harding Attorneys at Law in Norfolk represents Virginia residents in divorces and other family law matters.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,hardingattorneys.com,20,30,2,933,160,30396,,
pro bono family law attorneys near me,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,1,Pro Bono Resource Center - The Virginia Bar Association,https://www.vba.org/page/pro_bono_resources,"LSNV partners with pro bono volunteer attorneys and paralegals from the private bar to provide free legal services in civil legal areas including family law, ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,vba.org,45,40,1,26770,1497,84247,,
pro bono family law attorneys near me,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,2,Legal Aid Society of Eastern Virginia- Norfolk Office | VaLegalAid.org,https://www.valegalaid.org/organization/legal-aid-society-of-eastern-virginia-norfolk,Legal Aid Society of Eastern Virginia- Norfolk Office. General Contact Information. www.laseva.org. Phone: 757-627-5423; Toll Free: 888-868-1072 ...,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,valegalaid.org,43,41,-1,12230,1904,721356,,
pro bono family law attorneys near me,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,3,[PDF] Free and Low Cost Legal Resources in Virginia,https://vsb.org/common/Uploaded%20files/docs/pub-alsc-brochure.pdf,"Church Hill provides pro bono services to financially-limited persons who meet office eligibility guidelines. For a modest fee, which the firm donates to.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,vsb.org,51,50,4,567202,7744,2078561,,
legal custody lawyer,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,1,"Norfolk Child Custody Lawyer - Melone Hatley, P.C.",https://www.melonelawpc.com/norfolk-va/family-lawyer/custody/,Norfolk Child Custody Lawyer: Protecting parental rights with expertise. Your child's well-being is our top priority. Call Melone Hatley P.C. today!,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,melonelawpc.com,30,34,1,6231,434,24420,,
legal custody lawyer,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,3,"Morris Williams LLC | Family Law Attorneys | Norfolk, VA",https://www.morriswilliamslaw.com/,Contested divorce. Military divorce. Child custody. Third-party visitation. Veteran- and female-owned. Call for a consultation for family law services.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,morriswilliamslaw.com,14,24,1,239,49,1981,,
lawyers for guardianship near me,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,1,"Legal Guardianship - Norfolk Family Lawyers John W. Lee, PC",https://hamptonroadslawfirm.com/york-county-va-guardianship-attorneys/,"""Legal Guardianship by John W. Lee,PC Law Attorneys Estate Administration specialists. Offices to serve Hampton Roads with estate planning and guardianship.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,hamptonroadslawfirm.com,34,40,3,10934,650,38710,,
lawyers for guardianship near me,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,3,"Norfolk Child Custody Lawyer - Melone Hatley, P.C.",https://www.melonelawpc.com/norfolk-va/family-lawyer/custody/,Norfolk Child Custody Lawyer: Protecting parental rights with expertise. Your child's well-being is our top priority. Call Melone Hatley P.C. today!,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,melonelawpc.com,30,34,1,6231,434,24420,,
spousal support lawyer near me,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,1,Norfolk & Chesapeake VA Alimony Lawyers,https://www.hardingattorneys.com/family-law/divorce/spousal-support/,"Contact Harding, Harding & Harding Attorneys at Law online or at 757-499-2600 today to schedule a free consultation regarding your spousal support case.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,hardingattorneys.com,20,30,2,933,160,30396,,
spousal support lawyer near me,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,2,"Virginia Spousal Support Lawyer - Melone Hatley, P.C.",https://www.melonelawpc.com/virginia/family-lawyer/divorce/spousal-support/,Negotiate a fair and equitable arrangement with the help of our compassionate Virginia divorce lawyers. We will guide you every step of the way.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,melonelawpc.com,30,34,1,6231,434,24420,,
spousal support lawyer near me,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,3,Norfolk Spousal Support Attorneys - Montagna Law,https://www.montagnalaw.com/service-areas/norfolk-spousal-support-attorneys/,The attorneys at Montagna Law are experienced in family law including spousal support. Contact us today to schedule your consultation.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,montagnalaw.com,30,35,1,5637,605,23749,,
parental rights attorney near me,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,1,"Norfolk Family Law Attorney | Ewalt Law Office, P.C., L.L.O.",https://www.ewaltlawoffice.com/practice-areas/family-law/,Helping Individuals And Families For More Than 16 Years. Challenges such as divorces or custody disputes are not easy to go through on your own.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,ewaltlawoffice.com,14,26,2,1311,67,10703,,
parental rights attorney near me,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,2,Family Law Attorneys - Norfolk - Copple Rockey,https://greatadvocates.com/practice-areas/family-law-attorneys/,Our Attorneys Help with Your Family's Legal Issues · Divorce · Legal separation · Spousal maintenance · Child custody · Child support · Parenting plans and visitation ...,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,greatadvocates.com,25,32,1,6259,222,26932,,
prenuptial agreement attorney near me,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,2,"Family Lawyer in Norfolk | Free Case Review - Melone Hatley, P.C.",https://www.melonelawpc.com/norfolk-va/family-lawyer/,Our experienced team serving Norfolk is made up of the following legal professionals: Prenuptial agreement lawyers; Divorce lawyers; Divorce modification ...,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,melonelawpc.com,30,34,1,6231,434,24420,,
prenuptial agreement attorney near me,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,3,"Morris Williams LLC | Family Law Attorneys | Norfolk, VA",https://www.morriswilliamslaw.com/,"Prenuptial, Post Nuptial and Separation Agreement. Court action doesn't have to be the method to address your legal matters. We can help you take control by ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,morriswilliamslaw.com,14,24,1,239,49,1981,,
durable financial power of attorney,Norfolk,EstatePlanning-LongTail -- Norfolk.xlsx,1,Virginia Financial Power of Attorney Lawyer | General Durable POA,https://www.pzlaw.com/chesapeake/financial-power-of-attorney/,A General Durable Power of Attorney is the most powerful power of attorney as it gives your agent the ability to do virtually anything that you can do ...,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,pzlaw.com,32,33,1,8942,480,43706,,
durable financial power of attorney,Norfolk,EstatePlanning-LongTail -- Norfolk.xlsx,3,[PDF] Power of Attorney - Virginia Legal Aid,https://www.valegalaid.org/resource/power-of-attorney/download/B15F1EA8-A03C-1EB7-A9A1-6C06DD5D1521,What is a durable power of attorney? A durable power of attorney will remain in effect if you later become mentally incapacitated. Virginia law requires ...,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,valegalaid.org,43,41,-1,12230,1904,721356,,
spousal support attorneys,Norfolk,FamilyLaw-LongTail -- Norfolk.xlsx,1,Norfolk Spousal Support Attorneys - Montagna Law,https://www.montagnalaw.com/service-areas/norfolk-spousal-support-attorneys/,The attorneys at Montagna Law are experienced in family law including spousal support. Contact us today to schedule your consultation.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,montagnalaw.com,30,35,1,5637,605,23749,,
