keyword,city,source_file,ranking,title,link,snippet,business_name,rating,review_count,official_website,top_3_reviews,profile_updates,attributes,product_listings,domain,domain_authority,page_authority,spam_score,backlinks_count,referring_domains,pages_to_domain,top_backlinks,trust_flow
dwi attorney near me,Stamford,DUI-HighVolume-- Stamford.xlsx,3,Stamford DUI Lawyer | Fairfield County Drunk Driving Defense ...,https://www.allanffriedmanlaw.com/stamford-dui-lawyer.html,Free Consultation - Call (203) 357-5555 - Allan F. Friedman aggressively represents the accused against charges in Drunk Driving Defense & DUI cases.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,allanffriedmanlaw.com,29,32,1,4786,377,14332,,
ovi lawyers near me,Stamford,DUI-HighVolume-- Stamford.xlsx,2,Stamford Criminal Defense Lawyer | Connecticut DUI Defense ...,https://www.dpweinerlaw.com/,"Stamford criminal defense attorney Daniel P. Weiner defends adults and juveniles from drug, DUI and all criminal charges. 203-348-5846. Free consultation.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,dpweinerlaw.com,19,32,1,1191,251,4569570,,
ovi lawyers near me,Stamford,DUI-HighVolume-- Stamford.xlsx,3,Stamford DUI Lawyer | Fairfield County Drunk Driving Defense ...,https://www.allanffriedmanlaw.com/stamford-dui-lawyer.html,Free Consultation - Call (203) 357-5555 - Allan F. Friedman aggressively represents the accused against charges in Drunk Driving Defense & DUI cases.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,allanffriedmanlaw.com,29,32,1,4786,377,14332,,
dui attorney near me,Stamford,DUI-HighVolume-- Stamford.xlsx,2,Stamford DUI Lawyer | Fairfield County Drunk Driving Defense ...,https://www.allanffriedmanlaw.com/stamford-dui-lawyer.html,Free Consultation - Call (203) 357-5555 - Allan F. Friedman aggressively represents the accused against charges in Drunk Driving Defense & DUI cases.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,allanffriedmanlaw.com,29,32,1,4786,377,14332,,
dui lawyer near me,Stamford,DUI-HighVolume-- Stamford.xlsx,2,Stamford DUI Lawyer | Fairfield County Drunk Driving Defense ...,https://www.allanffriedmanlaw.com/stamford-dui-lawyer.html,Free Consultation - Call (203) 357-5555 - Allan F. Friedman aggressively represents the accused against charges in Drunk Driving Defense & DUI cases.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,allanffriedmanlaw.com,29,32,1,4786,377,14332,,
dui lawyer near me,Stamford,DUI-HighVolume-- Stamford.xlsx,3,Stamford Criminal Defense Lawyer | Connecticut DUI Defense ...,https://www.dpweinerlaw.com/,"We handle all aspects of a drunk driving arrest, including repeat DUI or underage DUI. We can contest any criminal charges and represent you in license ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,dpweinerlaw.com,19,32,1,1191,251,4569570,,
dwi lawyer,Stamford,DUI-HighVolume-- Stamford.xlsx,2,Stamford DUI Attorney | The Sills Law Firm,https://www.ctcriminallawattorney.com/stamford/stamford-dui/,Don't let a DUI charge become a conviction on your criminal record. Contact The Sills Law Firm at (866) 971-3918 to learn how our Stamford DUI attorneys can ...,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,ctcriminallawattorney.com,24,35,1,4299,390,4349,,
dwi lawyer,Stamford,DUI-HighVolume-- Stamford.xlsx,3,Stamford DUI Lawyer | Fairfield County Drunk Driving Defense ...,https://www.allanffriedmanlaw.com/stamford-dui-lawyer.html,Free Consultation - Call (203) 357-5555 - Allan F. Friedman aggressively represents the accused against charges in Drunk Driving Defense & DUI cases.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,allanffriedmanlaw.com,29,32,1,4786,377,14332,,
dui lawyer,Stamford,DUI-HighVolume-- Stamford.xlsx,2,Stamford DUI Lawyer | Fairfield County Drunk Driving Defense ...,https://www.allanffriedmanlaw.com/stamford-dui-lawyer.html,Free Consultation - Call (203) 357-5555 - Allan F. Friedman aggressively represents the accused against charges in Drunk Driving Defense & DUI cases.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,allanffriedmanlaw.com,29,32,1,4786,377,14332,,
dui lawyer,Stamford,DUI-HighVolume-- Stamford.xlsx,3,Stamford Criminal Defense Lawyer | Connecticut DUI Defense ...,https://www.dpweinerlaw.com/,"We handle all aspects of a drunk driving arrest, including repeat DUI or underage DUI. We can contest any criminal charges and represent you in license ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,dpweinerlaw.com,19,32,1,1191,251,4569570,,
