keyword,city,source_file,ranking,title,link,snippet,business_name,rating,review_count,official_website,top_3_reviews,profile_updates,attributes,product_listings,domain,domain_authority,page_authority,spam_score,backlinks_count,referring_domains,pages_to_domain,top_backlinks,trust_flow
breach of contract attorney calabasas,Calabasas,business law Long tail -- Calabasas.xlsx,3,Reliable Breach of Contract and Business Litigation Law Firm,https://www.svhlaw.com/business-planning-and-litigation/breach-of-contract/,"The breach of contract attorneys at Swingle, Van Egmond & Heitlinger in Modesto, California have years of experience in resolving contractual disputes.",,,,,,,,,svhlaw.com,16,22,1,264,60,10368,,
breach of contract attorney near me,Calabasas,business law Long tail -- Calabasas.xlsx,1,"TOP 10 BEST Contract Attorney near Calabasas, CA - Yelp",https://m.yelp.com/search?find_desc=Contract+Attorney&find_loc=Calabasas%2C+CA,"Best Contract Attorney near Calabasas, CA",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,m.yelp.com,0,0,0,0,0,0,,
breach of contract attorney near me,Calabasas,business law Long tail -- Calabasas.xlsx,3,Calabasas CA Contract Lawyers Near You | Contract Attorneys,https://www.legalmatch.com/find/contract-lawyers/ca/calabasas.html,"Find the right Contract lawyer in Calabasas, CA. Simply describe your case and you'll be matched to the top Calabasas Contract attorneys near you.",,,,,,,,,legalmatch.com,61,55,1,441369,20581,85621658,,
breach of contract lawyer calabasas,Calabasas,business law Long tail -- Calabasas.xlsx,3,Business Litigation Lawyers Near Calabasas | Novian & Novian LLP,https://www.novianlaw.com/practice-areas/business-litigation-dispute-resolution/business-litigation-lawyers-calabasas/,Dealing with a breach of contract? Our team will diligently help you eliminate or reduce your liability and defend your position.,,,,,,,,,novianlaw.com,25,33,-1,512,260,512,,
breach of contract lawyers near me,Calabasas,business law Long tail -- Calabasas.xlsx,3,"TOP 10 BEST Contract Attorney near Calabasas, CA - Yelp",https://m.yelp.com/search?find_desc=Contract+Attorney&find_loc=Calabasas%2C+CA,"Best Contract Attorney near Calabasas, CA ; Frish Law Group APLC | Personal Injury Attorney SF Valley · (161 reviews). Personal Injury Law · Business Law · Tenant ...",,,,,,,,,m.yelp.com,0,0,0,0,0,0,,
business acquisition lawyer near me,Calabasas,business law Long tail -- Calabasas.xlsx,3,"Miller Haga Law Group, LLP",https://millerhaga.com/,"Ken represents Miller Haga's clients in numerous business transactions, including acquisitions and divestitures, joint ventures, financing, venture start-ups, ...",,,,,,,,,millerhaga.com,8,22,17,103,39,157,,
business dispute attorney near me,Calabasas,business law Long tail -- Calabasas.xlsx,2,Business Litigation Lawyers Near Calabasas | Novian & Novian LLP,https://www.novianlaw.com/practice-areas/business-litigation-dispute-resolution/business-litigation-lawyers-calabasas/,Looking for established Business Litigation Lawyers in Calabasas? Our highly skilled team can assist you with a wide variety of issues.,,,,,,,,,novianlaw.com,25,33,-1,512,260,512,,
business litigation attorney near me,Calabasas,business law Long tail -- Calabasas.xlsx,2,Business Litigation Lawyers Near Calabasas | Novian & Novian LLP,https://www.novianlaw.com/practice-areas/business-litigation-dispute-resolution/business-litigation-lawyers-calabasas/,Looking for established Business Litigation Lawyers in Calabasas? Our highly skilled team can assist you with a wide variety of issues.,,,,,,,,,novianlaw.com,25,33,-1,512,260,512,,
business litigation attorney calabasas,Calabasas,business law Long tail -- Calabasas.xlsx,3,Business Litigation Lawyers Near Calabasas | Novian & Novian LLP,https://www.novianlaw.com/practice-areas/business-litigation-dispute-resolution/business-litigation-lawyers-calabasas/,Looking for established Business Litigation Lawyers in Calabasas? Our highly skilled team can assist you with a wide variety of issues.,,,,,,,,,novianlaw.com,25,33,-1,512,260,512,,
business litigation lawyer near me,Calabasas,business law Long tail -- Calabasas.xlsx,2,Business Litigation Lawyers Near Calabasas | Novian & Novian LLP,https://www.novianlaw.com/practice-areas/business-litigation-dispute-resolution/business-litigation-lawyers-calabasas/,Looking for established Business Litigation Lawyers in Calabasas? Our highly skilled team can assist you with a wide variety of issues.,,,,,,,,,novianlaw.com,25,33,-1,512,260,512,,
calabasas breach of contract attorney,Calabasas,business law Long tail -- Calabasas.xlsx,3,Calabasas Business Lawyers | Real Estate Attorneys,https://carlsoncohen.net/calabasas-businessattorney.html,"For more than 27 years, we have represented clients in contract negotiations ... breaches, lease option disputes, unlawful detainers, and nuisance claims.",,,,,,,,,carlsoncohen.net,13,23,3,1022,63,1771,,
commercial litigation attorney in calabasas,Calabasas,business law Long tail -- Calabasas.xlsx,2,Business Litigation Lawyers Near Calabasas | Novian & Novian LLP,https://www.novianlaw.com/practice-areas/business-litigation-dispute-resolution/business-litigation-lawyers-calabasas/,Looking for established Business Litigation Lawyers in Calabasas? Our highly skilled team can assist you with a wide variety of issues.,,,,,,,,,novianlaw.com,25,33,-1,512,260,512,,
commercial litigation attorney in calabasas,Calabasas,business law Long tail -- Calabasas.xlsx,3,Calabasas Business Lawyers | Real Estate Attorneys,https://carlsoncohen.net/calabasas-businessattorney.html,"Contact Carlson & Cohen by calling (818) 905-5600 and scheduling a consultation with our experienced Calabasas estate planning attorney, business lawyer, or ...",,,,,,,,,carlsoncohen.net,13,23,3,1022,63,1771,,
commercial litigation attorney near me,Calabasas,business law Long tail -- Calabasas.xlsx,2,Business Litigation Lawyers Near Calabasas | Novian & Novian LLP,https://www.novianlaw.com/practice-areas/business-litigation-dispute-resolution/business-litigation-lawyers-calabasas/,Looking for established Business Litigation Lawyers in Calabasas? Our highly skilled team can assist you with a wide variety of issues.,,,,,,,,,novianlaw.com,25,33,-1,512,260,512,,
commercial litigation attorney near me,Calabasas,business law Long tail -- Calabasas.xlsx,3,Alvarez Law Firm - Southern California Attorney,https://www.alvarezfirm.com/,"The firm's attorneys have decades of experience delivering practical guidance in business law ... Offices. CALABASAS 24005 Ventura Boulevard Calabasas, CA 91302",,,,,,,,,alvarezfirm.com,15,32,12,1105,190,10507,,
affordable tax attorney near me,Calabasas,TaxationLaw-LongTail-- Calabasas.xlsx,2,"TOP 10 BEST Tax Law near Calabasas, CA - Updated 2025 - Yelp",https://m.yelp.com/search?find_desc=Tax+Law&find_loc=Calabasas%2C+CA,"Southern California Law Group · (3 reviews). Divorce & Family Law · Tax Law. 0.7 mi · 5023 North Parkway Calabasas, Calabasas, CA 91302. (818) 856-0000 ; The ...",,,,,,,,,m.yelp.com,0,0,0,0,0,0,,
business tax lawyer near me,Calabasas,TaxationLaw-LongTail-- Calabasas.xlsx,2,Advocate Solutions: Los Angeles Tax Lawyer - Calabasas ...,https://advocatesolutionsinc.com/,Call (747) 297-7416 - Advocate Solutions is dedicated to providing our clients with a range of legal services in Tax and Business Litigation matters.,,,,,,,,,advocatesolutionsinc.com,17,31,2,703,116,1123,,
business tax lawyer near me,Calabasas,TaxationLaw-LongTail-- Calabasas.xlsx,3,"TOP 10 BEST Tax Law near Calabasas, CA - Updated 2025 - Yelp",https://m.yelp.com/search?find_desc=Tax+Law&find_loc=Calabasas%2C+CA,"Top 10 Best Tax Law in Calabasas, CA - April 2025 - Yelp - Southern California Law Group, The Pacella Law Group, Mark Cummins, CPA, The Law Offices of ...",,,,,,,,,m.yelp.com,0,0,0,0,0,0,,
