keyword,city,source_file,ranking,title,link,snippet,business_name,rating,review_count,official_website,top_3_reviews,profile_updates,attributes,product_listings,domain,domain_authority,page_authority,spam_score,backlinks_count,referring_domains,pages_to_domain,top_backlinks,trust_flow
disability insurance lawyer near me,New York,SocialSecurity-LongTail-- New York.xlsx,1,Social Security Disability Lawyer in New York City | Call 24/7,https://www.nyworkerslaw.com/new-york-city/social-security-disability-lawyer/,O'Connor Law PLLC helps New York residents apply for disability benefits and navigate the appeals process. We do not charge an upfront fee for our services.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,nyworkerslaw.com,22,36,1,2373,813,7192,,
disability insurance lawyer near me,New York,SocialSecurity-LongTail-- New York.xlsx,2,New York State Disability Lawyer - Darras Law,https://www.longtermdisabilitylawyer.com/location/new-york/,New York State disability attorneys with more than 100 years of experience. We are committed to helping the most vulnerable.,,,,,,,,,longtermdisabilitylawyer.com,39,40,-1,733784,1817,736036,,
disability insurance lawyer near me,New York,SocialSecurity-LongTail-- New York.xlsx,3,Social Security Disability: SSD & SSI Lawyers NYC Area,https://www.workerslaw.com/social-security-disability-lawyers-nyc/,"The SSD lawyers at Pasternack, Tilker, Ziegler, Walsh, Stanton & Romano LLP help the injured and disabled across the state of New York.",,,,,,,,,workerslaw.com,31,36,1,37481,723,43495,,
disability attorneys in my area,New York,SocialSecurity-LongTail-- New York.xlsx,1,Social Security Disability: SSD & SSI Lawyers NYC Area,https://www.workerslaw.com/social-security-disability-lawyers-nyc/,"The SSD lawyers at Pasternack, Tilker, Ziegler, Walsh, Stanton & Romano LLP help the injured and disabled across the state of New York.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,workerslaw.com,31,36,1,37481,723,43495,,
disability attorneys in my area,New York,SocialSecurity-LongTail-- New York.xlsx,2,New York Social Security Disability Lawyer | O'Connor Law PLLC,https://www.nyworkerslaw.com/new-york-social-security-disability-lawyer/,O'Connor Law PLLC helps New York residents apply for disability benefits and navigate the appeals process. We do not charge an upfront fee for our services.,,,,,,,,,nyworkerslaw.com,22,36,1,2373,813,7192,,
best disability lawyers near me,New York,SocialSecurity-LongTail-- New York.xlsx,2,New York Social Security Disability Lawyer | O'Connor Law PLLC,https://www.nyworkerslaw.com/new-york-social-security-disability-lawyer/,O'Connor Law PLLC helps New York residents apply for disability benefits and navigate the appeals process. We do not charge an upfront fee for our services.,,,,,,,,,nyworkerslaw.com,22,36,1,2373,813,7192,,
best disability lawyers near me,New York,SocialSecurity-LongTail-- New York.xlsx,3,Social Security Disability: SSD & SSI Lawyers NYC Area,https://www.workerslaw.com/social-security-disability-lawyers-nyc/,"The SSD lawyers at Pasternack, Tilker, Ziegler, Walsh, Stanton & Romano LLP help the injured and disabled across the state of New York.",,,,,,,,,workerslaw.com,31,36,1,37481,723,43495,,
best social security disability lawyers near me,New York,SocialSecurity-LongTail-- New York.xlsx,3,Social Security Disability Lawyer in New York City | Call 24/7,https://www.nyworkerslaw.com/new-york-city/social-security-disability-lawyer/,Take our Free SSDI Case Review Quiz to assess your eligibility for Social Security Disability benefits with expert guidance from O'Connor Law.,,,,,,,,,nyworkerslaw.com,22,36,1,2373,813,7192,,
best ssi lawyers near me,New York,SocialSecurity-LongTail-- New York.xlsx,2,New York Social Security Disability Lawyer | O'Connor Law PLLC,https://www.nyworkerslaw.com/new-york-social-security-disability-lawyer/,O'Connor Law PLLC helps New York residents apply for disability benefits and navigate the appeals process. We do not charge an upfront fee for our services.,,,,,,,,,nyworkerslaw.com,22,36,1,2373,813,7192,,
best ssi lawyers near me,New York,SocialSecurity-LongTail-- New York.xlsx,3,Social Security Disability: SSD & SSI Lawyers NYC Area,https://www.workerslaw.com/social-security-disability-lawyers-nyc/,"The SSD lawyers at Pasternack, Tilker, Ziegler, Walsh, Stanton & Romano LLP help the injured and disabled across the state of New York.",,,,,,,,,workerslaw.com,31,36,1,37481,723,43495,,
social security appeal lawyer,New York,SocialSecurity-LongTail-- New York.xlsx,1,New York Social Security Disability Lawyer | O'Connor Law PLLC,https://www.nyworkerslaw.com/new-york-social-security-disability-lawyer/,O'Connor Law PLLC helps New York residents apply for disability benefits and navigate the appeals process. We do not charge an upfront fee for our services.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,nyworkerslaw.com,22,36,1,2373,813,7192,,
social security appeal lawyer,New York,SocialSecurity-LongTail-- New York.xlsx,2,"Social Security Disability Attorney in New York - Pyrros & Serres, LLP",https://nylaw.net/social-security-disability/,Looking for an experienced Social Security Disability Attorney in New York to help with your case? Contact Pyrros & Serres today! Call us at 718-626-7730.,,,,,,,,,nylaw.net,27,38,1,2683,423,88759,,
social security appeal lawyer,New York,SocialSecurity-LongTail-- New York.xlsx,3,New York Social Security Disability Attorney | SSI Lawyer | Law ...,https://www.smjlegal.com/,The Law Office of Stephen M. Jackel is a Social Security law firm serving those with disabilities in New York City. Free consults: 212-393-1300.,,,,,,,,,smjlegal.com,20,26,2,871,119,8602,,
social security advocates near me,New York,SocialSecurity-LongTail-- New York.xlsx,1,Social Security Disability Lawyer in New York City | Call 24/7,https://www.nyworkerslaw.com/new-york-city/social-security-disability-lawyer/,O'Connor Law PLLC helps New York residents apply for disability benefits and navigate the appeals process. We do not charge an upfront fee for our services.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,nyworkerslaw.com,22,36,1,2373,813,7192,,
social security advocates near me,New York,SocialSecurity-LongTail-- New York.xlsx,2,Social Security Disability: SSD & SSI Lawyers NYC Area,https://www.workerslaw.com/social-security-disability-lawyers-nyc/,"The SSD lawyers at Pasternack, Tilker, Ziegler, Walsh, Stanton & Romano LLP help the injured and disabled across the state of New York.",,,,,,,,,workerslaw.com,31,36,1,37481,723,43495,,
social security advocates near me,New York,SocialSecurity-LongTail-- New York.xlsx,3,New York Social Security Disability Attorney | SSI Lawyer | Law ...,https://www.smjlegal.com/,The Law Office of Stephen M. Jackel is a Social Security law firm serving those with disabilities in New York City. Free consults: 212-393-1300.,,,,,,,,,smjlegal.com,20,26,2,871,119,8602,,
federal disability lawyers near me,New York,SocialSecurity-LongTail-- New York.xlsx,1,New York FERS Federal Disability Retirement & OWCP Attorneys,https://www.federaldisability.com/who-we-help/new-york/,Harris Federal Law Firm represents federal employees throughout New York in obtaining their federal employee benefits.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,federaldisability.com,28,38,1,8899,990,8944,,
federal disability lawyers near me,New York,SocialSecurity-LongTail-- New York.xlsx,2,New York Federal Disability Retirement Lawyer | Bell Law Group,https://www.belllg.com/federal-employee-rights-lawyer/disability-retirement/,Federal employees can turn to a New York disability retirement lawyer from Bell Law Group for all matters regarding disability benefits. Call now.,,,,,,,,,belllg.com,29,31,8,8350,330,9917,,
federal disability lawyers near me,New York,SocialSecurity-LongTail-- New York.xlsx,3,Social Security Disability Lawyer in New York City | Call 24/7,https://www.nyworkerslaw.com/new-york-city/social-security-disability-lawyer/,Take our Free SSDI Case Review Quiz to assess your eligibility for Social Security Disability benefits with expert guidance from O'Connor Law.,,,,,,,,,nyworkerslaw.com,22,36,1,2373,813,7192,,
disability lawyers in my area,New York,SocialSecurity-LongTail-- New York.xlsx,1,Social Security Disability: SSD & SSI Lawyers NYC Area,https://www.workerslaw.com/social-security-disability-lawyers-nyc/,"The SSD lawyers at Pasternack, Tilker, Ziegler, Walsh, Stanton & Romano LLP help the injured and disabled across the state of New York.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,workerslaw.com,31,36,1,37481,723,43495,,
disability lawyers in my area,New York,SocialSecurity-LongTail-- New York.xlsx,2,"Antonowicz Group: SSI and SSD Claim Lawyers in Rome, NY",https://www.disabilitya-z.com/,Assisting Social Security Disability and SSI Claimants Across the State of New York For Over 40 Years. Questions? Call Us (315) 337-4008 Request Free ...,,,,,,,,,disabilitya-z.com,23,31,1,3162,301,3683,,
social security attorney near me,New York,SocialSecurity-LongTail-- New York.xlsx,1,New York Social Security Disability Lawyer | O'Connor Law PLLC,https://www.nyworkerslaw.com/new-york-social-security-disability-lawyer/,O'Connor Law PLLC helps New York residents apply for disability benefits and navigate the appeals process. We do not charge an upfront fee for our services.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,nyworkerslaw.com,22,36,1,2373,813,7192,,
