keyword,city,source_file,ranking,title,link,snippet,business_name,rating,review_count,official_website,top_3_reviews,profile_updates,attributes,product_listings,domain,domain_authority,page_authority,spam_score,backlinks_count,referring_domains,pages_to_domain,top_backlinks,trust_flow
blockchain and law firms,Chicago,Crypto-LongTail-- Chicago.xlsx,1,Chicago Cryptocurrency Lawyers | Hart David Carson,https://www.hartdavidcarson.com/cryptocurrency/,The Chicago cryptocurrency attorneys of Hart David Carson can assist you with the complicated laws surrounding digital currencies.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,hartdavidcarson.com,26,35,2,18472,608,30208,,
blockchain and law firms,Chicago,Crypto-LongTail-- Chicago.xlsx,2,Cryptocurrency and Blockchain Litigation and Arbitration,https://pattersonlawfirm.com/practice-areas/cryptocurrency-litigation/,Patterson Law Firm is here to assist you with your cryptocurrency case. We have hundreds of years of legal experience as a team.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,pattersonlawfirm.com,34,35,3,16396,487,56477,,
blockchain and law firms,Chicago,Crypto-LongTail-- Chicago.xlsx,3,Chicago Crypto Lawyer - Conboy Law,https://conboyinjurylaw.com/chicago-crypto-lawyer/,"Based in Chicago, Conboy Law specializes in providing legal advice for all things crypto. Our experienced team can guide you through the ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,conboyinjurylaw.com,26,31,1,2749,176,9371,,
cryptocurrency attorney near me,Chicago,Crypto-LongTail-- Chicago.xlsx,1,Chicago Cryptocurrency Lawyers | Hart David Carson,https://www.hartdavidcarson.com/cryptocurrency/,The Chicago cryptocurrency attorneys of Hart David Carson can assist you with the complicated laws surrounding digital currencies.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,hartdavidcarson.com,26,35,2,18472,608,30208,,
cryptocurrency attorney near me,Chicago,Crypto-LongTail-- Chicago.xlsx,2,Chicago Crypto Lawyer - Conboy Law,https://conboyinjurylaw.com/chicago-crypto-lawyer/,"Based in Chicago, Conboy Law specializes in providing legal advice for all things crypto. Our experienced team can guide you through the intricate regulations.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,conboyinjurylaw.com,26,31,1,2749,176,9371,,
cryptocurrency attorney near me,Chicago,Crypto-LongTail-- Chicago.xlsx,3,Cryptocurrency and Blockchain Litigation and Arbitration,https://pattersonlawfirm.com/practice-areas/cryptocurrency-litigation/,Patterson Law Firm is here to assist you with your cryptocurrency case. We have hundreds of years of legal experience as a team.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,pattersonlawfirm.com,34,35,3,16396,487,56477,,
crypto currency law firms,Chicago,Crypto-LongTail-- Chicago.xlsx,1,Chicago Cryptocurrency Lawyers | Hart David Carson,https://www.hartdavidcarson.com/cryptocurrency/,The Chicago cryptocurrency attorneys of Hart David Carson can assist you with the complicated laws surrounding digital currencies.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,hartdavidcarson.com,26,35,2,18472,608,30208,,
crypto currency law firms,Chicago,Crypto-LongTail-- Chicago.xlsx,2,Cryptocurrency and Blockchain Litigation and Arbitration,https://pattersonlawfirm.com/practice-areas/cryptocurrency-litigation/,Patterson Law Firm is here to assist you with your cryptocurrency case. We have hundreds of years of legal experience as a team.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,pattersonlawfirm.com,34,35,3,16396,487,56477,,
crypto currency law firms,Chicago,Crypto-LongTail-- Chicago.xlsx,3,Chicago Crypto Lawyer - Conboy Law,https://conboyinjurylaw.com/chicago-crypto-lawyer/,"Based in Chicago, Conboy Law specializes in providing legal advice for all things crypto. Our experienced team can guide you through the intricate regulations.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,conboyinjurylaw.com,26,31,1,2749,176,9371,,
cryptocurrency lawyers near me,Chicago,Crypto-LongTail-- Chicago.xlsx,1,Chicago Cryptocurrency Lawyers | Hart David Carson,https://www.hartdavidcarson.com/cryptocurrency/,The Chicago cryptocurrency attorneys of Hart David Carson can assist you with the complicated laws surrounding digital currencies.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,hartdavidcarson.com,26,35,2,18472,608,30208,,
