keyword,city,source_file,ranking,title,link,snippet,business_name,rating,review_count,official_website,top_3_reviews,profile_updates,attributes,product_listings,domain,domain_authority,page_authority,spam_score,backlinks_count,referring_domains,pages_to_domain,top_backlinks,trust_flow
best immigration lawyer,Tulsa,Immigration-HighVolume -- Tulsa.xlsx,2,"Immigration Law - Kania Law Office - Tulsa, OK",https://www.kanialaw.com/tulsa-attorneys/immigration-law,"We focus our immigration practice on employment based immigration, family based immigration, deportation and removal proceedings, along with United Citizenship.",,,,,,,,,kanialaw.com,31,37,1,10032,1106,14186,,
best immigration lawyer,Tulsa,Immigration-HighVolume -- Tulsa.xlsx,3,"Erwin Law Office: Tulsa, OK Immigration Lawyer",https://erwinlawoffice.com/,"Erwin Law Office has a well-known and highly respected reputation for representing foreign citizens who are residing here both legally, and illegally.",,,,,,,,,erwinlawoffice.com,14,22,3,83,51,360,,
canadian immigration lawyers,Tulsa,Immigration-HighVolume -- Tulsa.xlsx,1,"Canadian Immigration - Tulsa, OK",https://pilkingtonimmigration.com/tulsa-ok/canadian-immigration/,Lawyer Mr. Yosheel was highly recommended for the best global mobility immigration for Golden visas and offshore documents certification. We could not agree ...,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,pilkingtonimmigration.com,28,26,2,3381,356,395303,,
canadian immigration lawyers,Tulsa,Immigration-HighVolume -- Tulsa.xlsx,3,"About Us | Pilkington Immigration - Tulsa, OK",https://pilkingtonimmigration.com/tulsa-ok/about-us/,"... Canadian Lawyer, and Nigerian Lawyer. A dual qualified lawyer with licensure in Ontario, Canada and Nigeria. She has experience in assisting clients with all ...",,,,,,,,,pilkingtonimmigration.com,28,26,2,3381,356,395303,,
best immigration law firms,Tulsa,Immigration-HighVolume -- Tulsa.xlsx,2,"Immigration Law - Kania Law Office - Tulsa, OK",https://www.kanialaw.com/tulsa-attorneys/immigration-law,"We focus our immigration practice on employment based immigration, family based immigration, deportation and removal proceedings, along with United Citizenship.",,,,,,,,,kanialaw.com,31,37,1,10032,1106,14186,,
best immigration law firms,Tulsa,Immigration-HighVolume -- Tulsa.xlsx,3,"Erwin Law Office: Tulsa, OK Immigration Lawyer",https://erwinlawoffice.com/,"Erwin Law Office has a well-known and highly respected reputation for representing foreign citizens who are residing here both legally, and illegally.",,,,,,,,,erwinlawoffice.com,14,22,3,83,51,360,,
citizenship immigration lawyer,Tulsa,Immigration-HighVolume -- Tulsa.xlsx,1,"Immigration Law - Kania Law Office - Tulsa, OK",https://www.kanialaw.com/tulsa-attorneys/immigration-law,"We focus our immigration practice on employment based immigration, family based immigration, deportation and removal proceedings, along with United Citizenship.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,kanialaw.com,31,37,1,10032,1106,14186,,
citizenship immigration lawyer,Tulsa,Immigration-HighVolume -- Tulsa.xlsx,2,Tulsa Immigration Attorney | 918-879-1681 - Wirth Law Office,https://www.wirthlawoffice.com/lawyer/tulsa-immigration-attorney.html,A Tulsa immigration attorney carefully reviews details of each situation to achieve desired outcomes in the context of current immigration law.,,,,,,,,,wirthlawoffice.com,36,38,3,17528,1157,1469533,,
citizenship immigration lawyer,Tulsa,Immigration-HighVolume -- Tulsa.xlsx,3,"Erwin Law Office: Tulsa, OK Immigration Lawyer",https://erwinlawoffice.com/,"Erwin Law Office has a well-known and highly respected reputation for representing foreign citizens who are residing here both legally, and illegally.",,,,,,,,,erwinlawoffice.com,14,22,3,83,51,360,,
cheap immigration lawyer,Tulsa,Immigration-HighVolume -- Tulsa.xlsx,1,Immigration Legal Services - Catholic Charities of Eastern Oklahoma,https://cceok.org/immigration/,"Called to bring dignity, justice, and hope to the immigrant among us by providing direct legal services in immigration matters to low-income clients in Eastern ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,cceok.org,38,42,1,15609,1288,36787,,
cheap immigration lawyer,Tulsa,Immigration-HighVolume -- Tulsa.xlsx,2,YWCA Tulsa - National Immigration Legal Services Directory,https://www.immigrationadvocates.org/legaldirectory/organization.393256-YWCA_Tulsa_Immigrant_and_Refugee_Program,YWCA Tulsa has offered innovative and inclusive services to the immigrant and refugee community of Tulsa for over 30 years. Services include low-cost ...,,,,,,,,,immigrationadvocates.org,55,47,-1,45373,3299,52299,,
cheap immigration lawyer,Tulsa,Immigration-HighVolume -- Tulsa.xlsx,3,Free and Low-Cost Resources – Oklahoma Law for People,https://www.okbar.org/a2j/resources/,"Services are listed by subject matter type. For the free or low-cost assistance listed below, you will need to meet certain income or other qualifications.",,,,,,,,,okbar.org,50,47,1,362828,3959,749192,,
criminal and immigration attorney,Tulsa,Immigration-HighVolume -- Tulsa.xlsx,1,"Immigration Law - Kania Law Office - Tulsa, OK",https://www.kanialaw.com/tulsa-attorneys/immigration-law,Kania Law - Tulsa Attorneys at Law - Oklahoma Criminal Defense Lawyers ... Criminal Convictions and Immigration Status There are two categories of crimes in US ...,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,kanialaw.com,31,37,1,10032,1106,14186,,
criminal and immigration attorney,Tulsa,Immigration-HighVolume -- Tulsa.xlsx,2,Tulsa Immigration Attorney | 918-879-1681 - Wirth Law Office,https://www.wirthlawoffice.com/lawyer/tulsa-immigration-attorney.html,Tulsa immigration attorney James M. Wirth: Tulsa Immigration Attorney. A ... Criminal Law · Expungement · Family Law · Firm News · Immigration · McGirt · Media ...,,,,,,,,,wirthlawoffice.com,36,38,3,17528,1157,1469533,,
criminal and immigration attorney,Tulsa,Immigration-HighVolume -- Tulsa.xlsx,3,"Erwin Law Office: Tulsa, OK Immigration Lawyer",https://erwinlawoffice.com/,+ Visas for Victims of Crime (U-visas) or Human Trafficking (T-visas) · + ... I recommend Eddie Erwin to everyone who is looking for immigration attorney in Tulsa ...,,,,,,,,,erwinlawoffice.com,14,22,3,83,51,360,,
criminal and immigration lawyer,Tulsa,Immigration-HighVolume -- Tulsa.xlsx,1,"Immigration Law - Kania Law Office - Tulsa, OK",https://www.kanialaw.com/tulsa-attorneys/immigration-law,"Ask a Lawyer 5319 S. Lewis Ave, Suite 120 918-743-2233 · Kania Law Office - Tulsa OK. Kania Law - Tulsa Attorneys at Law - Oklahoma Criminal Defense Lawyers.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,kanialaw.com,31,37,1,10032,1106,14186,,
criminal and immigration lawyer,Tulsa,Immigration-HighVolume -- Tulsa.xlsx,2,"Erwin Law Office: Tulsa, OK Immigration Lawyer",https://erwinlawoffice.com/,+ Visas for Victims of Crime (U-visas) or Human Trafficking (T-visas) · + ... I recommend Eddie Erwin to everyone who is looking for immigration attorney in Tulsa ...,,,,,,,,,erwinlawoffice.com,14,22,3,83,51,360,,
criminal and immigration lawyer,Tulsa,Immigration-HighVolume -- Tulsa.xlsx,3,Tulsa Immigration Attorney | 918-879-1681 - Wirth Law Office,https://www.wirthlawoffice.com/lawyer/tulsa-immigration-attorney.html,"If you would like an initial strategy session with a Tulsa Oklahoma immigration lawyer, call (918) 879-1681. ... Criminal Law · Expungement · Family Law · Firm ...",,,,,,,,,wirthlawoffice.com,36,38,3,17528,1157,1469533,,
deportation defense lawyer,Tulsa,Immigration-HighVolume -- Tulsa.xlsx,1,Deportation Lawyer in Tulsa | Call (918) 505-4870,https://www.rivasassociates.com/areas-we-serve/deportation-lawyer-in-tulsa/,(844) 37-RIVAS(844) 37-RIVAS · Immigration Law · Family-Based Petition · VAWA · U Visa · Deportation Defense · Naturalization & Citizenship.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,rivasassociates.com,20,28,1,38574,98,113118,,
deportation defense lawyer,Tulsa,Immigration-HighVolume -- Tulsa.xlsx,2,"Erwin Law Office: Tulsa, OK Immigration Lawyer",https://erwinlawoffice.com/,"Deportation Defense. We have a respected reputation for representing foreign citizens who are residing here both legally, and illegally. Waivers. We have ...",,,,,,,,,erwinlawoffice.com,14,22,3,83,51,360,,
deportation defense lawyer,Tulsa,Immigration-HighVolume -- Tulsa.xlsx,3,The Law Office of Carlos L. Williams - Deportation,https://www.cwilliamslegal.com/tulsa-immigration-attorney/deportation/,"Williams & Associates, PLLC. provide valuable and aggressive deportation defense for clients throughout the Tulsa area and across the State of Oklahoma.",,,,,,,,,cwilliamslegal.com,25,31,1,1463,207,14490,,
eb1 visa lawyer,Tulsa,Immigration-HighVolume -- Tulsa.xlsx,1,Tulsa Immigration Attorney Judith A. Ashbaugh (918) 392-5676,https://jaimmigrationlaw.com/attorney/,"The law office of Judith A. Ashbaugh focuses exclusively in the area of immigration law including visas, green cards and naturalization.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,jaimmigrationlaw.com,13,23,2,105,45,646,,
eb1 visa lawyer,Tulsa,Immigration-HighVolume -- Tulsa.xlsx,2,Employment-Based Immigration - Schaffer | Herring,https://schafferherring.com/services/employment-based-immigration/,"We specialize in navigating the complex landscape of employment-based immigration, offering expert legal services to employers and employees alike.",,,,,,,,,schafferherring.com,22,26,10,1953,89,2510,,
eb1 visa lawyer,Tulsa,Immigration-HighVolume -- Tulsa.xlsx,3,"PEDROZA & PEDROZA, PLLC | Tulsa",https://www.jmpedrozalaw.com/,We are a law firm dedicated to assisting the immigrant community. Our office practices solely immigration law and has helped people from over 50 countries.,,,,,,,,,jmpedrozalaw.com,8,18,2,33,20,131,,
family immigration attorney,Tulsa,Immigration-HighVolume -- Tulsa.xlsx,1,"Immigration Law - Kania Law Office - Tulsa, OK",https://www.kanialaw.com/tulsa-attorneys/immigration-law,"Our Tulsa Fiance Visa Lawyers can help you get your family visa. To obtain a K-1 visa, a U.S. citizen must file a Petition for Relative or Fiancé(e) (I-129F), ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,kanialaw.com,31,37,1,10032,1106,14186,,
family immigration attorney,Tulsa,Immigration-HighVolume -- Tulsa.xlsx,2,"Erwin Law Office: Tulsa, OK Immigration Lawyer",https://erwinlawoffice.com/,"Erwin Law Office has a well-known and highly respected reputation for representing foreign citizens who are residing here both legally, and illegally.",,,,,,,,,erwinlawoffice.com,14,22,3,83,51,360,,
family immigration attorney,Tulsa,Immigration-HighVolume -- Tulsa.xlsx,3,"Rivas & Associates National Immigration Law Firm | Tulsa, OK",https://rivasassociates.com/,We can help you become a citizen and gain entry into the United States. Se habla español. Experienced immigration lawyers and attorneys.,,,,,,,,,rivasassociates.com,20,28,1,38574,98,113118,,
h1b lawyer,Tulsa,Immigration-HighVolume -- Tulsa.xlsx,1,Tulsa H-1B Visa and Renewals Lawyer | Erwin Law Expertise,https://erwinlawoffice.com/services/h-1b-visas-and-renewals/,We provide legal services for both H-1B visa applications and renewals. Our experienced attorneys understand the complexities of the H-1B process.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,erwinlawoffice.com,14,22,3,83,51,360,,
h1b lawyer,Tulsa,Immigration-HighVolume -- Tulsa.xlsx,2,Tulsa Immigration Attorney | 918-879-1681 - Wirth Law Office,https://www.wirthlawoffice.com/lawyer/tulsa-immigration-attorney.html,A Tulsa immigration attorney carefully reviews details of each situation to achieve desired outcomes in the context of current immigration law.,,,,,,,,,wirthlawoffice.com,36,38,3,17528,1157,1469533,,
h1b lawyer,Tulsa,Immigration-HighVolume -- Tulsa.xlsx,3,"Immigration Law - Kania Law Office - Tulsa, OK",https://www.kanialaw.com/tulsa-attorneys/immigration-law,"We are an Oklahoma based immigration law office and assist immigrants who are seeking green cards, citizenship, or visas.",,,,,,,,,kanialaw.com,31,37,1,10032,1106,14186,,
family immigration lawyer,Tulsa,Immigration-HighVolume -- Tulsa.xlsx,1,"Immigration Law - Kania Law Office - Tulsa, OK",https://www.kanialaw.com/tulsa-attorneys/immigration-law,"Our Tulsa Fiance Visa Lawyers can help you get your family visa. To obtain a K-1 visa, a U.S. citizen must file a Petition for Relative or Fiancé(e) (I-129F), ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,kanialaw.com,31,37,1,10032,1106,14186,,
family immigration lawyer,Tulsa,Immigration-HighVolume -- Tulsa.xlsx,2,"Erwin Law Office: Tulsa, OK Immigration Lawyer",https://erwinlawoffice.com/,"Erwin Law Office has a well-known and highly respected reputation for representing foreign citizens who are residing here both legally, and illegally.",,,,,,,,,erwinlawoffice.com,14,22,3,83,51,360,,
family immigration lawyer,Tulsa,Immigration-HighVolume -- Tulsa.xlsx,3,"Rivas & Associates National Immigration Law Firm | Tulsa, OK",https://rivasassociates.com/,"Family-Based Petition Attorneys in Tulsa, Oklahoma Serving Clients Nationwide · Rivas ...",,,,,,,,,rivasassociates.com,20,28,1,38574,98,113118,,
immigration adoption attorney,Tulsa,Immigration-HighVolume -- Tulsa.xlsx,1,"Trusted Tulsa Adoption Attorney - Welsh & McGough, PLLC",https://www.tulsafirm.com/tulsa-adoption-attorney/,Get compassionate legal support from our experienced Tulsa adoption attorney. Let us help you navigate the adoption process smoothly and efficiently.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,tulsafirm.com,19,32,29,583,201,8257,,
immigration adoption attorney,Tulsa,Immigration-HighVolume -- Tulsa.xlsx,2,Tulsa Oklahoma Adoption Attorney | 918-879-1681 - Wirth Law Office,https://www.wirthlawoffice.com/lawyer/tulsa-oklahoma-adoption-attorney.html,Tulsa Oklahoma adoption attorney James M. Wirth provides legal representation for Oklahomans who need a lawyer for assistance in adoption proceedings.,,,,,,,,,wirthlawoffice.com,36,38,3,17528,1157,1469533,,
immigration adoption attorney,Tulsa,Immigration-HighVolume -- Tulsa.xlsx,3,"Immigration Law - Kania Law Office - Tulsa, OK",https://www.kanialaw.com/tulsa-attorneys/immigration-law,"We are an Oklahoma based immigration law office and assist immigrants who are seeking green cards, citizenship, or visas.",,,,,,,,,kanialaw.com,31,37,1,10032,1106,14186,,
immigration attorney,Tulsa,Immigration-HighVolume -- Tulsa.xlsx,1,"Immigration Law - Kania Law Office - Tulsa, OK",https://www.kanialaw.com/tulsa-attorneys/immigration-law,Call us today for a free consultation 918-743-2233 or contact us online. How to Get a Green Card Oklahoma · Employment Based Immigration · Family Based ...,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,kanialaw.com,31,37,1,10032,1106,14186,,
immigration attorney,Tulsa,Immigration-HighVolume -- Tulsa.xlsx,2,"Erwin Law Office: Tulsa, OK Immigration Lawyer",https://erwinlawoffice.com/,"Erwin Law Office has a well-known and highly respected reputation for representing foreign citizens who are residing here both legally, and illegally.",,,,,,,,,erwinlawoffice.com,14,22,3,83,51,360,,
immigration attorney,Tulsa,Immigration-HighVolume -- Tulsa.xlsx,3,"Rivas & Associates National Immigration Law Firm | Tulsa, OK",https://rivasassociates.com/,Our Innovative Approach To Immigration Representation Stands Out · We offer immigration representation nationwide. · We handle all types of immigration cases.,,,,,,,,,rivasassociates.com,20,28,1,38574,98,113118,,
immigration attorney for citizenship,Tulsa,Immigration-HighVolume -- Tulsa.xlsx,1,"Immigration Law - Kania Law Office - Tulsa, OK",https://www.kanialaw.com/tulsa-attorneys/immigration-law,"We are an Oklahoma based immigration law office and assist immigrants who are seeking green cards, citizenship, or visas.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,kanialaw.com,31,37,1,10032,1106,14186,,
immigration attorney for citizenship,Tulsa,Immigration-HighVolume -- Tulsa.xlsx,2,Tulsa Immigration Attorney | 918-879-1681 - Wirth Law Office,https://www.wirthlawoffice.com/lawyer/tulsa-immigration-attorney.html,A Tulsa immigration attorney carefully reviews details of each situation to achieve desired outcomes in the context of current immigration law.,,,,,,,,,wirthlawoffice.com,36,38,3,17528,1157,1469533,,
immigration attorney for citizenship,Tulsa,Immigration-HighVolume -- Tulsa.xlsx,3,"Erwin Law Office: Tulsa, OK Immigration Lawyer",https://erwinlawoffice.com/,"Erwin Law Office has a well-known and highly respected reputation for representing foreign citizens who are residing here both legally, and illegally.",,,,,,,,,erwinlawoffice.com,14,22,3,83,51,360,,
immigration law attorney,Tulsa,Immigration-HighVolume -- Tulsa.xlsx,1,"Immigration Law - Kania Law Office - Tulsa, OK",https://www.kanialaw.com/tulsa-attorneys/immigration-law,"We are an Oklahoma based immigration law office and assist immigrants who are seeking green cards, citizenship, or visas.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,kanialaw.com,31,37,1,10032,1106,14186,,
immigration law attorney,Tulsa,Immigration-HighVolume -- Tulsa.xlsx,2,"Erwin Law Office: Tulsa, OK Immigration Lawyer",https://erwinlawoffice.com/,"Erwin Law Office has a well-known and highly respected reputation for representing foreign citizens who are residing here both legally, and illegally.",,,,,,,,,erwinlawoffice.com,14,22,3,83,51,360,,
immigration law attorney,Tulsa,Immigration-HighVolume -- Tulsa.xlsx,3,"Rivas & Associates National Immigration Law Firm | Tulsa, OK",https://rivasassociates.com/,Our Innovative Approach To Immigration Representation Stands Out · We offer immigration representation nationwide. · We handle all types of immigration cases.,,,,,,,,,rivasassociates.com,20,28,1,38574,98,113118,,
