keyword,city,source_file,ranking,title,link,snippet,business_name,rating,review_count,official_website,top_3_reviews,profile_updates,attributes,product_listings,domain,domain_authority,page_authority,spam_score,backlinks_count,referring_domains,pages_to_domain,top_backlinks,trust_flow
custody attorneys,Menlo Park,FamilyLaw-HighVolume -- Menlo Park.xlsx,1,Menlo Park Family Law Attorney | Divorce | Child Support,https://fkkblaw.com/,"For 40 years, Flicker, Kerin, Kruger & Bissada LLP has been resolving the most complex family law matters in the Bay Area. Menlo Park office: 650-289-1400.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,fkkblaw.com,28,32,4,4410,246,9182,,
child support lawyer,Menlo Park,FamilyLaw-HighVolume -- Menlo Park.xlsx,1,Menlo Park Family Law Attorney | Divorce | Child Support,https://fkkblaw.com/,"For 40 years, Flicker, Kerin, Kruger & Bissada LLP has been resolving the most complex family law matters in the Bay Area. Menlo Park office: 650-289-1400.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,fkkblaw.com,28,32,4,4410,246,9182,,
child support lawyer,Menlo Park,FamilyLaw-HighVolume -- Menlo Park.xlsx,3,"Child Support Lawyer - Flicker, Kerin, Kruger & Bissada LLP",https://fkkblaw.com/family-law/child-support/,We can assist you with child support matters at our offices in Menlo Park and San Ramon. Family Law · Dissolution/Divorce · Child Support · Spousal Support ...,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,fkkblaw.com,28,32,4,4410,246,9182,,
divorce lawyers near me,Menlo Park,FamilyLaw-HighVolume -- Menlo Park.xlsx,1,Menlo Park Family Law Attorney | Divorce | Child Support,https://fkkblaw.com/,"For 40 years, Flicker, Kerin, Kruger & Bissada LLP has been resolving the most complex family law matters in the Bay Area. Menlo Park office: 650-289-1400.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,fkkblaw.com,28,32,4,4410,246,9182,,
divorce lawyers near me,Menlo Park,FamilyLaw-HighVolume -- Menlo Park.xlsx,3,Marisa C. San Filippo | Menlo Park Family Law Attorney | Divorce,https://fkkblaw.com/attorneys/marisa-c-san-filippo/,"San Filippo brings her tenacity and compassion to each matter, handling cases involving dissolution, legal separation, property characterization and division, ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,fkkblaw.com,28,32,4,4410,246,9182,,
custody lawyer,Menlo Park,FamilyLaw-HighVolume -- Menlo Park.xlsx,1,Menlo Park Family Law Attorney | Divorce | Child Support,https://fkkblaw.com/,"For 40 years, Flicker, Kerin, Kruger & Bissada LLP has been resolving the most complex family law matters in the Bay Area. Menlo Park office: 650-289-1400.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,fkkblaw.com,28,32,4,4410,246,9182,,
custody lawyer,Menlo Park,FamilyLaw-HighVolume -- Menlo Park.xlsx,3,Marisa C. San Filippo | Menlo Park Family Law Attorney | Divorce,https://fkkblaw.com/attorneys/marisa-c-san-filippo/,"San Filippo has dedicated her entire career to family law, and handles a wide variety of cases, including high conflict child custody cases and complex high- ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,fkkblaw.com,28,32,4,4410,246,9182,,
divorce attorney,Menlo Park,FamilyLaw-HighVolume -- Menlo Park.xlsx,1,Menlo Park Family Law Attorney | Divorce | Child Support,https://fkkblaw.com/,"For 40 years, Flicker, Kerin, Kruger & Bissada LLP has been resolving the most complex family law matters in the Bay Area. Menlo Park office: 650-289-1400.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,fkkblaw.com,28,32,4,4410,246,9182,,
child custody lawyers,Menlo Park,FamilyLaw-HighVolume -- Menlo Park.xlsx,1,Menlo Park Family Law Attorney | Divorce | Child Support,https://fkkblaw.com/,"For 40 years, Flicker, Kerin, Kruger & Bissada LLP has been resolving the most complex family law matters in the Bay Area. Menlo Park office: 650-289-1400.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,fkkblaw.com,28,32,4,4410,246,9182,,
child custody lawyers,Menlo Park,FamilyLaw-HighVolume -- Menlo Park.xlsx,3,Menlo Park Family Law Lawyer | Child Support | Divorce,https://fkkblaw.com/family-law/,"Characterized by sophistication, depth and experience, our family law lawyers provide unparalleled representation in the Bay Area. Call 650-289-1400.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,fkkblaw.com,28,32,4,4410,246,9182,,
