keyword,city,source_file,ranking,title,link,snippet,business_name,rating,review_count,official_website,top_3_reviews,profile_updates,attributes,product_listings,domain,domain_authority,page_authority,spam_score,backlinks_count,referring_domains,pages_to_domain,top_backlinks,trust_flow
toxic tort lawyer,Miami Beach,EnvironmentalLaw-HighVolume-- Miami Beach.xlsx,1,"Miami Toxic Tort Attorney - Alan Goldfarb, P.A.",https://www.goldfarbpa.com/miami-personal-injury-attorney/toxic-tort/,Our legal team has litigated toxic tort cases for more than 50 years and we will aggressively pursue a fair and just compensation for your loss.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,goldfarbpa.com,30,31,1,2498,241,206773,,
toxic tort lawyer,Miami Beach,EnvironmentalLaw-HighVolume-- Miami Beach.xlsx,2,Florida Environmental Toxic Torts Attorney - The Ferraro Law Firm,https://ferrarolaw.com/environmental-toxic-torts/,Our Florida environmental toxic torts lawyers have years of experience helping victims of toxic exposure seek compensation for their damages.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,ferrarolaw.com,41,37,2,10272,758,142792,,
toxic tort lawyer,Miami Beach,EnvironmentalLaw-HighVolume-- Miami Beach.xlsx,3,Toxic Tort Attorney in Florida | Protecting Your Rights,https://www.silvasilva.com/toxic-torts/,Florida toxic torts lawyers have decades of experience helping victims of toxic exposure seek compensation. Contact our toxic torts attorney at Silva & Silva.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,silvasilva.com,28,33,1,3155,311,3343,,
sustainable development lawyer,Miami Beach,EnvironmentalLaw-HighVolume-- Miami Beach.xlsx,1,Land Use and Development - Akerman LLP,https://www.akerman.com/en/work/services/practices/real-estate/land-use-and-sustainable-development/index.html,"Akerman's nationally recognized Land Use and Development Practice advises a nationwide roster of real estate developers, landowners, investors, and lenders.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,akerman.com,54,49,4,165077,4763,1623916,,
sustainable development lawyer,Miami Beach,EnvironmentalLaw-HighVolume-- Miami Beach.xlsx,3,Everglades Law Center | Protecting Florida's Environment,https://evergladeslaw.org/,"The Everglades Law Center is a non-profit, public interest environmental law firm dedicated to defending Florida's ecosystems & communities.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,evergladeslaw.org,28,35,1,832,303,838,,
land use and environmental attorney,Miami Beach,EnvironmentalLaw-HighVolume-- Miami Beach.xlsx,2,Land Use & Zoning Attorneys - Berger Singerman LLP Law Firm,https://www.bergersingerman.com/practices/land-use-zoning,Our Land Use & Zoning attorneys understand land use issues from both the governmental and the client perspectives. The group's proven ability to work ...,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,bergersingerman.com,36,39,1,15900,936,1291067,,
land use and environmental attorney,Miami Beach,EnvironmentalLaw-HighVolume-- Miami Beach.xlsx,3,Bercow Radell Fernandez Larkin & Tapanes Home |,https://brzoninglaw.com/,"Bercow Radell Fernandez Larkin & Tapanes is one of South Florida's premier boutique law firms specializing in land use, zoning, and environmental matters.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,brzoninglaw.com,26,36,1,1826,529,5254,,
environmental lawyer,Miami Beach,EnvironmentalLaw-HighVolume-- Miami Beach.xlsx,3,Environmental Law - Lydecker,https://www.lydecker.com/practice-area/environmental-law/,"Our environmental lawyers assist clients in resolving issues arising in all media (air, water, waste, wetlands, etc.) and under every major environmental ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,lydecker.com,30,29,1,16374,312,30526,,
natural resource lawyer,Miami Beach,EnvironmentalLaw-HighVolume-- Miami Beach.xlsx,3,Everglades Law Center | Protecting Florida's Environment,https://evergladeslaw.org/,"The Everglades Law Center is a non-profit, public interest environmental law firm dedicated to defending Florida's ecosystems & communities.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,evergladeslaw.org,28,35,1,832,303,838,,
environmental law firm near me,Miami Beach,EnvironmentalLaw-HighVolume-- Miami Beach.xlsx,3,Environmental Law - Lydecker,https://www.lydecker.com/practice-area/environmental-law/,Our lawyers combine decades of experience in government and the private sector to help our clients solve their environmental challenges.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,lydecker.com,30,29,1,16374,312,30526,,
environmental law specialists,Miami Beach,EnvironmentalLaw-HighVolume-- Miami Beach.xlsx,3,Environmental Law - Lydecker,https://www.lydecker.com/practice-area/environmental-law/,Our lawyers combine decades of experience in government and the private sector to help our clients solve their environmental challenges.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,lydecker.com,30,29,1,16374,312,30526,,
environmental attorney,Miami Beach,EnvironmentalLaw-HighVolume-- Miami Beach.xlsx,3,Environmental Law - Lydecker,https://www.lydecker.com/practice-area/environmental-law/,"Our environmental lawyers assist clients in resolving issues arising in all media (air, water, waste, wetlands, etc.) and under every major environmental ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,lydecker.com,30,29,1,16374,312,30526,,
environmental impact attorney,Miami Beach,EnvironmentalLaw-HighVolume-- Miami Beach.xlsx,3,Environmental Law - Lydecker,https://www.lydecker.com/practice-area/environmental-law/,Our lawyers combine decades of experience in government and the private sector to help our clients solve their environmental challenges.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,lydecker.com,30,29,1,16374,312,30526,,
environmental regulatory compliance attorney,Miami Beach,EnvironmentalLaw-HighVolume-- Miami Beach.xlsx,3,Environmental Law - Lydecker,https://www.lydecker.com/practice-area/environmental-law/,Our lawyers combine decades of experience in government and the private sector to help our clients solve their environmental challenges.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,lydecker.com,30,29,1,16374,312,30526,,
water rights attorney,Miami Beach,EnvironmentalLaw-HighVolume-- Miami Beach.xlsx,3,"Water Law | Law Firm | Capabilities - Greenberg Traurig, LLP",https://www.gtlaw.com/en/capabilities/energy--natural-resources/water-law,"Our Water Law attorneys represent clients' interests in virtually all types of water-related transactions, including water rights acquisitions/leases; complex ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,gtlaw.com,59,53,6,569210,10666,2562630,,
environmental law attorney,Miami Beach,EnvironmentalLaw-HighVolume-- Miami Beach.xlsx,3,Environmental Law - Lydecker,https://www.lydecker.com/practice-area/environmental-law/,"Our environmental lawyers assist clients in resolving issues arising in all media (air, water, waste, wetlands, etc.) and under every major environmental ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,lydecker.com,30,29,1,16374,312,30526,,
climate change attorney,Miami Beach,EnvironmentalLaw-HighVolume-- Miami Beach.xlsx,2,Laura Beatriz Arroyo - Earthjustice,https://earthjustice.org/staff/laura-arroyo,"Laura Beatriz Arroyo is a senior attorney based in the Miami, Florida office, focusing on litigation and advocacy for energy and environmental justice issues ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,earthjustice.org,71,62,1,1476257,26040,3152217,,
climate change attorney,Miami Beach,EnvironmentalLaw-HighVolume-- Miami Beach.xlsx,3,Everglades Law Center | Protecting Florida's Environment,https://evergladeslaw.org/,"The Everglades Law Center is a non-profit, public interest environmental law firm dedicated to defending Florida's ecosystems & communities.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,evergladeslaw.org,28,35,1,832,303,838,,
pollution lawyer near me,Miami Beach,EnvironmentalLaw-HighVolume-- Miami Beach.xlsx,2,Environmental Complaints - Miami-Dade County,https://miamidade.gov/global/economy/environment/environmental-complaints.page,"You can report Environmental Complaints to the Division of Environmental Resources Management (DERM) complaint desk at 305-372-6955 24 hours a day, ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,miamidade.gov,79,60,7,4464615,39349,8113180,,
environmental justice lawyer,Miami Beach,EnvironmentalLaw-HighVolume-- Miami Beach.xlsx,3,Environmental Justice | Free Case Evaluation | Ben Crump Law,https://bencrump.com/environmental-justice-lawyer/,"Let an environmental justice lawyer at Ben Crump Law, PLLC tackle the environmental justice problems you endured. Call us today at (800) 712-3999 for a free ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,bencrump.com,51,53,3,43119,4936,43296,,
environmental litigation attorney,Miami Beach,EnvironmentalLaw-HighVolume-- Miami Beach.xlsx,3,Environmental Law - Lydecker,https://www.lydecker.com/practice-area/environmental-law/,Our lawyers combine decades of experience in government and the private sector to help our clients solve their environmental challenges.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,lydecker.com,30,29,1,16374,312,30526,,
environmental compliance lawyer,Miami Beach,EnvironmentalLaw-HighVolume-- Miami Beach.xlsx,3,Environmental Law - Lydecker,https://www.lydecker.com/practice-area/environmental-law/,"Our environmental lawyers assist clients in resolving issues arising in all media (air, water, waste, wetlands, etc.) and under every major environmental ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,lydecker.com,30,29,1,16374,312,30526,,
blockchain and law firms,Miami Beach,Crypto-LongTail-- Miami Beach.xlsx,1,Miami Crypto and Blockchain Law Firm - Federal Lawyer,https://federal-lawyer.com/blockchain/miami/,"At Oberheiden P.C., we have hand-selected experienced Miami blockchain lawyers to represent companies and individuals in a wide range of federal matters ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,federal-lawyer.com,40,49,1,24594,2956,253410,,
blockchain and law firms,Miami Beach,Crypto-LongTail-- Miami Beach.xlsx,2,"Crypto Lawyer Miami Florida USA - Malescu Law, PA",https://malesculaw.com/best-crypto-lawyer-miami-florida-usa/,"Our best crypto lawyers in Miami, Florida USA assist entrepreneurs and companies engaged in cryptocurrency and blockchain technology.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,malesculaw.com,24,39,1,4507,849,83499,,
blockchain and law firms,Miami Beach,Crypto-LongTail-- Miami Beach.xlsx,3,Blockchain lawyer - Ari Good - Miami Cryptocurrency Lawyer,https://blockchainlawyer.io/,"As a Blockchain Lawyer, Attorney Good helps clients mitigate the risks of financial crime such as money laundering and terrorist financing. As a Certified ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,blockchainlawyer.io,22,25,4,460,130,1804,,
crypto currency law firms,Miami Beach,Crypto-LongTail-- Miami Beach.xlsx,1,Miami Crypto and Blockchain Law Firm - Federal Lawyer,https://federal-lawyer.com/blockchain/miami/,"At Oberheiden P.C., we have hand-selected experienced Miami blockchain lawyers to represent companies and individuals in a wide range of federal matters ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,federal-lawyer.com,40,49,1,24594,2956,253410,,
crypto currency law firms,Miami Beach,Crypto-LongTail-- Miami Beach.xlsx,2,"Crypto Lawyer Miami Florida USA - Malescu Law, PA",https://malesculaw.com/best-crypto-lawyer-miami-florida-usa/,"Contact our crypto lawyers in Miami, Florida USA to assist with MSB registration, money transmitter license and AML and KYC programs.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,malesculaw.com,24,39,1,4507,849,83499,,
crypto currency law firms,Miami Beach,Crypto-LongTail-- Miami Beach.xlsx,3,Cryptocurrency Lawyer - Altawil Law Group,https://thepathtojustice.com/cryptocurrency-lawyer/,Facing cryptocurrency legal challenges in Miami? Our experienced cryptocurrency lawyer provide robust defense and compliance solutions. Contact us today.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,thepathtojustice.com,18,27,1,155,70,12055,,
crypto lawyer near me,Miami Beach,Crypto-LongTail-- Miami Beach.xlsx,1,Miami Crypto and Blockchain Law Firm - Federal Lawyer,https://federal-lawyer.com/blockchain/miami/,We have hand-selected experienced Miami blockchain lawyers to represent companies and individuals in a wide range of federal matters involving blockchain and ...,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,federal-lawyer.com,40,49,1,24594,2956,253410,,
crypto lawyer near me,Miami Beach,Crypto-LongTail-- Miami Beach.xlsx,2,"Crypto Lawyer Miami Florida USA - Malescu Law, PA",https://malesculaw.com/best-crypto-lawyer-miami-florida-usa/,"Contact our crypto lawyers in Miami, Florida USA to assist with MSB registration, money transmitter license and AML and KYC programs.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,malesculaw.com,24,39,1,4507,849,83499,,
crypto lawyer near me,Miami Beach,Crypto-LongTail-- Miami Beach.xlsx,3,Blockchain lawyer - Ari Good - Miami Cryptocurrency Lawyer,https://blockchainlawyer.io/,"An Experienced Miami Blockchain Lawyer Ari Good, JD LLM is the president of Good Attorneys at Law. He has background in cryptocurrency and the legal issues ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,blockchainlawyer.io,22,25,4,460,130,1804,,
top crypto law firms,Miami Beach,Crypto-LongTail-- Miami Beach.xlsx,1,Miami Crypto and Blockchain Law Firm - Federal Lawyer,https://federal-lawyer.com/blockchain/miami/,"At Oberheiden P.C., we have hand-selected experienced Miami blockchain lawyers to represent companies and individuals in a wide range of federal matters ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,federal-lawyer.com,40,49,1,24594,2956,253410,,
top crypto law firms,Miami Beach,Crypto-LongTail-- Miami Beach.xlsx,2,"Crypto Lawyer Miami Florida USA - Malescu Law, PA",https://malesculaw.com/best-crypto-lawyer-miami-florida-usa/,"Our best crypto lawyers in Miami, Florida USA assist entrepreneurs and companies engaged in cryptocurrency and blockchain technology.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,malesculaw.com,24,39,1,4507,849,83499,,
top crypto law firms,Miami Beach,Crypto-LongTail-- Miami Beach.xlsx,3,Cryptocurrency Lawyer - Altawil Law Group,https://thepathtojustice.com/cryptocurrency-lawyer/,Facing cryptocurrency legal challenges in Miami? Our experienced cryptocurrency lawyer provide robust defense and compliance solutions. Contact us today.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,thepathtojustice.com,18,27,1,155,70,12055,,
crypto attorney near me,Miami Beach,Crypto-LongTail-- Miami Beach.xlsx,1,Miami Crypto and Blockchain Law Firm - Federal Lawyer,https://federal-lawyer.com/blockchain/miami/,"At Oberheiden P.C., we have hand-selected experienced Miami blockchain lawyers to represent companies and individuals in a wide range of federal matters ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,federal-lawyer.com,40,49,1,24594,2956,253410,,
crypto attorney near me,Miami Beach,Crypto-LongTail-- Miami Beach.xlsx,2,"Crypto Lawyer Miami Florida USA - Malescu Law, PA",https://malesculaw.com/best-crypto-lawyer-miami-florida-usa/,"Contact our crypto lawyers in Miami, Florida USA to assist with MSB registration, money transmitter license and AML and KYC programs.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,malesculaw.com,24,39,1,4507,849,83499,,
crypto attorney near me,Miami Beach,Crypto-LongTail-- Miami Beach.xlsx,3,Blockchain lawyer - Ari Good - Miami Cryptocurrency Lawyer,https://blockchainlawyer.io/,"An Experienced Miami Blockchain Lawyer Ari Good, JD LLM is the president of Good Attorneys at Law. He has background in cryptocurrency and the legal issues ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,blockchainlawyer.io,22,25,4,460,130,1804,,
