keyword,city,source_file,ranking,title,link,snippet,business_name,rating,review_count,official_website,top_3_reviews,profile_updates,attributes,product_listings,domain,domain_authority,page_authority,spam_score,backlinks_count,referring_domains,pages_to_domain,top_backlinks,trust_flow
child support custody,Boca Raton,FamilyLaw-LongTail -- Boca Raton.xlsx,1,"Child Support | Clerk of the Circuit Court & Comptroller, Palm Beach ...",https://www.mypalmbeachclerk.com/departments/courts/unified-family-court/child-support,"Payments shall be made payable to Florida State Disbursement Unit. To avoid payment processing delays, make sure you clearly print the following information on ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,mypalmbeachclerk.com,54,48,1,559413,4657,692141,,
child support custody,Boca Raton,FamilyLaw-LongTail -- Boca Raton.xlsx,2,Child Support Program - Florida Department of Revenue,https://floridarevenue.com/childsupport/Pages/default.aspx,"If you call the Child Support Program, we will ask you to verify information such as your name, Social Security number, date of birth, mailing address, email ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,floridarevenue.com,62,56,4,564614,16100,604130,,
child support custody,Boca Raton,FamilyLaw-LongTail -- Boca Raton.xlsx,3,Boca Raton Child Custody and Child Support Attorneys,https://www.gwhslaw.com/family-law/child-custody-child-support/,"With five attorneys board-certified in marital and family law, we are highly equipped to champion each child's future welfare and best interests.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,gwhslaw.com,30,22,1,5736,286,42241,,
divorce and family law attorney near me,Boca Raton,FamilyLaw-LongTail -- Boca Raton.xlsx,1,Boca Raton Divorce Lawyers,https://www.hvwlawgroup.com/,"Williams & Varsegi, LLC is a trusted law firm serving Boca Raton & Coral Springs, dedicated to providing exceptional legal services in all areas of family law.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,hvwlawgroup.com,17,27,4,34735,160,64045,,
divorce and family law attorney near me,Boca Raton,FamilyLaw-LongTail -- Boca Raton.xlsx,2,Boca Raton Divorce Lawyer,https://www.schwartz-white.com/,"Our Boca Raton lawyers provide a range of legal services focused on protecting our clients' interests, including aggressive divorce representation.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,schwartz-white.com,26,31,6,4079,405,79821,,
divorce and family law attorney near me,Boca Raton,FamilyLaw-LongTail -- Boca Raton.xlsx,3,Boca Raton Divorce & Family Lawyer,https://www.wiselieberman.com/,"The Boca Raton divorce & family lawyers at Wise Lieberman, PLLC have the knowledge and skill to ably handle your divorce, child custody dispute, paternity suit.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,wiselieberman.com,22,29,3,1375,239,1375,,
family law pro bono lawyers near me,Boca Raton,FamilyLaw-LongTail -- Boca Raton.xlsx,3,Pro Bono - Legal Aid Society of Palm Beach County,https://legalaidpbc.org/pro-bono/,"This page is intended for attorneys. If you need legal services through the Legal Aid Society of Palm Beach County, please call (561)- 655-8944 or ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,legalaidpbc.org,38,41,1,4495,744,8234,,
collaborative divorce attorney,Boca Raton,FamilyLaw-LongTail -- Boca Raton.xlsx,1,Boca Raton Collaborative Law Attorney - Wise Lieberman,https://www.wiselieberman.com/boca-raton-family-lawyer/collaborative-law/,"At WiseLieberman, PLLC, our Boca Raton collaborative law attorneys have extensive experience handling the full range of family law cases.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,wiselieberman.com,22,29,3,1375,239,1375,,
collaborative divorce attorney,Boca Raton,FamilyLaw-LongTail -- Boca Raton.xlsx,2,Collaborative Attorney Boca Raton | Divorce Without Court,https://kwglaw.net/collaborative-attorney-in-boca-raton/,Avoid a courtroom battle—choose collaborative divorce in Boca Raton. KWG Law helps couples resolve issues peacefully. Call (561) 286-3710.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,kwglaw.net,15,28,3,308,77,33314,,
collaborative divorce attorney,Boca Raton,FamilyLaw-LongTail -- Boca Raton.xlsx,3,Mara Bernstein | Divorce Lawyer in Boca Raton & Fort Lauderdale,https://marabernsteindivorce.com/,"With decades of experience as a New York City and Florida divorce litigator, divorce mediator, consultant and collaborative divorce lawyer.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,marabernsteindivorce.com,14,23,1,102,31,620,,
amicable divorce attorney,Boca Raton,FamilyLaw-LongTail -- Boca Raton.xlsx,1,Boca Raton Uncontested Divorce Lawyer,https://www.hvwlawgroup.com/boca-raton-divorce-lawyer/uncontested-divorce/,"The experienced Boca Raton uncontested divorce lawyers at Williams & Varsegi, LLC can guide you through this simpler process with professionalism and care.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,hvwlawgroup.com,17,27,4,34735,160,64045,,
amicable divorce attorney,Boca Raton,FamilyLaw-LongTail -- Boca Raton.xlsx,2,Boca Raton Divorce Lawyer,https://www.schwartz-white.com/,"Our Boca Raton lawyers provide a range of legal services focused on protecting our clients' interests, including aggressive divorce representation.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,schwartz-white.com,26,31,6,4079,405,79821,,
amicable divorce attorney,Boca Raton,FamilyLaw-LongTail -- Boca Raton.xlsx,3,Boca Raton Divorce Lawyers,https://www.hvwlawgroup.com/,Williams & Varsegi is a boutique firm practicing exclusively in the area of divorce and family law serving Palm Beach and Broward County clients.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,hvwlawgroup.com,17,27,4,34735,160,64045,,
divorce out of court,Boca Raton,FamilyLaw-LongTail -- Boca Raton.xlsx,1,"Divorce | Clerk of the Circuit Court & Comptroller, Palm Beach County",https://www.mypalmbeachclerk.com/departments/courts/unified-family-court/divorce,The Clerk of the Circuit Court & Comptroller can assist parties filing a Simplified Dissolution of Marriage.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,mypalmbeachclerk.com,54,48,1,559413,4657,692141,,
divorce out of court,Boca Raton,FamilyLaw-LongTail -- Boca Raton.xlsx,2,"Divorce FAQ | Clerk of the Circuit Court & Comptroller, Palm Beach ...",https://www.mypalmbeachclerk.com/about-us/frequently-asked-questions-faq/unified-family-court-faq/divorce-faq,A hearing to finalize your divorce will be scheduled at the earliest possible date dependent upon the court's schedule.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,mypalmbeachclerk.com,54,48,1,559413,4657,692141,,
divorce out of court,Boca Raton,FamilyLaw-LongTail -- Boca Raton.xlsx,3,"How 'No-Fault Divorce' Works in Boca Raton, Florida",https://www.affordabledivorcecenter.com/how-no-fault-divorce-works-in-boca-raton-florida/,"The duration varies, but a no-fault divorce in Boca Raton typically takes a few months. This depends on factors like court schedules, the ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,affordabledivorcecenter.com,29,32,1,1202,368,8777,,
