keyword,city,source_file,ranking,title,link,snippet,business_name,rating,review_count,official_website,top_3_reviews,profile_updates,attributes,product_listings,domain,domain_authority,page_authority,spam_score,backlinks_count,referring_domains,pages_to_domain,top_backlinks,trust_flow
non profit legal services,Bradenton,OtherSpecializedAreas-HighVolume-- Bradenton.xlsx,1,Free Legal Help for Eligible Clients in Bradenton,https://bals.org/areas/bradenton,"To apply for services, call our Legal Aid Line, (800) 625-2257, Monday-Friday, 9.a.m.-4:30 p.m. If your matter is not an emergency, you can also apply online ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,bals.org,42,43,6,11144,1257,32006,,
non profit legal services,Bradenton,OtherSpecializedAreas-HighVolume-- Bradenton.xlsx,2,Assistance for Nonprofit Organizations - Legal Aid of Manasota,https://legalaidofmanasota.org/get-help/nonprofit-assistance/,"Our team of lawyers can help with landlord/tenant issues, FEMA applications, insurance claims and more. Please call (941) 366-0038 for help. If you are in a ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,legalaidofmanasota.org,30,36,1,1540,269,3416,,
non profit legal services,Bradenton,OtherSpecializedAreas-HighVolume-- Bradenton.xlsx,3,"Gulfcoast Legal Services, Inc. (Bradenton Office)",https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392762-Gulfcoast_Legal_Services_Inc_Bradenton_Office,"Gulfcoast Legal Services, Inc. (GLS) provides free legal assistance in immigration cases for eligible low-income and under-represented individuals.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,immigrationadvocates.org,55,47,-1,45373,3299,52299,,
non profit lawyer,Bradenton,OtherSpecializedAreas-HighVolume-- Bradenton.xlsx,1,Free Legal Help for Eligible Clients in Bradenton,https://bals.org/areas/bradenton,Bay Area Legal Services is a nonprofit law firm providing free civil legal services to low-income Tampa Bay area residents.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,bals.org,42,43,6,11144,1257,32006,,
non profit lawyer,Bradenton,OtherSpecializedAreas-HighVolume-- Bradenton.xlsx,2,"Non-profits and Foundations - Blalock Walters, P.A.",https://blalockwalters.com/industries/nonprofit-organizations/,"We provides specialized legal services in the charitable foundation and non-profit area, including: Formation of non-profit organizations and foundations;; Tax ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,blalockwalters.com,30,37,1,4913,416,99168,,
entertainment attorney,Bradenton,OtherSpecializedAreas-HighVolume-- Bradenton.xlsx,2,"Bradenton, FL Entertainment Law Attorney | David W. Wilcox",https://wilcox-law.com/practice-areas/entertainment-law/,"The Law Offices of David W. Wilcox provides a comprehensive range of legal services to Bradenton, FL, individuals and businesses in the entertainment industry.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,wilcox-law.com,20,27,3,216,80,344,,
entertainment law attorney,Bradenton,OtherSpecializedAreas-HighVolume-- Bradenton.xlsx,1,"Bradenton, FL Entertainment Law Attorney | David W. Wilcox",https://wilcox-law.com/practice-areas/entertainment-law/,"I provide a comprehensive range of legal services to Bradenton, FL, individuals, and businesses in the entertainment industry.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,wilcox-law.com,20,27,3,216,80,344,,
cybersecurity lawyer,Bradenton,OtherSpecializedAreas-HighVolume-- Bradenton.xlsx,1,"Cybersecurity, Data Protection & Privacy",https://bbkattorneys.com/alternative-dispute-resolution/,Brown Brown & Kuhn law firm works with you to develop and implement individually tailored legal and risk mitigation strategies for your data.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,bbkattorneys.com,8,35,3,748,194,1011,,
cybersecurity lawyer,Bradenton,OtherSpecializedAreas-HighVolume-- Bradenton.xlsx,2,Bradenton FL Cybercrime Lawyers Near You - LegalMatch,https://www.legalmatch.com/find/cybercrime-lawyers/fl/bradenton.html,"Find the right Cybercrime lawyer in Bradenton, FL. Simply describe your case and you'll be matched to the top Bradenton Cybercrime attorneys near you.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,legalmatch.com,61,55,1,441369,20581,85621658,,
cybersecurity lawyer,Bradenton,OtherSpecializedAreas-HighVolume-- Bradenton.xlsx,3,"Douglas A. Cherry - Shumaker, Loop & Kendrick, LLP",https://www.shumaker.com/professionals/A-D/douglas-a-cherry,"In his work, Doug also focuses on technology law, including consulting clients and attorneys in data breach and cybersecurity issues, electronic discovery ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,shumaker.com,45,42,5,41332,1939,114315,,
